gsm,gse,Age,Sex,AgeBin
GSM365496,GSE14642,11,F,"[10,20)"
GSM365497,GSE14642,11,F,"[10,20)"
GSM365498,GSE14642,10,F,"[10,20)"
GSM365499,GSE14642,10,F,"[10,20)"
GSM365500,GSE14642,9,F,"[0,10)"
GSM365501,GSE14642,9,F,"[0,10)"
GSM365502,GSE14642,8,F,"[0,10)"
GSM365503,GSE14642,8,F,"[0,10)"
GSM365504,GSE14642,9,F,"[0,10)"
GSM365505,GSE14642,9,F,"[0,10)"
GSM365506,GSE14642,10,F,"[10,20)"
GSM365507,GSE14642,10,F,"[10,20)"
GSM365508,GSE14642,10,F,"[10,20)"
GSM365509,GSE14642,10,F,"[10,20)"
GSM365510,GSE14642,9,F,"[0,10)"
GSM365511,GSE14642,9,F,"[0,10)"
GSM365512,GSE14642,9,F,"[0,10)"
GSM365513,GSE14642,9,F,"[0,10)"
GSM365514,GSE14642,10,F,"[10,20)"
GSM365515,GSE14642,10,F,"[10,20)"
GSM365516,GSE14642,16,F,"[10,20)"
GSM365517,GSE14642,16,F,"[10,20)"
GSM365518,GSE14642,17,F,"[10,20)"
GSM365519,GSE14642,17,F,"[10,20)"
GSM365520,GSE14642,15,F,"[10,20)"
GSM365521,GSE14642,15,F,"[10,20)"
GSM365522,GSE14642,17,F,"[10,20)"
GSM365523,GSE14642,17,F,"[10,20)"
GSM365524,GSE14642,15,F,"[10,20)"
GSM365525,GSE14642,15,F,"[10,20)"
GSM365526,GSE14642,15,F,"[10,20)"
GSM365527,GSE14642,15,F,"[10,20)"
GSM365528,GSE14642,17,F,"[10,20)"
GSM365529,GSE14642,17,F,"[10,20)"
GSM365530,GSE14642,15,F,"[10,20)"
GSM365531,GSE14642,15,F,"[10,20)"
GSM365532,GSE14642,17,F,"[10,20)"
GSM365533,GSE14642,17,F,"[10,20)"
GSM365534,GSE14642,17,F,"[10,20)"
GSM365535,GSE14642,17,F,"[10,20)"
GSM755211,GSE30453,88,F,"[80,90)"
GSM755212,GSE30453,86,F,"[80,90)"
GSM755213,GSE30453,88,F,"[80,90)"
GSM755214,GSE30453,77,F,"[70,80)"
GSM755215,GSE30453,83,F,"[80,90)"
GSM755216,GSE30453,86,F,"[80,90)"
GSM755217,GSE30453,87,F,"[80,90)"
GSM755218,GSE30453,88,F,"[80,90)"
GSM755219,GSE30453,89,F,"[80,90)"
GSM755220,GSE30453,93,F,"[90,100)"
GSM755221,GSE30453,80,F,"[80,90)"
GSM755222,GSE30453,87,F,"[80,90)"
GSM755223,GSE30453,74,F,"[70,80)"
GSM755224,GSE30453,86,M,"[80,90)"
GSM755225,GSE30453,104,M,"[100,110)"
GSM755226,GSE30453,86,M,"[80,90)"
GSM755227,GSE30453,99,M,"[90,100)"
GSM755228,GSE30453,87,M,"[80,90)"
GSM755229,GSE30453,87,M,"[80,90)"
GSM755230,GSE30453,90,M,"[90,100)"
GSM755231,GSE30453,81,M,"[80,90)"
GSM755232,GSE30453,92,M,"[90,100)"
GSM755233,GSE30453,78,M,"[70,80)"
GSM755234,GSE30453,60,M,"[60,70)"
GSM755235,GSE30453,90,M,"[90,100)"
GSM755236,GSE30453,92,M,"[90,100)"
GSM755237,GSE30453,78,M,"[70,80)"
GSM755238,GSE30453,62,M,"[60,70)"
GSM755239,GSE30453,64,F,"[60,70)"
GSM755240,GSE30453,72,M,"[70,80)"
GSM755241,GSE30453,56,F,"[50,60)"
GSM755242,GSE30453,45,M,"[40,50)"
GSM755243,GSE30453,52,M,"[50,60)"
GSM755244,GSE30453,44,M,"[40,50)"
GSM755245,GSE30453,55,F,"[50,60)"
GSM755246,GSE30453,65,M,"[60,70)"
GSM755247,GSE30453,51,M,"[50,60)"
GSM755248,GSE30453,53,M,"[50,60)"
GSM755249,GSE30453,63,M,"[60,70)"
GSM755250,GSE30453,85,M,"[80,90)"
GSM755251,GSE30453,75,M,"[70,80)"
GSM755252,GSE30453,87,M,"[80,90)"
