gsm,gse,Age,Sex,AgeBin
GSM879995,GSE36054,2.41666666666667,F,"[0,10)"
GSM879996,GSE36054,4.83333333333333,,"[0,10)"
GSM879997,GSE36054,4.58333333333333,F,"[0,10)"
GSM879998,GSE36054,3.08333333333333,,"[0,10)"
GSM879999,GSE36054,16.0833333333333,,"[10,20)"
GSM880000,GSE36054,3.5,,"[0,10)"
GSM880001,GSE36054,5.33333333333333,,"[0,10)"
GSM880002,GSE36054,1.16666666666667,F,"[0,10)"
GSM880003,GSE36054,1.08333333333333,,"[0,10)"
GSM880004,GSE36054,2,,"[0,10)"
GSM880005,GSE36054,2.66666666666667,,"[0,10)"
GSM880006,GSE36054,3,,"[0,10)"
GSM880007,GSE36054,3,,"[0,10)"
GSM880008,GSE36054,4,F,"[0,10)"
GSM880009,GSE36054,1,,"[0,10)"
GSM880010,GSE36054,14.1666666666667,,"[10,20)"
GSM880011,GSE36054,16.8333333333333,F,"[10,20)"
GSM880013,GSE36054,2.58333333333333,,"[0,10)"
GSM880014,GSE36054,2,,"[0,10)"
GSM880015,GSE36054,1.91666666666667,F,"[0,10)"
GSM880016,GSE36054,2.16666666666667,F,"[0,10)"
GSM880017,GSE36054,6.33333333333333,,"[0,10)"
GSM880018,GSE36054,1,F,"[0,10)"
GSM880020,GSE36054,13.9166666666667,,"[10,20)"
GSM880021,GSE36054,16.9166666666667,F,"[10,20)"
GSM880022,GSE36054,4.5,F,"[0,10)"
GSM880023,GSE36054,3,,"[0,10)"
GSM880024,GSE36054,2.66666666666667,F,"[0,10)"
GSM880025,GSE36054,4,,"[0,10)"
GSM880026,GSE36054,2.41666666666667,,"[0,10)"
GSM880027,GSE36054,1.5,,"[0,10)"
GSM880028,GSE36054,2.83333333333333,,"[0,10)"
GSM880029,GSE36054,4.08333333333333,,"[0,10)"
GSM880030,GSE36054,15.3333333333333,,"[10,20)"
GSM880031,GSE36054,13.1666666666667,F,"[10,20)"
GSM880032,GSE36054,2.75,,"[0,10)"
GSM880033,GSE36054,1,,"[0,10)"
GSM880034,GSE36054,4.08333333333333,,"[0,10)"
GSM880035,GSE36054,3,,"[0,10)"
GSM880036,GSE36054,4.08333333333333,F,"[0,10)"
GSM880038,GSE36054,3.16666666666667,,"[0,10)"
GSM880039,GSE36054,13.0833333333333,,"[10,20)"
GSM880040,GSE36054,1,,"[0,10)"
GSM880041,GSE36054,2.25,,"[0,10)"
GSM880042,GSE36054,1.33333333333333,,"[0,10)"
GSM880044,GSE36054,1.58333333333333,F,"[0,10)"
GSM880045,GSE36054,2.66666666666667,F,"[0,10)"
GSM880047,GSE36054,2,,"[0,10)"
GSM880049,GSE36054,3.66666666666667,F,"[0,10)"
GSM880050,GSE36054,9.58333333333333,,"[0,10)"
GSM880051,GSE36054,4.83333333333333,F,"[0,10)"
GSM880056,GSE36054,1.08333333333333,F,"[0,10)"
GSM880058,GSE36054,4.08333333333333,,"[0,10)"
GSM880061,GSE36054,2.25,,"[0,10)"
GSM880063,GSE36054,4.08333333333333,F,"[0,10)"
GSM880065,GSE36054,1.25,,"[0,10)"
GSM880066,GSE36054,1.83333333333333,,"[0,10)"
GSM880067,GSE36054,4.33333333333333,F,"[0,10)"
GSM880070,GSE36054,12.3333333333333,F,"[10,20)"
GSM880074,GSE36054,2.08333333333333,F,"[0,10)"
GSM880075,GSE36054,3.16666666666667,,"[0,10)"
GSM880076,GSE36054,1,F,"[0,10)"
GSM880080,GSE36054,11.5833333333333,F,"[10,20)"
GSM880081,GSE36054,3.58333333333333,F,"[0,10)"
GSM880083,GSE36054,1,F,"[0,10)"
GSM880085,GSE36054,5,F,"[0,10)"
GSM880086,GSE36054,3.08333333333333,,"[0,10)"
GSM880087,GSE36054,2.91666666666667,F,"[0,10)"
GSM880092,GSE36054,3,,"[0,10)"
GSM880093,GSE36054,2,F,"[0,10)"
GSM880096,GSE36054,1.33333333333333,F,"[0,10)"
GSM880100,GSE36054,11.25,F,"[10,20)"
GSM880101,GSE36054,12.5833333333333,F,"[10,20)"
GSM880102,GSE36054,2,F,"[0,10)"
GSM880103,GSE36054,4.16666666666667,F,"[0,10)"
GSM880109,GSE36054,5.33333333333333,F,"[0,10)"
GSM880111,GSE36054,1.41666666666667,F,"[0,10)"
GSM880112,GSE36054,1.08333333333333,,"[0,10)"
GSM880116,GSE36054,5.33333333333333,F,"[0,10)"
GSM880117,GSE36054,3.25,F,"[0,10)"
GSM880118,GSE36054,14.6666666666667,,"[10,20)"
GSM880120,GSE36054,2.08333333333333,F,"[0,10)"
GSM880123,GSE36054,6.33333333333333,,"[0,10)"
GSM880124,GSE36054,4.08333333333333,F,"[0,10)"
GSM880128,GSE36054,4.66666666666667,F,"[0,10)"
GSM880129,GSE36054,12.3333333333333,,"[10,20)"
GSM880131,GSE36054,2.08333333333333,F,"[0,10)"
GSM880132,GSE36054,3,,"[0,10)"
GSM880136,GSE36054,5.08333333333333,F,"[0,10)"
GSM880137,GSE36054,2.08333333333333,F,"[0,10)"
GSM880138,GSE36054,4.83333333333333,,"[0,10)"
GSM880139,GSE36054,3.08333333333333,,"[0,10)"
GSM880141,GSE36054,1.58333333333333,,"[0,10)"
GSM880142,GSE36054,13,,"[10,20)"
GSM880143,GSE36054,4,,"[0,10)"
GSM880144,GSE36054,3.08333333333333,,"[0,10)"
GSM880145,GSE36054,2,,"[0,10)"
GSM880146,GSE36054,1.5,,"[0,10)"
GSM880147,GSE36054,13.5833333333333,F,"[10,20)"
GSM880148,GSE36054,3.75,F,"[0,10)"
GSM880149,GSE36054,2.16666666666667,F,"[0,10)"
GSM880150,GSE36054,14.6666666666667,,"[10,20)"
GSM880151,GSE36054,4.16666666666667,,"[0,10)"
GSM880152,GSE36054,3.58333333333333,,"[0,10)"
GSM880153,GSE36054,1.25,,"[0,10)"
GSM880154,GSE36054,12.4166666666667,,"[10,20)"
GSM880155,GSE36054,4,,"[0,10)"
GSM880156,GSE36054,3.08333333333333,,"[0,10)"
GSM880157,GSE36054,2,,"[0,10)"
GSM880159,GSE36054,1.08333333333333,,"[0,10)"
GSM880160,GSE36054,11.4166666666667,F,"[10,20)"
GSM880161,GSE36054,3.08333333333333,F,"[0,10)"
GSM880162,GSE36054,1.91666666666667,F,"[0,10)"
GSM880163,GSE36054,7.25,,"[0,10)"
GSM880164,GSE36054,4.33333333333333,,"[0,10)"
GSM880166,GSE36054,2,,"[0,10)"
GSM880167,GSE36054,1.08333333333333,,"[0,10)"
GSM880168,GSE36054,11,,"[10,20)"
GSM880169,GSE36054,4.08333333333333,,"[0,10)"
GSM880170,GSE36054,3.08333333333333,,"[0,10)"
GSM880171,GSE36054,2.25,,"[0,10)"
GSM880172,GSE36054,1,,"[0,10)"
GSM880173,GSE36054,6.25,F,"[0,10)"
GSM880174,GSE36054,3.91666666666667,F,"[0,10)"
GSM880175,GSE36054,1.08333333333333,F,"[0,10)"
GSM880176,GSE36054,6.25,,"[0,10)"
GSM880177,GSE36054,4.91666666666667,,"[0,10)"
GSM880178,GSE36054,2.16666666666667,,"[0,10)"
GSM880179,GSE36054,1.33333333333333,,"[0,10)"
GSM880180,GSE36054,9,,"[0,10)"
GSM880181,GSE36054,4,,"[0,10)"
GSM880182,GSE36054,2.41666666666667,,"[0,10)"
GSM880184,GSE36054,1.08333333333333,F,"[0,10)"
GSM880185,GSE36054,1.08333333333333,,"[0,10)"
GSM2333901,GSE87571,72,M,"[70,80)"
GSM2333902,GSE87571,55,M,"[50,60)"
GSM2333903,GSE87571,23,M,"[20,30)"
GSM2333904,GSE87571,86,M,"[80,90)"
GSM2333905,GSE87571,74,M,"[70,80)"
