ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030705,cytoskeleton-dependent intracellular transport,94/3459,210/18860,0.447619047619048,2.44061729924696,9.94899026017803,8.13924249416065e-19,5.10900251358464e-15,3.8785632390595e-15,NEFL/MYO5A/DST/KIF1B/ACTN4/ARL3/KIF5A/RUFY3/MAP1B/DYNC1H1/STAU1/TRAK1/MAP1S/MAPK8IP3/CCDC88A/KIF21A/MYO1C/KIF13A/PCM1/MAP6D1/DYNC1I2/KIF5B/AP3D1/KIF5C/FBXW11/KIF1C/LAMP1/HOOK3/MAP2/KIFAP3/NETO1/ARHGAP21/KIF16B/TUBA1B/HTT/MAP1A/PRICKLE1/MYO10/FLOT2/CLIP3/APP/SSX2IP/ARMCX3/SOD1/WASL/TERF2/FYCO1/KIFBP/WDR35/KIF3B/HDAC6/MAPT/BICD2/SPG11/DYNLL1/AP3M2/MAP2K1/CCDC88B/FNBP1L/AP3B1/OPA1/KIFC2/RAB27B/NME7/SUN2/ACTR10/MYO5C/SYNE2/IFT122/RHOT2/RAB6A/MAP6/COPG1/HSPB1/BLOC1S2/IFT172/IFT70A/RPGR/NDE1/TRAF3IP1/IFT88/DTNBP1/TUBA1C/NDEL1/STAU2/HSBP1/AGTPBP1/RABL2B/DYNC2LI1/RAB21/INTU/BICD1/STK11/FEZ1,94
GO:0051656,establishment of organelle localization,146/3459,400/18860,0.365,1.99014165943914,9.48574906416913,3.32124433651999e-18,1.0423725350168e-14,7.91330163759264e-15,NEFL/SYT11/MYO5A/KIF1B/STXBP1/SPIRE1/ACTN4/KIF5A/MAP1B/DYNC1H1/TRAK1/MAP1S/MAP4/SDC4/DCTN2/MYO1C/KIF13A/CLMN/GAB2/RIPOR1/LIN7A/PCM1/KIF5B/NUMA1/AP3D1/KIF5C/FBXW11/TESK1/DCTN1/KIF1C/TACC1/APOLD1/RAB27A/MYH9/GBF1/PINK1/LAMP1/HOOK3/CADPS2/MAP2/INPPL1/KIFAP3/BAIAP3/ARHGAP21/RAB3A/VPS4A/KIF16B/WIPI1/TRIP11/HTT/CHGA/ITGB1/SCRIB/SYNJ1/DOCK7/PDPK1/KPNB1/C17orf75/BBS5/ARMCX3/WASL/FYCO1/KIFBP/ATP13A2/RAB7A/FHOD1/KIF3B/HDAC6/DLG1/MAPT/BICD2/SPG11/PDCD6IP/SDAD1/CFL1/AP3M2/CADPS/SKA2/MAP2K1/MYO7A/PTGDS/FNBP1L/SAPCD2/CD84/CLASP2/AP3B1/DNM2/ARL6/OPA1/KIFC2/SPHK2/EZR/SUN2/ACTR10/MYO5C/LLGL1/NHERF1/HGS/TRAPPC11/SPRY2/TRAPPC10/SYNE2/CDK5RAP2/SNAP29/LMNB2/RHOT2/RAB6A/TRAPPC1/PKD1/COPG1/MKKS/EXOC2/RBM10/TRAPPC9/BLOC1S2/EXOC6/FES/STXBP3/GPSM1/RAB11A/BBS7/NDE1/KIT/PRKN/DTNBP1/UNC13B/CEP120/EXOC7/PSEN1/NDEL1/DNM3/TRAPPC12/HSBP1/EXOC3/NUDC/BTBD8/AGTPBP1/PDZD11/LMNA/MAP4K2/CLASP1/PLK1/BICD1/YWHAZ/STK11/FEZ1,146
GO:0007409,axonogenesis,162/3459,472/18860,0.343220338983051,1.87138930130683,9.0860709989397,4.05414306973763e-17,8.48261868291436e-14,6.43968620235166e-14,NEFL/CHN1/SEMA5A/STXBP1/MAG/SPP1/CNP/SPART/RTN4/KIF13B/PTPN11/NEO1/KIF5A/PITPNA/RUFY3/APLP1/MAP1B/ALCAM/TRAK1/RAC1/KALRN/MACF1/MAP1S/NTRK2/KIF21A/ECE1/ABL1/GDI1/SEMA6D/SHTN1/DAG1/GAP43/RAPH1/CNTN2/FAT4/KIF5B/NPTX1/KIF5C/ADARB1/SRF/LAMB2/ZEB2/SEMA4B/APLP2/NPTN/CELSR2/NFASC/MAP2/CYFIP1/SEMA4A/ENAH/RAB3A/OPHN1/ANK3/RNF6/B4GALT5/TOP2B/SLC9A6/MAP1A/ITGB1/NCAM1/SOS1/CSF1R/SLITRK3/LIMK1/WDR47/PRICKLE1/DOCK7/APP/GATA3/BRSK1/ARHGEF25/NRXN1/PALLD/TBR1/NRDC/CNTNAP1/SEMA3C/FZD3/KIFBP/ULK1/MYCBP2/HDAC6/MAPT/SLITRK5/NUMB/SPG11/EPHB6/SLITRK1/PAK1/FEZ2/FOXG1/LMO4/PLXNA4/MAP2K1/NFIB/BSG/B4GALT6/PICALM/SEMA3A/RPS6KA5/DCLK1/CXCL12/CLASP2/CNTN5/DNM2/KIFC2/BDNF/CDKL3/ADNP/LLGL1/SIN3A/GSK3B/DSCAM/VCL/TRIO/TIAM2/SLITRK4/RAB10/PGRMC1/NECTIN1/PRKCA/MAP6/GOLGA4/ARHGAP35/NTN4/SEMA4D/SEMA6B/TTL/NOTCH2/SIPA1L1/NIN/TAOK2/CTTN/ARHGEF40/PRDM8/MATN2/PPP3CB/FSTL4/UST/PLXNC1/UNC5C/MCF2/NDN/UNC5B/EPHA3/PSEN1/NDEL1/GLI3/FGF13/NEXN/PLXNA3/ATL1/AFG3L2/SLIT2/BMPR1B/PRKG1/YTHDF1/RAB21/NOTCH1/STK11/FEZ1,162
GO:0010506,regulation of autophagy,137/3459,377/18860,0.363395225464191,1.98139171791114,9.12193519956234,5.61704360401392e-17,8.81454567559884e-14,6.69167273562395e-14,TRIM8/LARP1/EIF4G1/MTCL2/TBK1/TBC1D14/FBXW7/ELAPOR1/WNK1/ABL1/MID2/SH3BP4/MTM1/ITPR1/RUBCN/VHL/GPR137B/HUWE1/AKT1/PIP4K2A/OPTN/UBE2A/TSC1/PIK3R2/RALB/PINK1/SETD2/CAPNS1/NRBP2/TSC2/SPTLC2/STAT3/WIPI1/HTT/SESN3/BECN1/BOK/TAB3/MTOR/CSNK2A2/DAPK3/VPS13D/LRSAM1/BCL2L1/PIP4K2C/ATP6V1C1/DEPTOR/ATP6V1A/GOLGA2/CDC37/SUPT5H/KEAP1/FYCO1/ATP13A2/SIRT2/GBA1/ULK1/HDAC6/MAPT/CTSA/USP10/PIK3CB/PIP4K2B/TPCN1/USP7/ATP6V0A1/FEZ2/MAP2K1/RRAGC/BTRC/UBQLN4/RRAGD/RAB3GAP2/EP300/EHMT2/ATP6V1B2/EIF4G2/GPR137/RNF41/ATP6V1E1/GSK3B/ULK3/VDAC1/FKBP8/SNRNP70/KDM4A/ATP6V1H/UBQLN1/CAMKK2/CSNK2A1/SNX7/QSOX1/HSPB1/ROCK1/DDRGK1/GPSM1/ATP6V0C/RPGR/RMC1/VPS26A/CTTN/OSBPL7/CUL1/ATG13/IL10RA/PRKN/DAPK1/STING1/UBR4/IFI16/SESN2/HGF/NOD1/MAPK3/EXOC7/DRAM1/CISD1/MTMR9/FBXO7/ATP6V1D/TRIM65/NOD2/DAPK2/TRIM13/PPTC7/FLCN/RNF31/BNIP3/SH3GLB1/SEC22B/PSAP/RRAGA/FBXL2/MTDH/UBQLN2/STK11/FEZ1,137
GO:0010975,regulation of neuron projection development,153/3459,448/18860,0.341517857142857,1.86210661628051,8.75204723395585,5.07267970764266e-16,6.3682421049746e-13,4.83453074452597e-13,NEFL/CHN1/SEMA5A/BMPR1A/NEDD4L/MAG/SERPINI1/SPP1/SPART/YWHAH/PREX1/RAPGEF2/SMAD1/RTN4/KIF13B/NEO1/RUFY3/SPOCK1/MAP1B/MAPRE3/FUT9/TRAK1/VIM/MACF1/STMN2/CCDC88A/NTRK2/KIF21A/ABL1/GDI1/SEMA6D/SHTN1/AP2A1/CNTN2/GORASP1/AKT1/SRF/RTN4RL1/ZEB2/LRP8/INPP5F/NPTN/KLK6/PTPRF/SCARB2/ZNF365/NGEF/MAP2/PPP2R5B/CAMSAP2/NCKIPSD/RAPGEF1/PMP22/RNF6/SARM1/PARP6/PTPN9/KNDC1/STK24/LIMK1/CUX1/ADCY6/NDRG4/PRRX1/CAPRIN2/GATA3/BRSK1/TBR1/PPP3CA/CAMK1D/GAK/NRDC/RHOA/DDR2/DENND5A/ULK1/MYCBP2/HDAC6/WASHC5/MAPT/EEF2K/PTPRG/SLITRK1/CFL1/PAK1/MAP2K1/PTN/NCS1/KAT2B/SEMA3A/DGKG/CAMK2G/CXCL12/CERS2/SETX/EP300/SFRP1/CBFA2T2/LPAR1/CARM1/BAG5/BDNF/CDKL3/ADNP/GSK3B/DSCAM/MFSD2A/STMN3/SF3A2/DAB2/TIAM2/MBOAT1/GRN/DMD/ITGA3/MAP6/GOLGA4/ARHGAP35/HES1/FES/SEMA4D/ZNF296/SIPA1L1/ARSB/NIN/RAP2A/PTPN1/KREMEN1/FSTL4/UST/CRKL/PLXNC1/DTNBP1/MCF2/EPHA3/ZNF804A/PSEN1/NDEL1/FGF13/SEZ6/FBXO7/STAU2/PLXNA3/SLIT2/YTHDF1/PTK2B/TWF1/RAB21/CRK/FZD1/IL15RA/STK11/FEZ1,153
GO:1990778,protein localization to cell periphery,131/3459,365/18860,0.358904109589041,1.95690416503305,8.74878734068048,8.4848804142818e-16,8.87659906007447e-13,6.73878133955328e-13,PPP1R9B/CLSTN1/MYO5A/GPHN/STXBP1/LRP1/PRKCE/RAPGEF2/GIT1/ARL3/PRNP/EIF4G1/RAC1/MACF1/ATP2B4/CCDC88A/LARGE1/WNK1/DAG1/KIF13A/DLG4/SORBS1/NSF/KIF5B/KCNIP4/NUMA1/RAB31/NPTX1/AKT1/PACS2/OPTN/EPB41L2/PIK3R2/PPFIA1/SCARB2/VAMP2/AP2M1/PALS1/DPP10/KCNB1/NETO1/VAMP3/VPS4A/ANK3/CACNB3/ATP1B1/EFCAB7/ITGB1/PTPN9/SCRIB/EPB41L3/CD81/RDX/RHBDF2/RAB11FIP3/BCL2L1/ROCK2/PDPK1/FLOT2/CLIP3/PRAM1/EHD3/DPP6/ERRFI1/NRXN1/GAK/FLNA/AKAP5/ABCA2/RAB7A/RHOG/DLG1/GGA3/NUMB/TSPAN5/ZDHHC8/ATP6AP1/MAP2K1/BSG/PHAF1/PICALM/PALM/CAMK2G/GPER1/SAPCD2/GGA2/AP4M1/ARL6/LPAR1/ZDHHC23/EZR/CACNA2D2/PREPL/TSPAN15/NHERF1/CPLX1/DAB2/GOLPH3L/CAMK2D/TNF/RAB10/PGRMC1/PRKCZ/ITGA3/GOLGA4/MAP7/ARL13B/ROCK1/RAB11A/C2CD5/SORL1/PACS1/GRIN2A/WDR44/TESC/EPHA3/EFR3B/MYADM/FGF13/ATP2C1/HSP90B1/GAS6/GOLGA7/ATP1B3/HYCC1/FCHO2/S100A10/PLK1/WNK3/RAB11FIP2/ZDHHC7,131
GO:0010970,transport along microtubule,79/3459,183/18860,0.431693989071038,2.35378682679381,8.72132398304662,5.83280000639056e-15,5.23035509144479e-12,3.97068956826016e-12,NEFL/DST/KIF1B/ARL3/KIF5A/RUFY3/MAP1B/DYNC1H1/STAU1/TRAK1/MAP1S/MAPK8IP3/KIF21A/KIF13A/PCM1/DYNC1I2/KIF5B/AP3D1/KIF5C/FBXW11/KIF1C/LAMP1/MAP2/KIFAP3/NETO1/ARHGAP21/KIF16B/HTT/MAP1A/FLOT2/CLIP3/APP/SSX2IP/ARMCX3/SOD1/TERF2/FYCO1/KIFBP/WDR35/KIF3B/HDAC6/MAPT/BICD2/SPG11/DYNLL1/AP3M2/MAP2K1/AP3B1/OPA1/KIFC2/RAB27B/NME7/SUN2/ACTR10/SYNE2/IFT122/RHOT2/RAB6A/COPG1/HSPB1/BLOC1S2/IFT172/IFT70A/RPGR/NDE1/TRAF3IP1/IFT88/DTNBP1/NDEL1/STAU2/HSBP1/AGTPBP1/RABL2B/DYNC2LI1/RAB21/INTU/BICD1/STK11/FEZ1,79
GO:0072657,protein localization to membrane,152/3459,458/18860,0.331877729257642,1.80954436941287,8.31191384785358,1.01244626941152e-14,7.44376550009775e-12,5.65102779888859e-12,PPP1R9B/CLSTN1/MYO5A/GPHN/STXBP1/LRP1/PRKCE/RAPGEF2/GIT1/ARL3/PRNP/RAC1/MACF1/ATP2B4/CCDC88A/LARGE1/WNK1/CAPN3/DAG1/KIF13A/DLG4/SORBS1/NSF/KIF5B/KCNIP4/RAB31/NPTX1/AP3D1/AKT1/PACS2/OPTN/PIK3R2/PPFIA1/SCARB2/VAMP2/AP2M1/PALS1/DPP10/KCNB1/NETO1/VAMP3/VPS4A/ANK3/CACNB3/ATP1B1/EFCAB7/DLG3/SSH1/ITGB1/PTPN9/SCRIB/EPB41L3/CD81/SLITRK3/RDX/RHBDF2/RAB11FIP3/SHISA7/BCL2L1/ROCK2/PDPK1/FLOT2/CLIP3/PRAM1/EHD3/DPP6/ERRFI1/PICK1/NRXN1/GAK/FLNA/AKAP5/NRXN2/RAB7A/RHOG/DLG1/GGA3/NUMB/ZMYND8/TSPAN5/ZDHHC8/GPC5/ATP6AP1/MAP2K1/RRAGC/TM9SF4/PTN/BSG/PHAF1/PICALM/PALM/CAMK2G/GPER1/GGA2/AP4M1/ARL6/LPAR1/ZDHHC23/NME7/EZR/RAB6B/CACNA2D2/GRIK2/PREPL/TSPAN15/NHERF1/HGS/CPLX1/DAB2/GOLPH3L/CAMK2D/TNF/RAB10/PGRMC1/PRKCZ/ITGA3/RAB6A/GOLGA4/MAP7/PEX19/ARL13B/ROCK1/GSN/RAB11A/C2CD5/SORL1/PACS1/PRKN/CRKL/GRIN2A/WDR44/TESC/TNFAIP6/EPHA3/EFR3B/MYADM/FGF13/ATP2C1/HSP90B1/GAS6/GOLGA7/ATP1B3/FARP1/HYCC1/FCHO2/S100A10/CRK/SH3GLB1/WNK3/RAB11FIP2/RRAGA/ZDHHC7,152
GO:1902903,regulation of supramolecular fiber organization,136/3459,395/18860,0.344303797468354,1.87729679683526,8.35084814399782,1.06729153259327e-14,7.44376550009775e-12,5.65102779888859e-12,TUBB4A/SEMA5A/CKAP5/NCKAP1/PRKCE/CLIP1/PREX1/PFN2/GIT1/CAMSAP1/HDGFL3/MAP1B/CDC42EP1/SPTAN1/MAPRE3/TJP1/RAC1/MAP1S/SSH3/STMN2/CCDC88A/KIF21A/SDC4/ABL1/EPS8/SPECC1L/MAP6D1/CFL2/NUMA1/PPP2CB/GBA2/TESK1/TMOD2/DCTN1/TSC1/PIK3R2/PPFIA1/FLII/NAV3/MAP2/INPPL1/CYFIP1/CAMSAP2/SLC9A1/NAA80/TRIOBP/MECP2/SSH1/ADD1/MTOR/MAP1A/DAPK3/LIMK1/MID1IP1/WDR47/RDX/CDC42EP4/ROCK2/FER/CLIP3/WAS/SWAP70/ARHGEF7/APP/PICK1/GAS2L1/FLNA/RHOA/FHOD1/LIMA1/DAAM2/HSPA1A/HDAC6/WASHC5/DLG1/MAPT/AMOT/CFL1/TMOD1/AKAP13/PAK1/SORBS3/ALMS1/PRKCD/CXCL12/CLASP2/SFRP1/LPAR1/ASAP3/NME7/CKAP2/SH3BP1/APC/TOGARAM1/RHOC/GRB2/WASF2/RASA1/TBCD/CDK5RAP2/ARHGEF2/ARHGAP35/PPM1F/PXN/MKKS/ROCK1/FES/DMTN/GSN/CTTN/WASH3P/PRKN/CCL11/USP8/TPX2/RHPN2/TAOK1/GMFB/ARFIP1/PSEN1/MYADM/FGF13/TAC1/MTSS1/ARF1/WASHC3/TGFB3/SLIT2/CDC42EP3/CLASP1/PTK2B/KANK2/TWF1/S100A10/ARHGAP18/SVIL,136
GO:0007163,establishment or maintenance of cell polarity,93/3459,236/18860,0.39406779661017,2.1486321607597,8.41512638306524,2.24906554758066e-14,1.27035706796634e-11,9.64407477035399e-12,CDC42BPB/DST/CKAP5/NCKAP1/CTNNA1/RUFY3/MAP1B/RAC1/MAP4/MYO9A/ATN1/ABL1/SHTN1/DLG4/NUMA1/FBXW11/MYO18A/DCTN1/MYH9/GBF1/PALS1/INPPL1/SLC9A1/OPHN1/DLG3/HTT/SLC9A6/ITGB1/SCRIB/PRICKLE1/ROCK2/DOCK7/SNX27/FLOT2/PARVB/GATA3/NPHP3/BRSK1/TRAF3IP2/RHOA/RHOG/RHOU/DLG1/AMOT/PDCD6IP/SDCCAG8/CFL1/PAK1/SKA2/ARHGEF11/CORO7/SAPCD2/CLASP2/RHOBTB2/ACTR2/CLIC4/EZR/AQP1/SH3BP1/LLGL1/GSK3B/NHERF1/FSCN1/KIF20B/SPRY2/CDK5RAP2/RAB10/PRKCZ/MAP7/ARHGAP35/PKD1/HES1/WEE1/ROCK1/GPSM1/GSN/NDE1/DOCK8/PDLIM1/UST/CRKL/DLG5/NDEL1/FGF13/LMNA/CLASP1/ANKRD6/CRK/PLK1/SPN/RAB11FIP2/STK11/FEZ1,93
