ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0022613,ribonucleoprotein complex biogenesis,80/1315,496/18860,0.161290322580645,2.31325892309579,8.11433767878355,1.26073854844865e-12,6.78655560629907e-09,6.26255285276755e-09,RPS24/ABT1/MRM3/CLP1/RPS23/RPS15A/RPS16/TFB2M/RPS15/FBL/RPL11/FAU/RPS21/PNO1/RBIS/RBFA/IMP3/BYSL/PDCD11/RPS14/GRWD1/SNRPF/GTF3A/EIF3K/C1QBP/NIP7/RPS11/GEMIN2/NPM3/SNRPC/RCC1L/SNRPD2/WDR36/DDX20/EXOSC4/EIF4A3/GEMIN4/DCAF13/SDE2/TRMT61B/EIF3G/SNRPB/PRMT5/WDR74/EIF3M/TARBP2/EXOSC5/SNIP1/RIOK1/MRTO4/DDX28/WDR55/IMP4/NOP16/RPL5/ISG20/GEMIN7/EIF2A/AAR2/LSM4/NOB1/SNRPD1/POP5/SRSF10/SLX9/EIF4H/MRM2/ZNF593/RSL24D1/YTHDF2/UTP15/DDX49/NOL11/BUD23/EIF3E/MRPS2/RPF1/EXOSC1/EIF3D/DDX21,80
GO:0042254,ribosome biogenesis,59/1315,318/18860,0.185534591194969,2.66097520147309,8.17794038717372,3.63469714878445e-12,9.78278737595336e-09,9.02743991848097e-09,RPS24/ABT1/MRM3/RPS23/RPS15A/RPS16/TFB2M/RPS15/FBL/RPL11/FAU/RPS21/PNO1/RBIS/RBFA/IMP3/BYSL/PDCD11/RPS14/GRWD1/GTF3A/C1QBP/NIP7/RPS11/NPM3/RCC1L/WDR36/EXOSC4/EIF4A3/GEMIN4/DCAF13/SDE2/TRMT61B/WDR74/EXOSC5/RIOK1/MRTO4/DDX28/WDR55/IMP4/NOP16/RPL5/ISG20/EIF2A/NOB1/POP5/SLX9/MRM2/ZNF593/RSL24D1/YTHDF2/UTP15/DDX49/NOL11/BUD23/MRPS2/RPF1/EXOSC1/DDX21,59
GO:0002181,cytoplasmic translation,44/1315,208/18860,0.211538461538462,3.03392804913717,8.07514017723953,2.42535352977339e-11,4.35189268359006e-08,4.01587484456163e-08,RPS24/RPS23/RPS15A/RPS16/RPS15/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/RPL30/SLBP/RPS14/NPRL2/EIF3K/ABCE1/FTSJ1/RPS29/RPS6KB2/RPS11/RPS20/RPL6/ZC3H15/RBM4/RACK1/RPL8/RPL13/EIF3G/EIF3M/RPL22/EIF2B3/RPL5/RPL9/EIF4H/UBA52/GTPBP1/RWDD1/YTHDF2/RPL4/EIF3E/LAMTOR1/EIF3D/EIF4A1,44
GO:0002429,immune response-activating cell surface receptor signaling pathway,57/1315,353/18860,0.161473087818697,2.31588017966587,6.83252463211531,2.17207589400064e-09,2.63774353778306e-06,2.43407838610797e-06,CD79A/CR2/CD8B/ZAP70/FCMR/PVRIG/ADA/NFAM1/CYBA/PRKCH/LGALS3/IRAK2/S100A14/LCK/NCKAP1L/KLRD1/THEMIS2/YES1/VAV1/BTN2A2/CD53/RAP1A/FCN1/C5AR2/PTPN6/TXK/STOML2/RAB13/TLR2/LCP2/ELF1/CARD11/MALT1/NINJ1/NOS2/NCR3/CCR7/CD38/CD160/LAPTM5/NFKBID/FFAR2/PTPN22/EIF2B3/CD3G/ITK/BPIFB1/TNFAIP3/CD300A/LAT2/CLEC7A/TYROBP/TMEM126A/BTNL3/SH2D1A/RFTN1/SKAP1,57
GO:0007159,leukocyte cell-cell adhesion,66/1315,439/18860,0.150341685649203,2.15623132421594,6.71067042432919,2.45018063727869e-09,2.63774353778306e-06,2.43407838610797e-06,CRTAM/ITGB2/ITGA4/IL2RG/TBX21/SIRPB1/RHOH/TMIGD2/TGFBR2/ITGB7/ITGAL/ZAP70/RAC2/PNP/ADA/FERMT3/ETS1/XBP1/S100A9/LGALS3/LCK/CHST2/NCKAP1L/PECAM1/TNFRSF13C/YES1/VAV1/ICAM1/TNFSF11/BTN2A2/ELANE/CORO1A/PTPN6/SIRPG/CARD11/MALT1/SASH3/SELE/ITGA5/UMOD/CCR7/GPR65/SELENOK/CD160/LAPTM5/NFKBID/HAVCR2/MSN/PTPN22/CASP3/LILRB1/TMEM131L/TNFAIP8L2/BAD/CD27/PYCARD/CD300A/WNT10B/PCK1/RUNX3/TSPAN32/CD4/STK10/CD5/LEP/SKAP1,66
GO:0006364,rRNA processing,42/1315,223/18860,0.188340807174888,2.70122252723832,6.996342699519,2.94008196669113e-09,2.63774353778306e-06,2.43407838610797e-06,RPS24/ABT1/MRM3/RPS16/TFB2M/RPS15/FBL/RPL11/RPS21/RBFA/IMP3/BYSL/PDCD11/RPS14/NPM3/WDR36/EXOSC4/EIF4A3/GEMIN4/DCAF13/SDE2/TRMT61B/WDR74/EXOSC5/RIOK1/MRTO4/WDR55/IMP4/RPL5/ISG20/NOB1/POP5/SLX9/MRM2/YTHDF2/UTP15/DDX49/NOL11/BUD23/RPF1/EXOSC1/DDX21,42
GO:0016072,rRNA metabolic process,47/1315,270/18860,0.174074074074074,2.49660611181524,6.78102307204648,4.94334963432107e-09,3.8014358687929e-06,3.50791983824979e-06,RPS24/ABT1/MRM3/RPS16/POLR1F/TFB2M/RPS15/FBL/RPL11/RPS21/RBFA/IMP3/BYSL/PDCD11/RPS14/GTF3A/DEDD2/NPM3/WDR36/EXOSC4/EIF4A3/GEMIN4/DCAF13/SDE2/TRMT61B/WDR74/EXOSC5/RIOK1/MRTO4/WDR55/MACROH2A1/IMP4/RPL5/ISG20/NOB1/POP5/SLX9/MRM2/YTHDF2/UTP15/DDX49/NOL11/BUD23/NIFK/RPF1/EXOSC1/DDX21,47
GO:0002697,regulation of immune effector process,63/1315,421/18860,0.149643705463183,2.14622074907652,6.51157657295713,6.80538350650712e-09,4.57917242694098e-06,4.22560589042198e-06,CRTAM/ITGB2/POMC/IL2RG/TBX21/CR2/CD244/RAC2/SERPINB9/XBP1/S100A9/LGALS3/C17orf99/NCKAP1L/SPON2/C1QBP/KLRD1/HLA-F/VAV1/ICAM1/PHB1/FCN1/SECTM1/PTPN6/CD96/KMT5C/INS/MALT1/VAMP8/SASH3/NOS2/NCR3/ARID5A/GPR65/CD160/KLK5/LAPTM5/NFKBID/HAVCR2/FFAR2/MAD2L2/LILRB1/SLC15A4/PKP3/ULBP1/PRG2/PYCARD/SLAMF6/PGLYRP2/CD300A/CFP/GATA1/CLEC7A/IL18RAP/LITAF/TYROBP/PCK1/BST2/SH2D1A/LEP/IL17A/SH2D1B/DDX21,63
GO:0002768,immune response-regulating cell surface receptor signaling pathway,58/1315,385/18860,0.150649350649351,2.16064391881882,6.29916032220586,2.1196728381446e-08,1.26779987641471e-05,1.16991065768472e-05,CD79A/CR2/CD8B/ZAP70/FCMR/PVRIG/ADA/NFAM1/CYBA/PRKCH/LGALS3/IRAK2/S100A14/LCK/NCKAP1L/KLRD1/THEMIS2/YES1/VAV1/BTN2A2/CD53/RAP1A/FCN1/C5AR2/PTPN6/TXK/STOML2/RAB13/TLR2/LCP2/ELF1/CARD11/MALT1/NINJ1/NOS2/NCR3/CCR7/CD38/CD160/LAPTM5/NFKBID/FFAR2/PTPN22/EIF2B3/LILRB1/CD3G/ITK/BPIFB1/TNFAIP3/CD300A/LAT2/CLEC7A/TYROBP/TMEM126A/BTNL3/SH2D1A/RFTN1/SKAP1,58
GO:0050900,leukocyte migration,59/1315,397/18860,0.148614609571788,2.13146124450489,6.23776948886636,2.64426983377489e-08,1.42341045152102e-05,1.31350624690355e-05,CRTAM/ITGB2/ITGA4/TBX21/CCL23/ITGB7/ITGAL/MMP28/ZAP70/RAC2/PPIB/ADA/S100A9/LGALS3/JAGN1/S100A14/LCK/CHST2/NCKAP1L/PECAM1/C1QBP/YES1/VAV1/ICAM1/TNFSF11/AIRE/GPR18/ELANE/C5AR2/CORO1A/CNN2/CALR/VEGFA/SELE/NINJ1/IL16/UMOD/CCR7/AZU1/SELENOK/JAML/TNFRSF18/FFAR2/PPIA/MSN/AIMP1/SLC8B1/CCL8/CXCL11/PYCARD/CD300A/TREM1/STK10/BST1/LEP/IL17A/CXCR4/EDN2/CDC42,59
