ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007409,axonogenesis,156/3219,472/18860,0.330508474576271,1.93643672895572,9.34694638705382,8.97658180314572e-18,5.55740179432751e-14,4.67538176441737e-14,NEFL/CHN1/STXBP1/KALRN/SPP1/SEMA5A/NEO1/KIF5A/ANK3/RUFY3/PRICKLE1/SEMA3A/KIF5C/MAP2/MAP1B/CNP/MAP1A/PRKCA/ALCAM/ADARB1/GDI1/NFIB/RPS6KA5/GAP43/SPART/NTRK2/OPHN1/KIF21A/FAT4/MAG/SEMA6D/PRDM8/NCAM1/NRP1/TRAK1/KIFBP/PTK2/DAG1/ENAH/RTN4/TIAM1/ULK1/MACF1/NRXN1/SLITRK1/BCL2/BRSK1/RAPH1/MYCBP2/SOS1/CNTNAP1/DOCK7/PTPN11/WDR47/CNTN2/FZD3/ABL1/PRKG1/APLP1/PALLD/KIF5B/RAB3A/DCLK1/NPTN/GSK3B/CDKL3/KIF13B/MATN2/PLXNA4/PITPNA/HDAC6/CELSR2/GATA3/SEMA4B/SRF/TTL/SIPA1L1/MAPT/ZEB2/DIP2B/KIFC2/CNTN5/PPP3CB/TOP2B/CYFIP1/EPHA4/NDN/USP9X/ECE1/SPG11/TIAM2/ARHGAP35/NUMB/SHTN1/LIMK1/MCF2/MAP1S/TRAK2/APP/FLOT1/CSF1R/TRIO/ARHGEF40/ARHGEF25/PTPRS/EPHB6/RNF6/PICALM/ITGB1/TAOK2/LLGL1/SEMA4D/SLITRK3/NRDC/SIN3A/BMPR1B/NFASC/STK25/NTN4/EXT1/B4GALT6/NPTX1/GOLGA4/GLI3/NIN/B4GALT5/WNT7A/UNC5C/FSTL4/PTPRO/LMO4/MAP6/SLITRK5/TBR1/SEMA3C/FYN/AFG3L2/FEZ2/UNC5B/CXCL12/APBB1/HOXA2/BSG/ZDHHC17/CYFIP2/OLFM1/RYK/BCL11A/EPHA3/NEXN/SLIT2/TBCE/NECTIN1/TRIM46/PLXNC1/LPAR3,156
GO:0030705,cytoskeleton-dependent intracellular transport,84/3219,210/18860,0.4,2.34358496427462,8.88224861588632,2.27925763610278e-15,5.90592539623024e-12,4.96859088499388e-12,NEFL/DST/KIF1B/MYO5A/KIF5A/RUFY3/PRICKLE1/STAU1/KIF5C/MAP2/DYNC1I2/MAP1B/MAP1A/MYO1C/AP3M2/ARHGAP21/KIF21A/DYNC1H1/MAPK8IP3/CCDC88A/TRAK1/NETO1/KIFBP/KIF16B/WDR35/HSPB1/SOD1/ARL3/AP3D1/SSX2IP/WASL/WDR19/MAP6D1/KIF5B/KIF13A/PCM1/FBXW11/IFT80/RPGR/KIF1C/HDAC6/ACTN4/FLOT2/MAPT/MYO10/TRAF3IP1/KIFC2/IFT56/HTT/SPG11/IFT74/FYCO1/KIF3B/MAP1S/TRAK2/APP/KIFAP3/DTNBP1/TERF2/TUBA1B/DYNC2LI1/IFT88/INTU/CLIP3/NME7/LAMP1/TUBA1A/DYNC2I1/ACTR10/MAP6/ARMCX3/MYO5C/BLOC1S2/PEX14/CLUAP1/COPG1/SUN1/IFT172/AGTPBP1/FNBP1L/NDE1/HOOK3/TRIM46/OPA1,84
GO:0051056,regulation of small GTPase mediated signal transduction,111/3219,314/18860,0.353503184713376,2.07116187129365,8.68325114325018,2.86186015000658e-15,5.90592539623024e-12,4.96859088499388e-12,CHN1/KALRN/FAM13A/MYO9A/ARHGEF12/TNS3/MAP4K4/ABR/PSD3/PKP4/ARHGAP5/TGM2/RALGPS1/PREX1/WNK1/GIT1/ARHGAP21/OPHN1/AMOT/NGEF/ARHGAP24/RIPOR1/NRP1/RDX/NF1/RTN4/ADGRG1/TIAM1/ITSN1/LZTR1/ALS2/SOS1/TSC2/DOCK7/SPRY2/ABL1/DOCK3/SSX2IP/RALGAPA1/PPP2CB/KCTD13/FGD4/TNFAIP1/EPS8/IQSEC1/DENND4B/ECT2/KITLG/SIPA1L2/BCL6/STMN3/SRGAP3/CSNK1E/DOCK9/SIPA1L1/ARHGAP42/ARHGEF11/SPRY4/RAP1GAP/DOCK10/ITGA3/RALBP1/ARHGAP12/TIAM2/STARD13/ARHGAP35/TEK/FLCN/BCR/MCF2/KANK1/FXR1/FLOT1/FAM13B/TRIO/ARHGEF40/CHN2/ARHGEF25/AKAP13/PICALM/ITGB1/DENND3/SEMA4D/RACGAP1/SWAP70/ARHGAP19/VAV2/ARHGAP1/STAMBP/MCF2L/MYO9B/LPAR2/ARHGAP17/LPAR1/ARHGAP6/PIK3CB/ARHGAP27/ARHGEF3/ARHGAP20/ARFGEF2/RALGAPB/RGL2/ITPKB/ITGAV/CYTH1/ARFGEF1/ARHGAP28/GBF1/KIF14/SLIT2/ARHGEF2,111
GO:0031345,negative regulation of cell projection organization,78/3219,192/18860,0.40625,2.38020347934141,8.72031949116906,8.30751867795996e-15,1.28579620338125e-11,1.08172637943542e-11,SPP1/SEMA5A/NEO1/CCP110/RUFY3/PFN2/SEMA3A/RAPGEF2/MAP2/MAP4/SPOCK1/GDI1/CBFA2T2/SPART/YWHAH/STMN2/NGEF/ARHGAP24/INPP5F/MAG/SEMA6D/NRP1/CEP97/RTN4/ULK1/NRXN1/EVI5L/DENND5A/TCHP/SPRY2/PMP22/PTPRG/GAK/CDKL3/STMN3/HDAC6/CARM1/DIP2B/RAB3IP/RTN4RL1/RAP1GAP/ITGA3/HES1/TESK1/WDR44/EPHA4/USP9X/GORASP1/MCF2/STX1B/TRAK2/KANK1/DTNBP1/PTPRS/RNF6/GLCE/ZNF365/VIM/PTPN9/PTPN1/PPP3CA/FSTL4/LPAR1/PTPRO/PRNP/STAP1/LIMA1/FYN/ADCY6/THOC2/IL15RA/PRKCD/DAB2/RYK/BCL11A/SLIT2/TRIM46/LUZP1,78
GO:0010975,regulation of neuron projection development,140/3219,448/18860,0.3125,1.83092575333955,8.07492140575002,6.92256381885608e-14,8.5715185205076e-11,7.21112542646314e-11,NEFL/CHN1/BMPR1A/SMAD1/SPP1/SEMA5A/NEO1/NEDD4L/SERPINI1/RUFY3/SEMA3A/CAMSAP2/RAPGEF2/MAP2/MAP1B/FUT9/SPOCK1/GDI1/MAPRE3/CBFA2T2/PREX1/SPART/YWHAH/NTRK2/CAPRIN2/STMN2/KIF21A/NGEF/INPP5F/MAG/SEMA6D/NDRG4/NRP1/CCDC88A/TRAK1/KAT2B/RTN4/KLK6/TIAM1/ULK1/MACF1/SLITRK1/DENND5A/BRSK1/SCARB2/MYCBP2/PPP2R5B/CNTN2/ABL1/LRP8/CAMK2G/PMP22/AP2A1/NPTN/GSK3B/PTPRG/GAK/CDKL3/PRRX1/DMD/NCKIPSD/KIF13B/STMN3/HDAC6/CARM1/CAMK1D/GATA3/KNDC1/SRF/SIPA1L1/PTPRF/MAPT/ZEB2/DIP2B/SARM1/RTN4RL1/DDR2/ITGA3/HES1/EPHA4/PTN/NCS1/CUX1/TIAM2/ANKRD27/SFRP1/ARHGAP35/DDR1/GORASP1/SHTN1/LIMK1/MCF2/STX1B/TRAK2/GRN/KANK1/ENC1/SETX/PARP6/DTNBP1/PTPRS/RNF6/ZNF365/SEMA4D/NRDC/STK25/VIM/PTPN9/GOLGA4/RAPGEF1/NIN/WNT7A/PTPN1/PPP3CA/FSTL4/LPAR1/PTPRO/GRID2/MAP6/DGKG/TBR1/FYN/CXCL12/ADCY6/PACSIN1/THOC2/IL15RA/APBB1/ABI2/KATNB1/DAB2/STK24/RYK/BCL11A/EPHA3/SLIT2/EEF2K/TRIM46/PLXNC1/LPAR3,140
GO:0051656,establishment of organelle localization,127/3219,400/18860,0.3175,1.86022056539298,7.88881059330462,2.87588189848681e-13,2.96743080558864e-10,2.49646730416013e-10,NEFL/STXBP1/SPIRE1/KIF1B/SYT11/MYO5A/KIF5A/KIF5C/MAP2/MAP1B/MYO1C/GAB2/MAP4/AP3M2/CADPS2/APOLD1/TRIP11/ARHGAP21/PINK1/DYNC1H1/RIPOR1/BAIAP3/TRAK1/CADPS/KIFBP/DCTN1/DCTN2/KIF16B/BTBD8/HGS/NUMA1/DOCK7/AP3D1/SPRY2/SYNJ1/WASL/KPNB1/BBS5/KIF5B/CLMN/RAB3A/EXOC7/SDC4/KIF13A/PCM1/EXOC6/FBXW11/RBM10/UNC13B/PRKN/BBS7/KIF1C/HDAC6/ACTN4/S100A13/MAP4K2/WIPI1/ARL6/MAPT/SDAD1/CHGA/KIT/KIFC2/RAB7A/BBS4/CLASP1/TESK1/EXOC1/TRAPPC12/HTT/SCRIB/BBS2/SPG11/SNCA/C17orf75/TACC1/LIN7A/FYCO1/KIF3B/ATP13A2/MAP1S/TRAK2/SKA2/EXOC2/KIFAP3/DTNBP1/NECTIN2/SPHK2/PDCD6IP/ITGB1/STAM/LLGL1/CDK5RAP2/MKKS/STK25/RAB27A/LAMP1/NUDC/TUBA1A/PDPK1/DLG1/PDZD11/ACTR10/ARMCX3/VPS4A/MYO5C/INPPL1/MCPH1/BLOC1S2/PEX14/TRAPPC11/COPG1/GPSM1/CD84/SUN1/STXBP3/NSFL1C/GBF1/LMNB2/AGTPBP1/FNBP1L/NDE1/HOOK3/DNM3/TRIM46/OPA1/FERRY3,127
GO:0051258,protein polymerization,100/3219,291/18860,0.343642611683849,2.01338914456582,7.90343789158604,5.05524981447619e-13,4.47100737163173e-10,3.7614099371471e-10,NEFL/TUBB4A/CKAP5/NCKAP1/TMOD2/PFN2/CAMSAP2/PRKCE/MAP2/MAP1B/SPTAN1/MAP4/CLIP1/MAPRE3/PREX1/FER/GIT1/CPAP/STMN2/RASA1/KIF21A/CAMSAP1/PINK1/CSTPP1/SSH3/NAV3/RDX/DCTN1/ADD1/MECP2/GBA2/NUMA1/MTOR/ABL1/WASL/PPP2CB/DMTN/TTLL1/HDGFL3/EPS8/TUBG2/CDC42EP1/PRKN/ARL6/MAPT/TPPP3/TBCD/TMOD1/CDC42EP4/BBS4/TOGARAM1/CLASP1/TPX2/CYFIP1/SNCA/PIK3R2/CEP192/WAS/TUBGCP6/SPTBN1/KANK1/INF2/RNF135/TUBG1/DIAPH2/GOLGA2/TMOD3/CDK5RAP2/MKKS/SVIL/PCNT/PDE4DIP/CLIP3/NIN/MID1IP1/NME7/TUBA1A/DLG1/ARHGAP6/ADD3/BIN1/DYRK1A/BLOC1S2/TTC17/ARL2/HSP90AA1/CASQ1/NCK2/WASHC3/ARFGEF1/FLII/WASF3/ARHGAP28/PRKCD/CYFIP2/JAK2/TUBGCP4/NDE1/SLIT2/MSRB2,100
GO:0010639,negative regulation of organelle organization,118/3219,367/18860,0.321525885558583,1.88380807755044,7.75666212628948,7.78989598476864e-13,6.02840575521283e-10,5.0716322806099e-10,PARP3/TUBB4A/CCP110/TMOD2/CAMSAP2/MAP2/MAP1B/SPTAN1/SPECC1L/CLSTN3/MAP4/BAZ1B/TMEM14A/TPR/PARP1/TJP1/STMN2/PINK1/SSH3/NAV3/RDX/KAT2B/PPFIA1/CEP97/EVI5L/ADD1/TRIM37/TCHP/HUWE1/TMEM67/MTOR/WDR47/APC/BRCA1/MAP6D1/TNKS/DMTN/BCL2L1/HDGFL3/EPS8/SMG6/PICK1/PRKN/HDAC6/BOK/MAPT/TBCD/TMOD1/TOM1L2/HGF/RAB7A/BBS4/CLASP1/TPX2/TESK1/MDM1/WDR44/SLX4/USP9X/SNCA/MTM1/ANKRD27/WAS/RPS6KA2/FLCN/TTK/ACD/HORMAD1/SPTBN1/KANK1/RAD50/GCLC/EHMT2/EXOSC10/TERF2/KNTC1/TMOD3/BNIP3/CDK5RAP2/ATRX/MKKS/SVIL/SWAP70/USP10/CDCA8/CLIP3/PML/RHPN2/MID1IP1/GAS2L1/LPAR1/ARHGAP6/ADD3/PIK3R1/LIMA1/NME6/DYRK1A/FEZ2/ARFGEF1/FLII/ARHGAP28/NUF2/CENATAC/PRP4K/KATNB1/ADCK1/RAD21/PRKCD/VAT1/TBC1D4/CKAP2/STN1/SLIT2/LCMT1/ARHGEF2/SPC25/OPA1/LUZP1,118
GO:0006892,post-Golgi vesicle-mediated transport,53/3219,117/18860,0.452991452991453,2.65405989543921,8.14164516415704,1.00014969914213e-12,6.87991865265439e-10,5.78800083199448e-10,MYO5A/ANK3/GDI1/OPTN/VAMP2/NSF/KIF16B/MACF1/ARL3/AP3D1/MYO1B/PREPL/RBSN/AP2A1/KIF13A/EXOC6/GAK/RAB31/WIPI1/GGA3/RAB3IP/ANKFY1/GOLPH3L/EXOC1/WDR44/BBS2/DOP1A/SPTBN1/EXOC2/SORT1/YWHAE/LLGL1/RAB14/RAB11FIP3/VPS35L/STXBP5/AP1G2/GOLGA4/EHD3/LAMP1/RABEP1/EPS15/LPAR1/BLZF1/VPS52/ARFGEF2/VPS54/VAMP5/RNF115/DOP1B/SCAMP1/GBF1/CCDC93,53
GO:0022411,cellular component disassembly,144/3219,483/18860,0.298136645962733,1.74677140194382,7.54243361360783,1.76607371275264e-12,1.06307749602462e-09,8.94355550133015e-10,C1QC/DNAJC6/SEMA5A/C3/CKAP5/PPP1R9B/TMOD2/NAPB/PRICKLE1/CAMSAP2/MAP1B/MAP4K4/SPTAN1/DFFA/MAP1A/PRKCA/SPECC1L/MAP4/FER/WNK1/STMN2/KIF21A/NGEF/CSTPP1/SMARCA4/NAV3/C1QA/NSF/RDX/LIX1/DCTN1/GIGYF2/MICAL2/ASPH/ADD1/NFE2/LRP1/ACIN1/WDR47/UBQLN4/APC/SYNJ1/MAP6D1/KIF5B/RUBCN/USP21/DMTN/TTLL1/FAP/HDGFL3/EPS8/IQSEC1/SMARCC2/CFL2/GAK/ATP2A2/KLC1/C1QB/SUPT16H/LAMC1/STMN3/DPP4/HDAC6/ARID1A/NEK6/BOK/CTSK/TMOD1/SARM1/PAK4/DDR2/CLASP1/TPX2/EPHA4/ASCC2/NCKAP5L/DDR1/FYCO1/PPP1R10/KLHDC10/MAP1S/SPTBN1/FLOT1/CHMP5/SETX/MTIF2/GOLGA2/UPF1/OGFOD1/EPG5/RNF25/ITGB1/EIF5A2/TMOD3/PEX5/SMARCD3/BNIP3/SCAF4/NEMF/SVIL/SWAP70/USP10/NMNAT1/GPER1/SMARCD1/MID1IP1/GABARAPL2/GAS2L1/ADAM15/MCOLN1/CX3CR1/ATR/ADD3/DICER1/DUSP3/VPS4A/PIK3R1/LIMA1/NAPA/PEX14/ATAD2/LTN1/PBXIP1/SHFL/MTIF3/GABARAPL1/LPIN1/TGFB3/VPS54/CDK5RAP3/FLII/LAMP2/WEE1/KATNB1/SSRP1/GBF1/AKAP8L/CST3/CKAP2/PIK3C3/UFSP2/ARHGEF2/EEF2K/PLXNC1,144
