ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007409,axonogenesis,256/7184,472/18860,0.542372881355932,1.42387980823676,7.31546488333163,4.41070253920944e-13,2.81182286874602e-09,2.23599404514028e-09,CELSR1/DCHS2/SLITRK3/UNC5D/EPHA5/GBX2/ATOH1/CTNNA2/DCLK1/PTPRM/ISL1/CHL1/EPHA6/BARHL2/ATP8A2/VAX1/SLIT2/SKIL/LMX1A/RELN/BCL11B/SEMA6B/LRRC4C/NOTCH3/COBL/PAK2/CNTNAP1/FLRT2/ARTN/SLITRK5/FEZ2/EPHA8/FGF8/SEMA3C/SPTBN4/AUTS2/NRP1/WNT5A/CHODL/TRIO/PARD3/PTCH1/SEMA6C/CTTN/PTPRS/SEMA5A/EFNA5/ZDHHC17/ADCY10/EGR2/VCL/DAB1/BCL2/EPHA3/RNF6/EXT1/CDH4/GFRA3/KLF7/NRXN1/PRDM8/APLP1/ROBO2/MACF1/ALCAM/TIAM2/FGFR2/BRSK2/BAIAP2/GDF7/ANK3/RGMA/RAC1/ATL1/BSG/FSTL4/NCAM1/RTN4/CYFIP1/COL25A1/CREB1/STK25/IFRD1/WNT3/APBB2/UST/PAK1/MAG/NRXN3/NPTN/KIF21A/GAP43/NELL2/EFNB2/PLXNC1/DOCK7/TNR/TRAK1/TOP2B/SPAST/KALRN/B3GNT2/NDEL1/MAP2K1/NRCAM/CNP/CELSR2/LHX3/ROBO1/EPHB6/NEO1/SEMA6D/AFG3L2/KIF5C/PRICKLE1/ABLIM1/EVL/PRKCA/MYCBP2/KIF13B/STK11/UNC5A/CNTN5/CLASP2/NIN/SIPA1L1/CDK5R1/SPG11/OR10A4/DISC1/FYN/DSCAML1/FLOT1/NOTCH1/CD2AP/SLIT3/TTC8/USP33/SIN3A/PRKG1/HOXA2/PTK7/WNT7B/DSCAM/NTN1/DVL1/MYPN/ABL1/GOLGA4/PICALM/MEGF8/MYH10/KIF5B/KEL/FN1/NTNG1/PALLD/ITGB1/LAMA2/CNTN4/ACTBL2/SYNGAP1/VANGL2/SEMA3E/ADARB1/APLP2/ERBB2/NR2E1/NEXN/RUFY3/SEMA6A/GLI2/S100B/NFASC/SLITRK6/EPHB2/RYK/EPHB3/BRAF/MAP3K13/SIAH1/STMN1/SMO/NTN4/SMAD4/MARK2/NEFL/NGFR/BCL11A/PTPRZ1/RAB21/UNC5C/ADCY1/GLI3/LGR6/ZEB2/TIAM1/DPYSL5/NTNG2/BOC/PITPNA/DIP2B/WDR47/PTK2/RAB3A/EMB/GBX1/BDNF/SEMA4G/MAPT/CYFIP2/LPAR3/TCTN1/PLA2G10/SMURF1/LLGL1/IGSF9/PPP3CB/CHRNB2/KIAA0319/MAP2/SEMA4B/PAFAH1B1/BMPR1B/SPP1/TUBB3/APOE/PTPRJ/NRP2/PLXND1/SEMA5B/FLRT3/SEMA3A/POTEF/CCKAR/PSEN1/DAG1/SEMA3G/PLEKHG4B/SPG21/NUMBL/NFIB/RET/ETV1/ULK1/NGF/MYOT/SLIT1/MAP1S/PLXNB2/TNN/LGI1/ADNP/SOS1/DCC/WNT7A,256
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,164/7184,279/18860,0.587813620071685,1.54317439790534,7.16972173489512,1.49790248373129e-12,4.77456416689348e-09,3.79678861139468e-09,CRB2/CELSR1/DCHS2/SLITRK3/UNC5D/PCDH7/PCDH10/CLDN10/PTPRM/FAT1/PCDHGA4/PCDHGA12/PCDHGA11/PCDHGA9/PCDHGA1/PCDHGB1/PCDHGB6/PCDHGC3/PCDHGB3/PCDHGB7/PCDHGA6/PCDHGA8/PCDHGA10/PCDHGA5/PCDHGB4/PCDHGA3/PCDHGA2/PCDHGA7/PCDHGB2/PCDHGB5/PCDHA7/PCDHA12/PCDHA6/PCDHAC1/PCDHA10/PCDHA4/PCDHA11/PCDHA8/PCDHA1/PCDHA2/PCDHA9/PCDHA13/PCDHA5/PCDHA3/LRRC4C/PCDHGC4/SLITRK5/MDGA1/WNK1/CDH2/CDH20/GRID2/TGFBR2/SCARF2/CADM1/PTPRS/CLSTN1/EFNA5/DAB1/PCDH1/CDH4/FAT3/SDK1/PCDHB8/MBP/NRXN1/ROBO2/PCDH15/CLDN12/IGSF11/ALCAM/CLDN8/CLDN14/BSG/CLDN20/MYADM/CDH8/DSG3/ELFN1/CLSTN2/MAG/NPTN/NLGN1/HMCN1/CELSR2/PVR/CDH12/PCDHB10/ROBO1/ATP2C1/CADM2/PSG2/CDH19/ESAM/CDH3/FGFRL1/PKD1/SDK2/DSCAML1/LRFN4/CDH23/LRRC4/PTK7/UMOD/DSCAM/CD6/MYPN/LRFN5/MPZL2/CDH6/CDH18/NTNG1/PALLD/CDH9/LRRC4B/ITGB1/CNTN4/CDH10/NEXN/CDH15/SELL/KIRREL3/PECAM1/PCDH9/CDH13/PCDHB13/PTPN23/DSG4/IL1RAP/MAP2K5/NTNG2/ITGA3/CRB1/EMB/PTPRD/CLDN16/IGSF9/PCDH18/MAPK14/APOA1/CDH7/SPARCL1/CDH5/KLF4/FLRT3/PCDH17/PCDHB14/ITGB2/CLDN1/KIFAP3/RET/DSG1/PCDHB12/MYOT/PCDHB11/FAT2/CX3CL1/CLDN22/PLXNB2/CLDN11/CLDN9/CLDN4/SELE/SCARF1,164
GO:0099003,vesicle-mediated transport in synapse,153/7184,259/18860,0.590733590733591,1.55084013380227,7.00168808543413,4.87098257592397e-12,9.545081836709e-09,7.5903594015423e-09,GRIK5/SLC32A1/NRG1/CPLX1/VAC14/SYT9/CDH2/STX2/NPY/GAK/CADPS/AP2A2/PRKAR1B/DRD4/PACSIN1/CLSTN1/PCLO/AP2S1/SYNJ2/SACM1L/SLC17A7/DGKQ/NRXN1/DNAJC5/STON2/VAMP2/P2RX1/RAB3GAP1/OSBPL2/DTNBP1/PREPL/BRSK2/RAC1/MKLN1/STXBP5/SNAP25/AP1G1/VPS18/MYLK/SNCA/NLGN1/PRKCB/EFNB2/RAB4A/STX19/SCRIB/OTOF/CTBP1/SNAP47/RIMS2/EFR3A/SV2B/RABEP1/AMPH/SYN2/PFN2/SYT1/AP2B1/AP3M2/HIP1/BTBD9/ATP6V1D/RPH3AL/USP46/ABCA13/RNF220/CACNA1B/PIP5K1C/ERC2/MX1/AP3M1/BIN1/CASP3/DVL1/PIK3C3/AP3D1/SV2A/CANX/CALM2/PPP3CA/ATP8A1/DOC2B/RAB3B/AAK1/P2RX7/RAPGEF4/PRKCG/CALY/AP2M1/NLGN2/ATP6V0A1/BRAF/STX11/SYT13/ITSN2/AP3S2/LPAR1/DOC2A/ROCK1/RALA/CPLX4/ITSN1/ATP6V0A4/ATP6V0D1/UNC13B/SYT2/PARK7/DNM3/DNM1/CADPS2/PLD1/UNC13C/RAB3A/GIT1/CTNNB1/LRRK2/SLC17A8/AP3B2/PPFIA3/PPP3CB/SUSD4/CAPN2/GSG1L/GRIP2/RAP1A/UNC13A/SCRN1/RIMS1/SNX9/STON1/PPFIA2/ATP2A2/PCDH17/STXBP2/PSEN1/CSPG5/SNCB/SGIP1/RAB7A/CBLB/CACNB4/P2RY1/ATAD1/SNAPIN/CLTA/SNPH/SYT12/SYT7/AP3S1/ATP6V0C/WNT7A/CPLX2/SYT8,153
GO:0030048,actin filament-based movement,97/7184,147/18860,0.659863945578231,1.7323265609139,6.9917709669547,5.98907095636643e-12,9.545081836709e-09,7.5903594015423e-09,CACNA2D1/FGF12/KCNJ2/MYO5C/PDE4B/MYO1C/MYO1D/LIMCH1/MYH14/TRPM4/CACNB2/KCNJ3/NOS1/NOS1AP/ADCY10/SGCD/KCNQ1/MYO5A/ANK2/GATA4/WASL/QKI/SCN4A/KCND3/ABCC9/WIPF1/CTNNA3/ACTA2/CACNA1C/SLC9A1/PDE4D/MYH9/KCNE1/MYH2/MYO1G/MYH4/FNBP1L/FRMD6/EMP2/MYH7B/SYNE2/CAV1/LUZP1/CASQ2/BIN1/MYH10/SCN2A/NEDD4L/TTN/MYH8/RANGRF/KCNE2/GJC1/CAMK2D/KCNJ5/GSN/ATP1A1/CACNA1G/MYL1/PARVA/RYR2/C10orf71/SCN4B/ROCK1/TNNI3/ZEB2/MYO1B/TPM1/CCDC88C/EPDR1/MYO7A/KCNH2/ACTC1/MYO7B/CACNA1D/STC1/SCN9A/MYH6/KCNN2/SCN10A/MYO1H/MYO9B/AKAP9/MYBPC3/TNNT2/ATP2A2/SCN5A/SCN2B/MYH3/EPB41L5/ATP1A2/SCN1A/MIR1-1/SCN7A/JUP/MYO19/SCN8A,97
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,106/7184,168/18860,0.630952380952381,1.65642565489447,6.70359471241765,4.00686727411443e-11,5.1087557744959e-08,4.0625416404495e-08,CELSR1/DCHS2/PCDH7/PCDH10/PTPRM/FAT1/PCDHGA4/PCDHGA12/PCDHGA11/PCDHGA9/PCDHGA1/PCDHGB1/PCDHGB6/PCDHGC3/PCDHGB3/PCDHGB7/PCDHGA6/PCDHGA8/PCDHGA10/PCDHGA5/PCDHGB4/PCDHGA3/PCDHGA2/PCDHGA7/PCDHGB2/PCDHGB5/PCDHA7/PCDHA12/PCDHA6/PCDHAC1/PCDHA10/PCDHA4/PCDHA11/PCDHA8/PCDHA1/PCDHA2/PCDHA9/PCDHA13/PCDHA5/PCDHA3/PCDHGC4/CDH2/CDH20/CADM1/CLSTN1/PCDH1/CDH4/FAT3/SDK1/PCDHB8/ROBO2/PCDH15/IGSF11/BSG/CDH8/DSG3/CLSTN2/NPTN/HMCN1/CELSR2/PVR/CDH12/PCDHB10/ROBO1/CADM2/CDH19/ESAM/CDH3/PKD1/SDK2/DSCAML1/CDH23/PTK7/DSCAM/MYPN/MPZL2/CDH6/CDH18/PALLD/CDH9/ITGB1/CNTN4/CDH10/NEXN/CDH15/KIRREL3/PECAM1/PCDH9/CDH13/PCDHB13/PTPN23/DSG4/EMB/IGSF9/PCDH18/CDH7/CDH5/PCDH17/PCDHB14/RET/DSG1/PCDHB12/MYOT/PCDHB11/FAT2/PLXNB2,106
GO:0099504,synaptic vesicle cycle,131/7184,220/18860,0.595454545454546,1.56323395424175,6.591324050274,7.68472568363059e-11,7.36474155796496e-08,5.85652761084157e-08,GRIK5/SLC32A1/CPLX1/SYT9/CDH2/STX2/NPY/GAK/CADPS/AP2A2/PRKAR1B/PACSIN1/PCLO/AP2S1/SYNJ2/SLC17A7/DGKQ/NRXN1/DNAJC5/STON2/VAMP2/P2RX1/RAB3GAP1/OSBPL2/DTNBP1/PREPL/BRSK2/RAC1/STXBP5/SNAP25/AP1G1/VPS18/MYLK/SNCA/NLGN1/PRKCB/STX19/SCRIB/OTOF/CTBP1/SNAP47/RIMS2/EFR3A/SV2B/AMPH/SYN2/PFN2/SYT1/AP2B1/AP3M2/BTBD9/ATP6V1D/RPH3AL/ABCA13/CACNA1B/PIP5K1C/ERC2/MX1/BIN1/CASP3/DVL1/PIK3C3/AP3D1/SV2A/CANX/PPP3CA/ATP8A1/DOC2B/RAB3B/P2RX7/RAPGEF4/PRKCG/AP2M1/NLGN2/ATP6V0A1/BRAF/STX11/SYT13/ITSN2/AP3S2/LPAR1/DOC2A/ROCK1/CPLX4/ITSN1/ATP6V0A4/ATP6V0D1/UNC13B/SYT2/PARK7/DNM3/DNM1/CADPS2/PLD1/UNC13C/RAB3A/GIT1/CTNNB1/LRRK2/SLC17A8/AP3B2/PPFIA3/PPP3CB/CAPN2/RAP1A/UNC13A/SCRN1/RIMS1/SNX9/STON1/PPFIA2/ATP2A2/PCDH17/STXBP2/PSEN1/CSPG5/SNCB/SGIP1/RAB7A/CACNB4/P2RY1/SNAPIN/CLTA/SNPH/SYT12/SYT7/AP3S1/ATP6V0C/WNT7A/CPLX2/SYT8,131
GO:0006836,neurotransmitter transport,129/7184,216/18860,0.597222222222222,1.56787459787181,6.58423343294733,8.08677504403996e-11,7.36474155796496e-08,5.85652761084157e-08,HRH3/GRIK5/PTPRN2/SLC32A1/CPLX1/SYT9/STX2/NOS1/NPY/CADPS/PNKD/SLC6A3/DRD4/PCLO/SLC17A7/SLC29A3/NRXN1/DNAJC5/VAMP2/SLC22A3/P2RX1/RAB3GAP1/SLC38A2/OSBPL2/DTNBP1/PREPL/STXBP5/GFAP/SNAP25/NF1/CLN8/SLC22A2/SLC6A6/VPS18/SNCA/NLGN1/PRKCB/SLC6A13/DRD3/SLC5A7/STX19/ICA1/SCRIB/OTOF/SNAP47/RIMS2/CAMK2A/EFR3A/BAIAP3/SV2B/SYN2/PER2/PFN2/SYT1/AP2B1/SLC1A2/RPH3AL/CACNA1B/PIP5K1C/SLC6A18/FLOT1/MCTP2/ERC2/DVL1/CHRNA3/SLC38A1/SV2A/PPP3CA/ITGB1/DOC2B/RAB3B/KMO/P2RX7/NRXN2/PRKCG/BRAF/STX11/SYT13/SNCAIP/SLC1A6/SLC6A1/DOC2A/CPLX4/LIN7C/SLC1A7/SLC6A16/UNC13B/SYT2/GRM4/PARK7/CADPS2/UNC13C/RAB3A/GIT1/LRRK2/LIN7B/SLC17A8/MEF2C/SLC6A12/PPFIA3/MYOF/RAP1A/UNC13A/RIMS1/GPR158/PPFIA2/ATP2A2/SLC1A3/SLC22A1/STXBP2/PSEN1/CSPG5/CACNB4/P2RY1/FER1L5/ATP1A2/SLC1A1/NGF/SLC6A15/SLC29A1/SNAPIN/SNPH/SYT12/SYT7/WNT7A/DYSF/CPLX2/SYT8/MCTP1,129
GO:0031032,actomyosin structure organization,128/7184,215/18860,0.595348837209302,1.56295644066919,6.51190831458133,1.2828339535305e-10,1.02225830671962e-07,8.12911621079329e-08,OBSCN/TJP1/PDGFRA/EPB41L3/PRKD1/PAK2/DLC1/LIMCH1/CAPN3/NRP1/MYH14/ARHGEF10/IQGAP2/ACTN2/ITGB1BP1/AKAP13/TACSTD2/CUL3/MTOR/MET/RAC1/NEB/MYOM3/MYL9/MYBPH/PIK3R1/ITGB5/CFLAR/PAK1/SYNPO2L/MEF2A/SLC9A1/PDGFRB/MYH9/LDB3/FRMD5/EPB41L4B/PXN/ECT2/SRC/OAZ3/PFN2/CD47/LMOD1/PHLDB2/SORBS1/PHACTR1/EVL/MYOM2/CLASP2/TNNT1/RHOA/CNN3/FLII/SYNPO/TTC8/ANKRD1/EPB41L2/TNNT3/LUZP1/ARHGEF18/MYPN/ABL1/MYH10/TTN/NEBL/PROX1/CDC42BPB/ANLN/SMAD3/EPB41L4A/CLASP1/ITGB1/PTGER4/F11R/ARHGAP28/PPFIA1/CNN1/MYBPC1/BRAF/FLNC/LMOD2/VPS4A/ADPRHL1/STMN1/SMAD4/LPAR1/ROCK1/LMOD3/BMP10/ZEB2/TPM1/EPHA1/CCDC88A/TACR1/RTKN/ACTC1/CGNL1/FHDC1/MYH6/APOA1/ARHGEF10L/SERPINF2/MYBPC3/PIK3R2/TNNT2/MYH11/MIR138-1/ZYX/TGFBR1/MYOC/MYH3/MYOM1/PPM1E/FAM171A1/TMEFF2/FHOD3/EPB41L5/ARAP1/CFL2/MIR1-1/FERMT2/CDC42BPG/TGFB3/CDC42BPA/SDC4/FRMD3/MYO18A,128
GO:0072657,protein localization to membrane,240/7184,458/18860,0.524017467248908,1.37569173612394,6.38450625793475,2.21018267384131e-10,1.5655460606376e-07,1.24494032248184e-07,SLITRK3/KCNB1/MAGI2/WNK4/RAB32/GLRB/PID1/SHISA6/NETO1/SQSTM1/RAB38/EPB41L3/RAB34/RELN/CACNA2D2/VWC2/ANO1/STAC/CPLX1/AGRN/ATP2C2/ERRFI1/WNK1/CDH2/SPTBN4/CAPN3/LYPD1/CACNB2/ACTN2/GAK/PTCH1/DPP6/GRIN2A/ITGB1BP1/PACSIN1/CLSTN1/LZTFL1/GGA1/KCNIP4/NECAB2/PRKCH/GRIK2/EPHA3/NHLRC1/SACM1L/RFTN1/PRPH2/NRXN1/MYO5A/VAMP2/ANK2/FARP1/CD81/MACF1/PTN/PREPL/RHOQ/SSH1/ANK3/RAC1/BSG/PRKCE/RAB6A/MYADM/LRRC7/ZDHHC7/ADAM10/GPHN/DSG3/PRKCZ/KCNB2/TSPAN5/PIK3R1/SORL1/CPE/AMN/NLGN1/CACNG3/HGS/RSC1A1/ARL13B/DLG2/DPP10/SCRIB/GPC6/SH3PXD2B/MAP2K1/RAB11FIP3/CAMK2A/EFR3A/EFCAB7/ATP2C1/SCP2/RABEP1/SLC7A11/AP2B1/ANK1/SORBS1/PACS2/FYN/FLOT1/SPTBN1/EMP2/CACNG7/TTC8/CACNG2/GRIP1/TM9SF4/AGR2/TM9SF3/TESC/SKAP1/CAV1/DOK7/STAC3/LRRC4/RAB8B/MMP14/UMOD/AGER/LAMA5/GOLGA7/DVL1/GOLGA4/PICALM/RDX/AP3D1/KIF5B/GGA2/NSF/TSPAN14/PPIL2/EGFR/ZDHHC4/ITGB1/RANGRF/BBS2/RER1/ZDHHC3/DAB2/LRP1/F11R/RHBDF2/PPFIA1/ARL5B/C1QL3/SYNGAP1/ARL6/EXOC5/GPSM2/NRXN2/ERBB2/CAMK2D/ACSL3/ERBB4/GSN/AP2M1/EHD4/NLGN2/EPHB2/PRKG2/PEX5/CLTC/STX8/PALM/CD53/LRRC15/VPS4A/RAPGEF2/LPAR1/PEX19/AKT1/ZDHHC2/PICK1/BLZF1/ARL6IP5/ROCK1/PPP2R5A/CAMK2B/LRP6/MAP7/ITGA3/DLG4/PLS1/SFN/CCDC88A/SEC16A/KIF13A/GPC1/MUSK/GIT1/SIRT6/NKD2/TRAF6/PRNP/SMURF1/LYN/PLEKHF1/CNIH3/CSK/MRAP2/MADCAM1/GRIP2/DENND4C/PKP1/WDR72/EPM2A/RAP1A/PKP3/APOE/ETV5/VAMP5/CYP46A1/GPR158/PIK3R2/TNFRSF1A/HRAS/DAG1/ITGB2/RAB7A/P2RY1/ABCA12/CAMK2G/KCNIP3/TMEM88/SLC1A1/FERMT2/RAMP3/GPC5/ARHGEF16/RAB31/EZR/LGI1/TMEM108/JUP/ARL5C/RAMP1/EPHA2/SHANK3/EHD2,240
GO:0042692,muscle cell differentiation,232/7184,441/18860,0.526077097505669,1.38109883894166,6.35212952860311,2.73828296396324e-10,1.74565538952657e-07,1.38816534257337e-07,DOCK1/OBSCN/NOX4/ISL1/LAMA1/PDGFRA/GREB1L/PRKD1/CACNA2D2/NID1/NRG1/CNTNAP1/RARA/CDH2/TANC1/CAPN3/SPEG/GATA6/B4GALNT2/NFATC1/HDAC4/ACTN2/NOS1/BMP4/ATP11A/DOCK5/SKI/AKAP13/SMAD1/ATG5/CACNA1H/COL14A1/LBX2/BCL2/RCAN1/RORA/SGCD/SMYD3/SLC8A1/PDGFB/MTOR/PTGFRN/MIR140/ANK2/KDM1A/CD81/MAPK11/GATA4/CTDP1/MEIS1/CAV2/FGFR2/QKI/PI16/NEB/MYOM3/NINJ1/MYL9/IFRD1/ACTN3/MYBPH/SGCZ/CFLAR/SYNE1/PAK1/NFATC4/SORBS2/MEGF10/SYNPO2L/HOPX/EFNB2/MEF2A/SLC9A1/NOTCH4/HDAC9/RB1/PDGFRB/IGFBP5/MYH9/LDB3/FOXP1/SORT1/PTBP1/NEO1/WFIKKN2/LMOD1/AFG3L2/PRICKLE1/TMEM119/NLN/FRS2/PDLIM5/MYOM2/NAGLU/TNNT1/ZNHIT1/SPG11/KCNH1/ADAM12/FLII/KRAS/OR10J5/CCNB1/ZEB1/FLOT1/NOTCH1/BNIP2/DMPK/PRKG1/ANKRD1/PDCD4/STAC3/SIK1/COL6A1/TNNT3/BMPR1A/MMP14/SPAG9/BIN1/CASP3/HEY2/MYPN/LOX/SUPT6H/MYH10/KAT2A/TTN/NEBL/MAML1/PROX1/ALPK3/KEL/MESP1/PPP3CA/DLL1/MIR590/FHL2/CDON/ITGB1/LAMA2/FZD7/RYR1/BARX2/ADAMTS5/DCAF8/MYBPC1/SMYD1/SETD3/YBX1/LAMC1/BCL9/BHLHA15/SOX9/SYPL2/CASP7/CD53/FLNC/LMOD2/ADPRHL1/SMO/SGCB/SMAD4/RGS4/AKT1/LAMB1/TBX3/C10orf71/TBX1/LMOD3/TMEM204/BMP10/KDM6B/TPM1/POPDC3/TNPO2/GREM1/CXCL10/RXRB/FBXO22/IL4R/CDK1/ACTC1/CTNNB1/ACADM/BDNF/PLD3/MIR19B1/SIRT6/MEF2C/ZMPSTE24/MED28/MYH6/PPP3CB/NPNT/TCF23/PIAS1/MAPK14/CAPN2/DNER/MYOCD/AKAP6/EREG/MYBPC3/DNMT1/TNNT2/ATP2A2/MYH11/HOMER1/NFATC2/TMEM182/MYH3/ASB2/PRDM6/CACNB4/MYOM1/ACTN1/LRRC10/PPIF/CYP26B1/FHOD3/FER1L5/CFL2/EDNRB/MIR1-1/DOCK2/AKIRIN2/ENG/MSX1/CBY1/MYOG/EHD2/ITGA8,232
