ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",2/24,14/18860,0.142857142857143,112.261904761905,14.8652263085594,0.000139915748165315,0.0383299729162315,0.0251076641857594,HLA-F/HLA-C,2
GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,2/24,15/18860,0.133333333333333,104.777777777778,14.3523341044571,0.000161315775117109,0.0383299729162315,0.0251076641857594,HLA-F/HLA-C,2
GO:0002484,antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway,2/24,15/18860,0.133333333333333,104.777777777778,14.3523341044571,0.000161315775117109,0.0383299729162315,0.0251076641857594,HLA-F/HLA-C,2
GO:0002428,antigen processing and presentation of peptide antigen via MHC class Ib,2/24,16/18860,0.125,98.2291666666667,13.8880290826453,0.000184217608152413,0.0383299729162315,0.0251076641857594,HLA-F/HLA-C,2
GO:0045055,regulated exocytosis,4/24,230/18860,0.0173913043478261,13.6666666666667,6.89906827219687,0.000189003811224021,0.0383299729162315,0.0251076641857594,ABCC4/HLA-F/NOTCH1/STXBP5,4
GO:0002475,antigen processing and presentation via MHC class Ib,2/24,23/18860,0.0869565217391304,68.3333333333333,11.5334377007776,0.000386284635192918,0.0448237997718248,0.0293613803135279,HLA-F/HLA-C,2
GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,2/24,23/18860,0.0869565217391304,68.3333333333333,11.5334377007776,0.000386284635192918,0.0448237997718248,0.0293613803135279,HLA-F/HLA-C,2
GO:0002483,antigen processing and presentation of endogenous peptide antigen,2/24,25/18860,0.08,62.8666666666667,11.0487849186399,0.000457333702375089,0.0448237997718248,0.0293613803135279,HLA-F/HLA-C,2
GO:1903306,negative regulation of regulated secretory pathway,2/24,26/18860,0.0769230769230769,60.448717948718,10.8275075285734,0.000495060028639377,0.0448237997718248,0.0293613803135279,HLA-F/NOTCH1,2
GO:1903305,regulation of regulated secretory pathway,3/24,128/18860,0.0234375,18.41796875,7.05798981849905,0.000556823113694116,0.0448237997718248,0.0293613803135279,HLA-F/NOTCH1/STXBP5,3
GO:0060740,prostate gland epithelium morphogenesis,2/24,28/18860,0.0714285714285714,56.1309523809524,10.4207001162087,0.000574898875370604,0.0448237997718248,0.0293613803135279,RARG/NOTCH1,2
GO:0035116,embryonic hindlimb morphogenesis,2/24,29/18860,0.0689655172413793,54.1954022988506,10.2330952164943,0.000617004456914575,0.0448237997718248,0.0293613803135279,RARG/NOTCH1,2
GO:0060512,prostate gland morphogenesis,2/24,30/18860,0.0666666666666667,52.3888888888889,10.0548432653452,0.000660562861017529,0.0448237997718248,0.0293613803135279,RARG/NOTCH1,2
GO:1901381,positive regulation of potassium ion transmembrane transport,2/24,30/18860,0.0666666666666667,52.3888888888889,10.0548432653452,0.000660562861017529,0.0448237997718248,0.0293613803135279,KCNQ1/AMIGO1,2
GO:0019883,antigen processing and presentation of endogenous antigen,2/24,32/18860,0.0625,49.1145833333333,9.72344660731662,0.000752024323150453,0.0448237997718248,0.0293613803135279,HLA-F/HLA-C,2
GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,2/24,32/18860,0.0625,49.1145833333333,9.72344660731662,0.000752024323150453,0.0448237997718248,0.0293613803135279,HLA-F/HLA-C,2
GO:0002067,glandular epithelial cell differentiation,2/24,36/18860,0.0555555555555556,43.6574074074074,9.14450833907538,0.000952229491961498,0.0448237997718248,0.0293613803135279,RARG/NOTCH1,2
GO:0035137,hindlimb morphogenesis,2/24,36/18860,0.0555555555555556,43.6574074074074,9.14450833907538,0.000952229491961498,0.0448237997718248,0.0293613803135279,RARG/NOTCH1,2
GO:0003161,cardiac conduction system development,2/24,37/18860,0.0540540540540541,42.4774774774775,9.01445317824769,0.00100586124200555,0.0448237997718248,0.0293613803135279,MSC/NOTCH1,2
GO:0001916,positive regulation of T cell mediated cytotoxicity,2/24,38/18860,0.0526315789473684,41.359649122807,8.88949123219041,0.00106091833779467,0.0448237997718248,0.0293613803135279,HLA-F/HLA-C,2
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,2/24,38/18860,0.0526315789473684,41.359649122807,8.88949123219041,0.00106091833779467,0.0448237997718248,0.0293613803135279,HLA-F/HLA-C,2
GO:0002717,positive regulation of natural killer cell mediated immunity,2/24,38/18860,0.0526315789473684,41.359649122807,8.88949123219041,0.00106091833779467,0.0448237997718248,0.0293613803135279,HLA-F/HLA-C,2
GO:0043268,positive regulation of potassium ion transport,2/24,38/18860,0.0526315789473684,41.359649122807,8.88949123219041,0.00106091833779467,0.0448237997718248,0.0293613803135279,KCNQ1/AMIGO1,2
GO:0045920,negative regulation of exocytosis,2/24,38/18860,0.0526315789473684,41.359649122807,8.88949123219041,0.00106091833779467,0.0448237997718248,0.0293613803135279,HLA-F/NOTCH1,2
GO:0006887,exocytosis,4/24,370/18860,0.0108108108108108,8.4954954954955,5.19760610875157,0.0011349201002721,0.0460323592670364,0.030153035085124,ABCC4/HLA-F/NOTCH1/STXBP5,4
