ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-72312,rRNA processing,57/912,211/11230,0.270142180094787,3.32642180094787,10.142121136412,1.35213959609672e-16,1.8984039929198e-13,1.82894671682557e-13,RPS24/RPS23/RPL30/RPS16/RPS4X/RPS15A/RPL11/TEX10/MRM3/RPS15/FBL/EXOSC5/PDCD11/RPL18/TFB1M/PNO1/IMP3/RPS29/FAU/RPL22/RPUSD3/RPP40/NOB1/RPL8/RPL17/RPS14/RPS20/RPS21/RPL13/UBA52/HSD17B10/EXOSC4/UTP4/WDR36/PES1/EXOSC7/DIMT1/TRUB2/RPL9/IMP4/WDR18/BYSL/NOL11/RRP7A/WDR46/RPL28/NOP58/WDR12/RCL1/RPS2/RIOK1/RPS11/EXOSC1/RPL4/RPS6/EMG1/RRP36,57
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,51/912,184/11230,0.277173913043478,3.41300772311213,9.81149760768438,1.78999963020668e-15,1.25657974040509e-12,1.21060501306084e-12,RPS24/RPS23/RPL30/RPS16/RPS4X/RPS15A/RPL11/TEX10/RPS15/FBL/EXOSC5/PDCD11/RPL18/PNO1/IMP3/RPS29/FAU/RPL22/RPP40/NOB1/RPL8/RPL17/RPS14/RPS20/RPS21/RPL13/UBA52/EXOSC4/UTP4/WDR36/PES1/EXOSC7/RPL9/IMP4/WDR18/BYSL/NOL11/RRP7A/WDR46/RPL28/NOP58/WDR12/RCL1/RPS2/RIOK1/RPS11/EXOSC1/RPL4/RPS6/EMG1/RRP36,51
R-HSA-8868773,rRNA processing in the nucleus and cytosol,52/912,194/11230,0.268041237113402,3.30055163682402,9.60942060728162,4.31187936958629e-15,2.01795954496638e-12,1.94412806663803e-12,RPS24/RPS23/RPL30/RPS16/RPS4X/RPS15A/RPL11/TEX10/RPS15/FBL/EXOSC5/PDCD11/RPL18/PNO1/IMP3/RPS29/FAU/RPL22/RPP40/NOB1/RPL8/RPL17/RPS14/RPS20/RPS21/RPL13/UBA52/EXOSC4/UTP4/WDR36/PES1/EXOSC7/DIMT1/RPL9/IMP4/WDR18/BYSL/NOL11/RRP7A/WDR46/RPL28/NOP58/WDR12/RCL1/RPS2/RIOK1/RPS11/EXOSC1/RPL4/RPS6/EMG1/RRP36,52
R-HSA-9754678,SARS-CoV-2 modulates host translation machinery,20/912,51/11230,0.392156862745098,4.82886136910905,8.14748276601939,8.68821144351217e-10,3.04956221667277e-07,2.93798729076661e-07,RPS24/RPS23/RPS16/RPS4X/RPS15A/RPS15/SNRPF/RPS29/SNRPD2/GEMIN2/FAU/RPS14/RPS20/GEMIN6/RPS21/SNRPD1/SNRPB/RPS2/RPS11/RPS6,20
R-HSA-2408557,Selenocysteine synthesis,27/912,94/11230,0.287234042553192,3.53688409854423,7.34294271689838,3.45977106652841e-09,9.71503715481177e-07,9.35959120102948e-07,RPS24/RPS23/RPL30/RPS16/RPS4X/RPS15A/RPL11/RPS15/RPL18/RPS29/FAU/RPL22/RPL8/RPL17/RPS14/RPS20/RPS21/RPL13/UBA52/RPL9/EEFSEC/RPL28/RPS2/RPS11/RPL4/SEPSECS/RPS6,27
R-HSA-72689,Formation of a pool of free 40S subunits,28/912,102/11230,0.274509803921569,3.38020295837633,7.17919444831459,5.45592635471101e-09,1.18332675228174e-06,1.14003214626033e-06,RPS24/RPS23/RPL30/RPS16/RPS4X/RPS15A/RPL11/RPS15/RPL18/RPS29/FAU/RPL22/RPL8/RPL17/RPS14/RPS20/EIF3G/RPS21/RPL13/UBA52/EIF3H/RPL9/EIF3E/RPL28/RPS2/RPS11/RPL4/RPS6,28
R-HSA-156902,Peptide chain elongation,26/912,90/11230,0.288888888888889,3.557261208577,7.24142352285707,5.89977725496592e-09,1.18332675228174e-06,1.14003214626033e-06,RPS24/RPS23/RPL30/RPS16/RPS4X/RPS15A/RPL11/RPS15/RPL18/RPS29/FAU/RPL22/RPL8/RPL17/RPS14/RPS20/EEF1A1/RPS21/RPL13/UBA52/RPL9/RPL28/RPS2/RPS11/RPL4/RPS6,26
R-HSA-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,26/912,91/11230,0.285714285714286,3.51817042606516,7.17055731768741,7.63281716736474e-09,1.33955941287251e-06,1.29054869211364e-06,RPS24/RPS23/RPL30/RPS16/RPS4X/RPS15A/RPL11/RPS15/RPL18/RPS29/FAU/RPL22/RPL8/RPL17/RPS14/RPS20/RPS21/RPL13/UBA52/ABCE1/RPL9/RPL28/RPS2/RPS11/RPL4/RPS6,26
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,29/912,112/11230,0.258928571428571,3.18834194862155,6.91960111971514,1.25126483936573e-08,1.58754340220202e-06,1.52945964299715e-06,RPS24/EIF2S3/RPS23/RPL30/RPS16/RPS4X/RPS15A/RPL11/RPS15/RPL18/RPS29/FAU/RPL22/RPL8/RPL17/RPS14/RPS20/EIF3G/RPS21/RPL13/UBA52/EIF3H/RPL9/EIF3E/RPL28/RPS2/RPS11/RPL4/RPS6,29
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,29/912,113/11230,0.256637168141593,3.16012653314703,6.86111673811385,1.55530303974908e-08,1.58754340220202e-06,1.52945964299715e-06,RPS24/RPS23/RPL30/RPS16/RPS4X/RPS15A/RPL11/RPS15/RPL18/RPS29/FAU/SRPRB/RPL22/RPL8/RPL17/RPS14/RPS20/RPS21/RPL13/UBA52/SSR4/SSR2/RPL9/SPCS3/RPL28/RPS2/RPS11/RPL4/RPS6,29
