ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-9012999,RHO GTPase cycle,174/2363,442/11230,0.393665158371041,1.87086742636766,9.64287994851078,2.5969985316844e-19,4.28504757727926e-16,3.52918432042585e-16,DOCK5/CHN1/CDC42BPB/DST/MYO6/ABR/NCKAP1/ARHGEF12/PREX1/GIT1/ARHGAP5/SRGAP1/PKP4/CDC42EP1/SPTAN1/CCP110/SLK/RAC1/KALRN/VIM/DOCK3/STMN2/CCDC88A/PLD2/FRS3/MYO9A/TEX2/SPEN/FGD4/FMNL2/ARAP2/KCTD3/PLD1/MYO9B/LRRC1/GOLGA3/AKAP12/CCT6A/ACBD5/PIK3R2/CKB/BCR/FAM13A/FNBP1/SRRM1/JAG1/NGEF/CYFIP1/IL32/ELMO2/VAMP3/ARHGAP21/KTN1/OPHN1/PHIP/PTPN13/RAPGEF1/RACGAP1/NDUFA5/TUBA1B/TNFAIP1/ITGB1/DIAPH2/SRGAP3/SCRIB/SOS1/ARHGAP24/ARHGAP1/CDC42BPA/SLITRK3/CDC42EP4/ARHGAP22/CEP97/ARHGDIA/ECT2/STOM/ROCK2/DOCK7/WAS/SWAP70/ARHGEF7/RALBP1/ARMCX3/EFHD2/ARHGEF25/CDC37/ARHGAP19/SOS2/RHOA/WASL/STEAP3/CKAP4/RAB7A/RHOG/VAV2/RHOU/SLITRK5/WWP2/FARP2/VRK2/IQGAP1/RTKN/BASP1/AKAP13/PAK1/ATP6AP1/CPD/KCTD13/MAP3K11/ARHGEF11/WDR81/PLXNA1/NISCH/FNBP1L/PICALM/DAAM1/ITSN1/STARD13/BLTP3B/SH3RF1/RHOBTB2/ARHGAP17/OCRL/SH3BP1/RHOC/ALS2/MCF2L/HGS/DIAPH1/GRB2/WASF2/TRIO/TIAM2/ARHGAP27/ANKRD26/ARHGAP20/ARHGEF2/ARHGAP42/BCAP31/ARHGAP35/PAK4/ARL13B/HSP90AA1/GIT2/UBXN11/DDRGK1/ARHGEF40/FAM135A/CPSF7/MOSPD2/DOCK8/NCF4/STAM2/RHPN2/DLG5/MCF2/SH3PXD2A/RHOB/SRC/TMEM87A/IQGAP2/NUDC/ALDH3A2/FARP1/NHS/CDC42EP3/CPNE8/OSBPL11/ANKFY1/FAF2/PTK2B/TWF1/ARHGAP18/RHOD,174
R-HSA-9013148,CDC42 GTPase cycle,68/2363,156/11230,0.435897435897436,2.07157351042243,6.95738531655784,1.52613447121094e-10,1.25906093874902e-07,1.03696821175438e-07,CHN1/CDC42BPB/ABR/ARHGEF12/PREX1/GIT1/ARHGAP5/SRGAP1/CDC42EP1/FGD4/FMNL2/ARAP2/KCTD3/PLD1/MYO9B/PIK3R2/BCR/FNBP1/NGEF/VAMP3/ARHGAP21/KTN1/OPHN1/RACGAP1/SRGAP3/SCRIB/ARHGAP24/ARHGAP1/CDC42BPA/CDC42EP4/ARHGAP22/ARHGDIA/ECT2/STOM/DOCK7/WAS/ARHGEF7/RALBP1/ARHGEF25/WASL/STEAP3/RAB7A/VAV2/IQGAP1/PAK1/MAP3K11/ARHGEF11/WDR81/FNBP1L/DAAM1/ITSN1/STARD13/ARHGAP17/MCF2L/TRIO/ARHGAP27/ARHGAP20/ARHGAP42/ARHGAP35/PAK4/GIT2/DOCK8/MCF2/SH3PXD2A/IQGAP2/FARP1/CDC42EP3/CPNE8,68
R-HSA-9013149,RAC1 GTPase cycle,72/2363,185/11230,0.389189189189189,1.84959568116572,6.01491296655147,1.75707477653704e-08,9.66391127095374e-06,7.95924047898009e-06,DOCK5/CHN1/ABR/NCKAP1/PREX1/GIT1/ARHGAP5/SRGAP1/CDC42EP1/RAC1/KALRN/DOCK3/PLD2/ARAP2/PLD1/MYO9B/PIK3R2/BCR/FAM13A/JAG1/NGEF/CYFIP1/VAMP3/ARHGAP21/KTN1/OPHN1/RACGAP1/ITGB1/SRGAP3/SOS1/ARHGAP24/ARHGAP1/CDC42BPA/CDC42EP4/ARHGAP22/ARHGDIA/ECT2/DOCK7/WAS/SWAP70/ARHGEF7/RALBP1/ARHGEF25/SOS2/WASL/RAB7A/VAV2/FARP2/VRK2/IQGAP1/PAK1/ARHGEF11/NISCH/ARHGAP17/SH3BP1/ALS2/MCF2L/WASF2/TRIO/TIAM2/ARHGAP27/ARHGAP20/ARHGAP42/ARHGAP35/PAK4/GIT2/DOCK8/NCF4/MCF2/IQGAP2/FARP1/NHS,72
R-HSA-9013409,RHOJ GTPase cycle,30/2363,55/11230,0.545454545454545,2.59223637133074,6.11053402350591,4.79888092851202e-08,1.97953838301121e-05,1.63035665229185e-05,CDC42BPB/PREX1/GIT1/ARHGAP5/CDC42EP1/PIK3R2/FNBP1/VAMP3/ARHGAP21/OPHN1/SCRIB/ARHGAP1/CDC42BPA/STOM/WAS/ARHGEF7/WASL/STEAP3/RAB7A/WWP2/PAK1/FNBP1L/OCRL/TRIO/ARHGAP35/PAK4/ARL13B/GIT2/DOCK8/CPNE8,30
R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,142/2363,452/11230,0.314159292035398,1.49302109587707,5.52305894127797,8.89486183941685e-08,2.58272378293507e-05,2.12714284132005e-05,HIP1/ZFYVE9/CLIP1/NCOR2/POLR2A/PTPN11/TRAK1/RAC1/TPR/MPRIP/FRS3/QKI/FBXW7/NTRK2/GAB1/GAB2/KIF5B/HDAC11/AKT1/FOXO4/PPP2CB/MYO18A/DCTN1/KLC1/GTF2F1/PIK3R2/PRKAR1A/NF1/FZD6/MYH9/BCR/ERBB3/TLN1/JAG1/NCOR1/GOLGB1/PPP2R5B/TSC2/STAT3/MECP2/PDGFB/TRIP11/KL/MTOR/RRBP1/CREBBP/SOS1/CUX1/PAPSS1/BCL2L1/PDPK1/PSMD12/FAM131B/PPP2R5D/PORCN/DUSP7/RB1/MAML1/FKBP1A/CALM1/AKT3/CDC37/CNTRL/AGO4/SYVN1/FLT3/RHOG/DNMT1/MAMLD1/CLCN6/MRAS/HDAC6/SHC1/PPP2R1A/PIK3CB/HDAC8/IQGAP1/IRS2/NRG4/PSMD1/MAP3K11/HDAC4/MAP2K1/KAT2B/KITLG/CAMK2G/CEP43/TNKS/EP300/AP3B1/JUN/OS9/BDNF/AMER1/APC/VWF/GSK3B/NCSTN/VCL/GRB2/POLR2E/AKT1S1/MIB1/RBPJ/CAMK2D/CTBP1/PPFIBP1/GOLGA4/APBB1IP/HES1/ERLEC1/PSENEN/PIM1/FGF1/PTPN12/HSP90AA1/RANBP2/KREMEN1/MAPK9/CUL1/KIT/PSMB2/AGO1/AXIN1/IL10RA/PSEN2/ETV6/CARS1/PSMC5/CALM2/HGF/SPRED1/MAPK3/SRC/PSEN1/FIP1L1/ATIC/TGFA/FGF9/LMNA/NOTCH1/LRP5,142
R-HSA-1852241,Organelle biogenesis and maintenance,101/2363,297/11230,0.34006734006734,1.61614736731114,5.55529588590026,1.06245213959713e-07,2.58272378293507e-05,2.12714284132005e-05,TUBB4A/CKAP5/ARL3/CCP110/DYNC1H1/NCOA6/RXRA/DCTN2/PCM1/DYNC1I2/NPHP4/DCTN1/GBF1/CSNK1E/ACTR1A/HCFC1/NCOR1/NCOA1/KIFAP3/TUBA1B/TRIP11/YWHAG/TMEM67/CREBBP/RAB11FIP3/CEP97/ATP5F1B/PPARGC1B/ASAP1/NPHP3/BBS5/CALM1/CNTRL/PCNT/DYNLRB1/CEP164/WDR35/GLUD1/KIF3B/HSPA9/HDAC6/AHI1/PPP2R1A/SDCCAG8/PKD2/CRTC2/INPP5E/ODF2/DYNLL1/TUBB2A/CEP250/ALMS1/IMMT/CEP43/ARL6/APOO/CARM1/CEP162/TUBG1/MEF2C/CDK5RAP2/IFT122/PPARGC1A/PRKAB2/CPAP/PPARA/PKD1/MKKS/ARL13B/EXOC2/HSP90AA1/EXOC6/IFT172/IFT70A/RAB11A/CHD9/SMARCD3/YWHAE/BBS7/NDE1/NPHP1/TRAF3IP1/POLRMT/NCOA2/IFT88/CRTC1/SEPTIN2/CALM2/TUBA1C/EXOC7/CEP89/MEF2D/EXOC3/CRTC3/PLK4/HELZ2/CLASP1/ATP5F1D/DYNC2LI1/PLK1/ACSS2,101
R-HSA-6798695,Neutrophil degranulation,146/2363,469/11230,0.311300639658849,1.47943554099402,5.47525535605838,1.09570099882094e-07,2.58272378293507e-05,2.12714284132005e-05,C3/SPTAN1/DYNC1H1/SIRPA/RAC1/CD59/CYB5R3/PLD1/PTPRN2/HUWE1/RAB31/S100A11/ITGAV/MPO/IGF2R/PDXK/RAB27A/RAB5B/LAMP1/NFASC/CYFIP1/RAB3A/PRCP/PADI2/PTPRB/TOLLIP/CHI3L1/PKM/GPI/ALAD/LAMP2/STOM/PSMD12/KPNB1/ADAM8/DNAJC5/GLB1/ALDOA/CAB39/SERPINA3/CST3/RHOA/CTSB/CKAP4/RAB7A/RHOG/BPI/ITGAM/HSPA1A/CTSA/DNAJC13/DYNLL1/IQGAP1/ATP6V0A1/NBEAL2/MCEMP1/GYG1/PSMD1/FUCA2/IMPDH1/PRKCD/DYNC1LI1/CSTB/SLCO4C1/ACTR1B/SLC2A5/GAA/KCNAB2/SRP14/CANT1/ACTR2/CEACAM1/GM2A/MLEC/ACTR10/CXCR1/HEXB/VPS35L/NCSTN/ANXA2/PYGL/DEGS1/ACLY/VCL/HGSNAT/DIAPH1/EEF2/SCAMP1/SLC15A4/LILRB2/SERPINB10/SNAP29/MGST1/RAB10/GRN/PGRMC1/C3AR1/TRPM2/TNFRSF1B/RAB6A/AP2A2/OSCAR/TRAPPC1/CDA/ALDH3B1/ALOX5/QSOX1/ASAH1/HSP90AA1/GHDC/ORM1/ATP6V0C/ARSB/MAN2B1/CRISPLD2/MOSPD2/VAT1/MGAM/PGM1/MVP/STING1/CD58/S100P/TNFAIP6/ATP6AP2/UBR4/RNASE2/QPCT/TMEM63A/PSEN1/ENPP4/KCMF1/ATP8A1/IQGAP2/ATP6V1D/OSTF1/GOLGA7/PRDX6/CDK13/MMP25/FAF2/PA2G4/MAGT1/SYNGR1/PSAP/HPSE,146
R-HSA-9007101,Rab regulation of trafficking,51/2363,123/11230,0.414634146341463,1.97052114406036,5.58692985551586,2.08208959617978e-07,4.2943097921208e-05,3.53681272193171e-05,DENND3/TBC1D14/GDI1/RAB31/AKT1/TBC1D16/OPTN/TBC1D2/TSC1/SBF1/RAB27A/RAB5B/TSC2/RAB3A/TBC1D13/MAP1LC3B/RGP1/TBC1D17/AKT3/DENND4B/RAB7A/DENND5B/DENND5A/ULK1/GGA3/RAB1B/DENND2B/RAB3GAP2/RABGAP1/SBF2/GGA2/TBC1D10B/RAB27B/RAB6B/RIN2/ALS2/TRAPPC11/TBC1D20/TRAPPC10/RAB10/HPS4/RAB6A/TRAPPC1/TRAPPC9/RAB11A/YWHAE/RAB4A/TRAPPC12/RAB5A/RIN3/RAB21,51
R-HSA-8980692,RHOA GTPase cycle,57/2363,144/11230,0.395833333333333,1.88117153336155,5.49374269639064,2.72287829816118e-07,4.99194354662883e-05,4.11138699757437e-05,ABR/ARHGEF12/PREX1/ARHGAP5/SRGAP1/SLK/KALRN/MYO9A/TEX2/ARAP2/PLD1/MYO9B/ACBD5/PIK3R2/BCR/FAM13A/NGEF/VAMP3/ARHGAP21/KTN1/OPHN1/RACGAP1/ARHGAP24/ARHGAP1/ARHGAP22/ARHGDIA/ECT2/STOM/ROCK2/ARHGEF7/ARHGEF25/ARHGAP19/RHOA/VAV2/IQGAP1/RTKN/AKAP13/ATP6AP1/ARHGEF11/DAAM1/STARD13/MCF2L/DIAPH1/TRIO/ARHGAP20/ARHGEF2/ARHGAP42/BCAP31/ARHGAP35/DDRGK1/ARHGEF40/RHPN2/MCF2/TMEM87A/FARP1/FAF2/ARHGAP18,57
R-HSA-112316,Neuronal System,127/2363,408/11230,0.311274509803922,1.4793113606001,5.09105849468287,7.49995967090647e-07,0.000123749334569957,0.000101920504580424,NEFL/TUBB4A/MYO6/STXBP1/GRIA3/GIT1/TSPAN7/RAC1/DLGAP4/GNB1/GLUL/SLC6A1/AP2A1/ADCY9/LIN7A/GABRB2/DLG4/NSF/KCNA2/DLGAP1/EPB41L2/KCND3/NPTN/PRKAR1A/PTPRF/PPFIA1/SLC6A12/VAMP2/AP2M1/SYN3/KCNMA1/CASK/RTN3/ALDH2/CACNB1/KCNB1/GAD1/RAB3A/CACNB3/KCNH8/DLG3/TUBA1B/KCNJ6/GNAL/ADCY3/CACNB4/KCNS1/GNAI2/EPB41L3/GABRA5/SLITRK3/KCNJ10/ADCY6/PDPK1/KCNK1/SLC1A3/ARHGEF7/ADCY8/DNAJC5/PICK1/CALM1/NRXN1/KCNC1/SYN2/AKAP5/NRXN2/PANX2/GLRA3/KCNAB1/CAMKK1/DLG1/SLITRK5/SLITRK1/PLCB1/KCNC2/TUBB2A/ABCC9/CAMK2G/EPB41L1/KCNAB2/ADCY5/NLGN4X/EPB41L5/LRFN3/KCNMB1/PLCB2/CACNA2D2/GRIK2/CPLX1/ABAT/GLS2/KCNJ2/CAMK2D/SLITRK4/PPFIBP1/RPS6KA2/PRKAB2/PRKCA/AP2A2/PRKAR2A/CAMKK2/CACNA1A/PPM1F/ADCY4/BCHE/SIPA1L1/PRKCB/KCNJ16/NRGN/GNG7/PPFIBP2/GRIN2A/UNC13B/CALM2/TUBA1C/GABBR1/BEGAIN/HCN3/MAPK3/SRC/GRIN3A/LRFN4/KCNA7/KCND1/GNB5/SYN1/HCN2,127
