ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,36/961,113/11230,0.31858407079646,3.72289189910952,8.89905675579535,1.29443244276276e-12,1.23782544667895e-09,1.10694353627677e-09,RPS24/RPS23/RPS15A/RPS16/RPS15/RPL11/RPS2/RPL18/FAU/RPL17/SSR2/RPS21/RPL30/SSR4/SSR1/RPS14/RPS29/DDOST/RPS11/RPS20/RPL6/RPL8/RPL13/SRP19/RPN1/RPL22/SEC11A/RPN2/RPL5/RPL9/UBA52/TRAM1/SRPRA/SPCS3/SRPRB/RPL4,36
R-HSA-72766,Translation,74/961,368/11230,0.201086956521739,2.34985069900014,8.05420916132089,1.70852373592678e-12,1.23782544667895e-09,1.10694353627677e-09,RPS24/RPS23/RPS15A/RPS16/GADD45GIP1/RPS15/RPL11/RPS2/MRPL12/RPL18/FAU/RPL17/MRPL11/MRPL55/SSR2/RPS21/MRPL10/RPL30/UFD1/MRPL14/EEF1A1/MRPS12/SSR4/SSR1/EEF1B2/RPS14/ELOB/EIF3K/ABCE1/MRPS17/RPS29/DDOST/RPS11/RPS20/QARS1/RPL6/OXA1L/AIMP2/RPL8/PSMA1/RPL13/EIF3G/PSMD13/SRP19/EIF3M/RPN1/MRPL47/MRPL49/MRPL9/MRPL17/RPL22/EIF2B3/SEC11A/AIMP1/RPN2/RPL5/RPL9/RBX1/MRPS7/EIF4H/UBA52/TRAM1/SRPRA/SPCS3/SRPRB/RPL4/EIF3E/MRPS16/FARSA/MRPL3/MRPS2/UBE2D2/EIF3D/EIF4A1,74
R-HSA-72312,rRNA processing,48/961,211/11230,0.227488151658768,2.65836830710506,7.43908092849446,2.03359450538716e-10,7.69329171811808e-08,6.879838803533e-08,RPS24/MRM3/RPS23/RPS15A/RPS16/RPS15/FBL/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/PNO1/RPL30/IMP3/BYSL/PDCD11/RPS14/HSD17B10/RPS29/NIP7/RPS11/RPS20/RCC1L/WDR36/EXOSC4/RPL6/DCAF13/RPL8/RPL13/TEX10/EXOSC5/RPL22/RIOK1/IMP4/RPL5/RPL9/NOB1/UBA52/MRM2/UTP15/DDX49/NOL11/BUD23/RPL4/EXOSC1/DDX21,48
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,44/961,184/11230,0.239130434782609,2.79441704745962,7.50754486808605,2.12375202708574e-10,7.69329171811808e-08,6.879838803533e-08,RPS24/RPS23/RPS15A/RPS16/RPS15/FBL/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/PNO1/RPL30/IMP3/BYSL/PDCD11/RPS14/RPS29/NIP7/RPS11/RPS20/WDR36/EXOSC4/RPL6/DCAF13/RPL8/RPL13/TEX10/EXOSC5/RPL22/RIOK1/IMP4/RPL5/RPL9/NOB1/UBA52/UTP15/DDX49/NOL11/BUD23/RPL4/EXOSC1/DDX21,44
R-HSA-8868773,rRNA processing in the nucleus and cytosol,44/961,194/11230,0.22680412371134,2.65037493161119,7.09325863105908,1.28979820363093e-09,3.73783519412244e-07,3.34261387088353e-07,RPS24/RPS23/RPS15A/RPS16/RPS15/FBL/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/PNO1/RPL30/IMP3/BYSL/PDCD11/RPS14/RPS29/NIP7/RPS11/RPS20/WDR36/EXOSC4/RPL6/DCAF13/RPL8/RPL13/TEX10/EXOSC5/RPL22/RIOK1/IMP4/RPL5/RPL9/NOB1/UBA52/UTP15/DDX49/NOL11/BUD23/RPL4/EXOSC1/DDX21,44
R-HSA-9754678,SARS-CoV-2 modulates host translation machinery,20/961,51/11230,0.392156862745098,4.5826447124115,7.8443237499168,2.17640980296643e-09,4.92886474587776e-07,4.40770949269952e-07,RPS24/RPS23/RPS15A/RPS16/RPS15/RPS2/FAU/RPS21/RPS14/SNRPF/RPS29/RPS11/RPS20/GEMIN2/SNRPD2/DDX20/GEMIN4/SNRPB/GEMIN7/SNRPD1,20
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,31/961,112/11230,0.276785714285714,3.2344470046083,7.26999133225571,2.38109408013419e-09,4.92886474587776e-07,4.40770949269952e-07,RPS24/RPS23/RPS15A/RPS16/RPS15/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/RPL30/RPS14/EIF3K/RPS29/RPS11/RPS20/RPL6/RPL8/RPL13/EIF3G/EIF3M/RPL22/RPL5/RPL9/EIF4H/UBA52/RPL4/EIF3E/EIF3D/EIF4A1,31
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,31/961,113/11230,0.274336283185841,3.20582357978875,7.20915480935229,3.01775711316279e-09,5.22748530139837e-07,4.67475529840645e-07,RPS24/RPS23/RPS15A/RPS16/RPS15/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/RPL30/RPS14/EIF3K/RPS29/RPS11/RPS20/RPL6/RPL8/RPL13/EIF3G/EIF3M/RPL22/RPL5/RPL9/EIF4H/UBA52/RPL4/EIF3E/EIF3D/EIF4A1,31
R-HSA-72613,Eukaryotic Translation Initiation,32/961,120/11230,0.266666666666667,3.11619840443982,7.12948457904982,3.63405808165767e-09,5.22748530139837e-07,4.67475529840645e-07,RPS24/RPS23/RPS15A/RPS16/RPS15/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/RPL30/RPS14/EIF3K/RPS29/RPS11/RPS20/RPL6/RPL8/RPL13/EIF3G/EIF3M/RPL22/EIF2B3/RPL5/RPL9/EIF4H/UBA52/RPL4/EIF3E/EIF3D/EIF4A1,32
R-HSA-72737,Cap-dependent Translation Initiation,32/961,120/11230,0.266666666666667,3.11619840443982,7.12948457904982,3.63405808165767e-09,5.22748530139837e-07,4.67475529840645e-07,RPS24/RPS23/RPS15A/RPS16/RPS15/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/RPL30/RPS14/EIF3K/RPS29/RPS11/RPS20/RPL6/RPL8/RPL13/EIF3G/EIF3M/RPL22/EIF2B3/RPL5/RPL9/EIF4H/UBA52/RPL4/EIF3E/EIF3D/EIF4A1,32
R-HSA-72689,Formation of a pool of free 40S subunits,29/961,102/11230,0.284313725490196,3.32241741649834,7.20775415200092,3.96841534267647e-09,5.22748530139837e-07,4.67475529840645e-07,RPS24/RPS23/RPS15A/RPS16/RPS15/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/RPL30/RPS14/EIF3K/RPS29/RPS11/RPS20/RPL6/RPL8/RPL13/EIF3G/EIF3M/RPL22/RPL5/RPL9/UBA52/RPL4/EIF3E/EIF3D,29
R-HSA-168273,Influenza Viral RNA Transcription and Replication,33/961,136/11230,0.242647058823529,2.83551141580462,6.58795495671318,2.66057320270797e-08,3.21264214226988e-06,2.87295229169607e-06,RPS24/RPS23/RPS15A/RPS16/RPS15/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/RPL30/RPS14/RPS29/RPS11/RPS20/POLR2G/POLR2L/RPL6/RPL8/RPL13/RPL22/SEC13/RPL5/RPL9/RAE1/UBA52/NUP98/NUP35/NUP54/RPL4/NUP37/NUP160,33
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,32/961,130/11230,0.246153846153846,2.87649083486753,6.58301420403458,2.99250246994229e-08,3.33548929149722e-06,2.98281015425017e-06,CRTAM/ICAM3/LILRA1/ITGB2/ITGA4/HCST/ITGB7/ITGAL/CD8B/SIGLEC7/CD300LB/COL1A1/KLRD1/HLA-F/ICAM1/CD96/LAIR1/NCR3/JAML/LAIR2/CD160/LILRB1/CD3G/ULBP1/SLAMF6/CD300A/ICAM4/TREM1/TYROBP/CD300C/SH2D1A/SH2D1B,32
R-HSA-156842,Eukaryotic Translation Elongation,26/961,94/11230,0.276595744680851,3.23222706843492,6.64822705954572,4.70087999079718e-08,4.86541079047508e-06,4.35096486366265e-06,RPS24/RPS23/RPS15A/RPS16/RPS15/RPL11/RPS2/RPL18/FAU/RPL17/RPS21/RPL30/EEF1A1/EEF1B2/RPS14/RPS29/RPS11/RPS20/RPL6/RPL8/RPL13/RPL22/RPL5/RPL9/UBA52/RPL4,26
