ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-9012999,RHO GTPase cycle,156/2156,442/11230,0.352941176470588,1.83837171232129,8.76542168259401,3.32056267731292e-16,5.45568447882513e-13,4.8305448632068e-13,CHN1/DST/KALRN/CCP110/FAM13A/DOCK5/NCKAP1/MYO9A/ARHGEF12/CDC42BPA/SPTAN1/CDC42BPB/ABR/PKP4/AKAP12/ARHGAP5/PTPN13/FRS3/PREX1/GIT1/ARHGAP21/OPHN1/STMN2/TEX2/NGEF/ARHGAP24/FMNL2/MYO6/ARAP2/CCDC88A/PLD1/CEP97/SRRM1/DAAM1/SPEN/TIAM1/ITSN1/CKB/ALS2/HGS/SOS1/DOCK7/PHIP/DOCK3/SRGAP1/WASL/RALGAPA1/SLK/KCTD13/PLD2/PLXNA1/FARP2/FGD4/TNFAIP1/CDC42EP1/ROCK2/ECT2/SRGAP3/KCTD3/KTN1/DOCK9/ANKRD26/ARHGAP42/VAPB/ARHGEF11/RHOBTB2/BASP1/PAK4/RAB7A/LRRC1/MOSPD2/CDC42EP4/DOCK10/ANKFY1/FARP1/FNBP1/CYFIP1/RALBP1/SCRIB/USP9X/ARHGAP12/NISCH/PIK3R2/TIAM2/STARD13/ARHGAP35/CDC37/WAS/ELMO2/BCR/MCF2/ATP6AP1/SPTBN1/EFHD2/FAM13B/TRIO/IL32/ARHGEF40/ARL13B/CHN2/ARHGEF25/AKAP13/DIAPH2/PICALM/ITGB1/TMOD3/STAM/TUBA1B/SOS2/SLITRK3/CCT6A/RACGAP1/SWAP70/VIM/CPNE8/ARHGAP19/VAV2/RAPGEF1/ARHGAP1/CPSF7/RHPN2/MCF2L/MYO9B/BCAP31/ARHGAP17/NUDC/OCRL/ARHGAP6/ARAP3/ARHGAP27/ADD3/ARMCX3/SLITRK5/ARHGEF3/PIK3R1/ARHGAP20/WDR81/RBBP6/HSP90AA1/NCK2/CAV1/NDUFA5/WASF3/ARHGAP28/WDR6/NSFL1C/STOM/ABI2/WWP2/CYFIP2/TMEM87A/KIF14/FNBP1L/STIP1/GOLGA3/ARHGEF2,156
R-HSA-1852241,Organelle biogenesis and maintenance,104/2156,297/11230,0.35016835016835,1.82392883691585,7.01445260969173,5.80896883873401e-11,4.77206790101999e-08,4.22526049217389e-08,TUBB4A/CKAP5/CCP110/NCOA6/DYNC1I2/TRIP11/CPAP/SDCCAG8/DYNC1H1/CEP162/NPHP3/DCTN1/DCTN2/CEP97/WDR35/NCOA1/ASAP1/CALM3/HCFC1/CNTRL/TMEM67/TUBB2A/ARL3/CEP164/WDR19/BBS5/ALMS1/EXOC7/PCM1/EXOC6/IFT80/AHI1/CREBBP/BBS7/CRTC3/HDAC6/NPHP4/CARM1/CSNK1E/NR1D1/ARL6/CEP135/RAB3IP/TRAF3IP1/APOO/BBS4/CLASP1/NCOR1/IFT56/EXOC1/DYNLRB1/BBS2/CEP63/IFT74/PRKAR2B/CEP192/PKD2/CEP250/KIF3B/CRTC2/EXOC2/ARL13B/TUBG1/CEP89/KIFAP3/CEP290/RXRA/TUBA1B/SMARCD3/YWHAE/ACTR1A/CDK5RAP2/DYNC2LI1/NPHP1/MKKS/IFT88/PPARGC1B/RAB11FIP3/IMMT/PLK4/PCNT/CALM2/POLRMT/TUBA1A/DYNC2I1/MEF2C/CRTC1/PRKAB2/PPARGC1A/ATP5PD/CLUAP1/ODF2/HELZ2/HSP90AA1/CEP43/APOOL/IFT172/CHD9/ATAT1/GLUD1/GBF1/ACSS2/NDE1/INPP5E,104
R-HSA-5617833,Cilium Assembly,77/2156,201/11230,0.383084577114428,1.9953802416489,6.94087954896867,1.6141879917952e-10,8.84036956839837e-08,7.82739580582794e-08,TUBB4A/CKAP5/CCP110/DYNC1I2/TRIP11/CPAP/SDCCAG8/DYNC1H1/CEP162/NPHP3/DCTN1/DCTN2/CEP97/WDR35/ASAP1/CNTRL/TMEM67/TUBB2A/ARL3/CEP164/WDR19/BBS5/ALMS1/EXOC7/PCM1/EXOC6/IFT80/AHI1/BBS7/HDAC6/NPHP4/CSNK1E/ARL6/CEP135/RAB3IP/TRAF3IP1/BBS4/CLASP1/IFT56/EXOC1/DYNLRB1/BBS2/CEP63/IFT74/PRKAR2B/CEP192/PKD2/CEP250/KIF3B/EXOC2/ARL13B/TUBG1/CEP89/KIFAP3/CEP290/TUBA1B/YWHAE/ACTR1A/CDK5RAP2/DYNC2LI1/NPHP1/MKKS/IFT88/RAB11FIP3/PLK4/PCNT/TUBA1A/DYNC2I1/CLUAP1/ODF2/HSP90AA1/CEP43/IFT172/ATAT1/GBF1/NDE1/INPP5E,77
R-HSA-9013148,CDC42 GTPase cycle,62/2156,156/11230,0.397435897435897,2.07013224870368,6.5605918956278,1.80700381074182e-09,7.42226815262202e-07,6.57178754327682e-07,CHN1/ARHGEF12/CDC42BPA/CDC42BPB/ABR/ARHGAP5/PREX1/GIT1/ARHGAP21/OPHN1/NGEF/ARHGAP24/FMNL2/ARAP2/PLD1/DAAM1/TIAM1/ITSN1/DOCK7/SRGAP1/WASL/FGD4/CDC42EP1/ECT2/SRGAP3/KCTD3/KTN1/DOCK9/ARHGAP42/ARHGEF11/PAK4/RAB7A/CDC42EP4/DOCK10/FARP1/FNBP1/RALBP1/SCRIB/PIK3R2/STARD13/ARHGAP35/WAS/BCR/MCF2/FAM13B/TRIO/ARHGEF25/RACGAP1/CPNE8/VAV2/ARHGAP1/MCF2L/MYO9B/ARHGAP17/ARAP3/ARHGAP27/PIK3R1/ARHGAP20/WDR81/CAV1/STOM/FNBP1L,62
R-HSA-9013149,RAC1 GTPase cycle,68/2156,185/11230,0.367567567567568,1.91455648598506,6.11376962480314,1.37573954492468e-08,4.52068014462248e-06,4.00267800228611e-06,CHN1/KALRN/FAM13A/DOCK5/NCKAP1/CDC42BPA/ABR/ARHGAP5/PREX1/GIT1/ARHGAP21/OPHN1/NGEF/ARHGAP24/ARAP2/PLD1/TIAM1/ALS2/SOS1/DOCK7/DOCK3/SRGAP1/WASL/PLD2/FARP2/CDC42EP1/ECT2/SRGAP3/KTN1/DOCK9/ARHGAP42/ARHGEF11/PAK4/RAB7A/CDC42EP4/DOCK10/FARP1/CYFIP1/RALBP1/ARHGAP12/NISCH/PIK3R2/TIAM2/ARHGAP35/WAS/BCR/MCF2/FAM13B/TRIO/CHN2/ARHGEF25/ITGB1/SOS2/RACGAP1/SWAP70/VAV2/ARHGAP1/MCF2L/MYO9B/ARHGAP17/ARAP3/ARHGAP27/PIK3R1/ARHGAP20/CAV1/WASF3/ABI2/CYFIP2,68
R-HSA-380270,Recruitment of mitotic centrosome proteins and complexes,36/2156,81/11230,0.444444444444444,2.31498660070089,5.78950470146809,1.73709554842134e-07,4.07721140865181e-05,3.61002413220796e-05,TUBB4A/CKAP5/CCP110/DYNC1I2/CPAP/SDCCAG8/DYNC1H1/DCTN1/DCTN2/CNTRL/CEP164/ALMS1/TUBG2/PCM1/CSNK1E/CEP135/CLASP1/CEP63/PRKAR2B/CEP192/CEP250/TUBGCP6/TUBG1/CEP290/YWHAE/ACTR1A/CDK5RAP2/PLK4/PCNT/NME7/TUBA1A/ODF2/HSP90AA1/CEP43/TUBGCP4/NDE1,36
R-HSA-380287,Centrosome maturation,36/2156,81/11230,0.444444444444444,2.31498660070089,5.78950470146809,1.73709554842134e-07,4.07721140865181e-05,3.61002413220796e-05,TUBB4A/CKAP5/CCP110/DYNC1I2/CPAP/SDCCAG8/DYNC1H1/DCTN1/DCTN2/CNTRL/CEP164/ALMS1/TUBG2/PCM1/CSNK1E/CEP135/CLASP1/CEP63/PRKAR2B/CEP192/CEP250/TUBGCP6/TUBG1/CEP290/YWHAE/ACTR1A/CDK5RAP2/PLK4/PCNT/NME7/TUBA1A/ODF2/HSP90AA1/CEP43/TUBGCP4/NDE1,36
R-HSA-8854518,AURKA Activation by TPX2,33/2156,72/11230,0.458333333333333,2.38732993197279,5.75636544878041,2.32271204344747e-07,4.1462180779031e-05,3.67112367214151e-05,TUBB4A/CKAP5/CCP110/DYNC1I2/CPAP/SDCCAG8/DYNC1H1/DCTN1/DCTN2/CNTRL/CEP164/ALMS1/PCM1/CSNK1E/CEP135/CLASP1/TPX2/CEP63/PRKAR2B/CEP192/CEP250/TUBG1/CEP290/YWHAE/ACTR1A/CDK5RAP2/PLK4/PCNT/TUBA1A/ODF2/HSP90AA1/CEP43/NDE1,33
R-HSA-380259,Loss of Nlp from mitotic centrosomes,32/2156,69/11230,0.463768115942029,2.41563819203571,5.74937708664064,2.52356547650827e-07,4.1462180779031e-05,3.67112367214151e-05,TUBB4A/CKAP5/CCP110/DYNC1I2/CPAP/SDCCAG8/DYNC1H1/DCTN1/DCTN2/CNTRL/CEP164/ALMS1/PCM1/CSNK1E/CEP135/CLASP1/CEP63/PRKAR2B/CEP192/CEP250/TUBG1/CEP290/YWHAE/ACTR1A/CDK5RAP2/PLK4/PCNT/TUBA1A/ODF2/HSP90AA1/CEP43/NDE1,32
R-HSA-380284,Loss of proteins required for interphase microtubule organization from the centrosome,32/2156,69/11230,0.463768115942029,2.41563819203571,5.74937708664064,2.52356547650827e-07,4.1462180779031e-05,3.67112367214151e-05,TUBB4A/CKAP5/CCP110/DYNC1I2/CPAP/SDCCAG8/DYNC1H1/DCTN1/DCTN2/CNTRL/CEP164/ALMS1/PCM1/CSNK1E/CEP135/CLASP1/CEP63/PRKAR2B/CEP192/CEP250/TUBG1/CEP290/YWHAE/ACTR1A/CDK5RAP2/PLK4/PCNT/TUBA1A/ODF2/HSP90AA1/CEP43/NDE1,32
