ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-977444,GABA B receptor activation,3/42,43/11230,0.0697674418604651,18.6544850498339,7.10642898555726,0.000540996977167392,0.0284756911329707,0.0253283779024845,KCNJ2/ADCY4/KCNJ3,3
R-HSA-991365,Activation of GABAB receptors,3/42,43/11230,0.0697674418604651,18.6544850498339,7.10642898555726,0.000540996977167392,0.0284756911329707,0.0253283779024845,KCNJ2/ADCY4/KCNJ3,3
R-HSA-1296071,Potassium Channels,4/42,103/11230,0.0388349514563107,10.3837263060564,5.86170364774364,0.000571571784708761,0.0284756911329707,0.0253283779024845,KCNJ2/KCNB1/KCNK2/KCNJ3,4
R-HSA-9830369,Kidney development,3/42,46/11230,0.0652173913043478,17.4378881987578,6.84455655315396,0.000660286144527951,0.0284756911329707,0.0253283779024845,SALL1/HOXD11/IRX2,3
R-HSA-112316,Neuronal System,7/42,408/11230,0.017156862745098,4.5874183006536,4.52248664765459,0.000711892278324267,0.0284756911329707,0.0253283779024845,SLITRK3/GRIK5/KCNJ2/KCNB1/ADCY4/KCNK2/KCNJ3,7
R-HSA-977443,GABA receptor activation,3/42,60/11230,0.05,13.3690476190476,5.88578315075297,0.0014353668843159,0.0478455628105301,0.0425573690262083,KCNJ2/ADCY4/KCNJ3,3
R-HSA-5576886,Phase 4 - resting membrane potential,2/42,19/11230,0.105263157894737,28.1453634085213,7.2555316614046,0.00224277360194384,0.064079245769824,0.0569968028163172,KCNJ2/KCNK2,2
R-HSA-9830674,Formation of the ureteric bud,2/42,21/11230,0.0952380952380952,25.4648526077098,6.87523858499635,0.00274126913772286,0.0685317284430714,0.060957168983574,SALL1/HOXD11,2
R-HSA-1296041,Activation of G protein gated Potassium channels,2/42,29/11230,0.0689655172413793,18.440065681445,5.76152796001724,0.00520044343634784,0.0945535170245061,0.0841028651428502,KCNJ2/KCNJ3,2
R-HSA-1296059,G protein gated Potassium channels,2/42,29/11230,0.0689655172413793,18.440065681445,5.76152796001724,0.00520044343634784,0.0945535170245061,0.0841028651428502,KCNJ2/KCNJ3,2
R-HSA-997272,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,2/42,29/11230,0.0689655172413793,18.440065681445,5.76152796001724,0.00520044343634784,0.0945535170245061,0.0841028651428502,KCNJ2/KCNJ3,2
