gene,pattern,in_GenAge
CAMK4,silenced (expr down / hyper-meth),TRUE
CIAPIN1,silenced (expr down / hyper-meth),TRUE
CYTH4,silenced (expr down / hyper-meth),TRUE
GCNT2,silenced (expr down / hyper-meth),TRUE
KDM5B,silenced (expr down / hyper-meth),TRUE
MRPL12,silenced (expr down / hyper-meth),TRUE
NCALD,silenced (expr down / hyper-meth),TRUE
OXNAD1,silenced (expr down / hyper-meth),TRUE
PSMB8,silenced (expr down / hyper-meth),TRUE
RPL4,silenced (expr down / hyper-meth),TRUE
SATB1,silenced (expr down / hyper-meth),TRUE
TGFBR2,silenced (expr down / hyper-meth),TRUE
TMEM176B,silenced (expr down / hyper-meth),TRUE
UCHL3,silenced (expr down / hyper-meth),TRUE
UPP1,silenced (expr down / hyper-meth),TRUE
WDR12,silenced (expr down / hyper-meth),TRUE
A4GNT,silenced (expr down / hyper-meth),FALSE
ABCB1,silenced (expr down / hyper-meth),FALSE
ABCE1,silenced (expr down / hyper-meth),FALSE
ABHD10,silenced (expr down / hyper-meth),FALSE
ABT1,silenced (expr down / hyper-meth),FALSE
ACSF3,silenced (expr down / hyper-meth),FALSE
ADAM12,silenced (expr down / hyper-meth),FALSE
ADAMDEC1,silenced (expr down / hyper-meth),FALSE
ADAMTS17,silenced (expr down / hyper-meth),FALSE
ADAMTS6,silenced (expr down / hyper-meth),FALSE
ADAT2,silenced (expr down / hyper-meth),FALSE
AGR3,silenced (expr down / hyper-meth),FALSE
AKAP10,silenced (expr down / hyper-meth),FALSE
ALB,silenced (expr down / hyper-meth),FALSE
ALK,silenced (expr down / hyper-meth),FALSE
ALOXE3,silenced (expr down / hyper-meth),FALSE
AMDHD1,silenced (expr down / hyper-meth),FALSE
ANAPC11,silenced (expr down / hyper-meth),FALSE
ANKRD46,silenced (expr down / hyper-meth),FALSE
AOAH,silenced (expr down / hyper-meth),FALSE
APBA2,silenced (expr down / hyper-meth),FALSE
APOL6,silenced (expr down / hyper-meth),FALSE
APOM,silenced (expr down / hyper-meth),FALSE
ARHGAP15,silenced (expr down / hyper-meth),FALSE
ARL15,silenced (expr down / hyper-meth),FALSE
ARL5B,silenced (expr down / hyper-meth),FALSE
ATF7IP2,silenced (expr down / hyper-meth),FALSE
ATP10A,silenced (expr down / hyper-meth),FALSE
BACH2,silenced (expr down / hyper-meth),FALSE
BCAS4,silenced (expr down / hyper-meth),FALSE
BCCIP,silenced (expr down / hyper-meth),FALSE
BCKDHB,silenced (expr down / hyper-meth),FALSE
BCL11B,silenced (expr down / hyper-meth),FALSE
BCL2L11,silenced (expr down / hyper-meth),FALSE
BET1,silenced (expr down / hyper-meth),FALSE
BOLL,silenced (expr down / hyper-meth),FALSE
BTNL3,silenced (expr down / hyper-meth),FALSE
C17orf50,silenced (expr down / hyper-meth),FALSE
C17orf99,silenced (expr down / hyper-meth),FALSE
C6orf118,silenced (expr down / hyper-meth),FALSE
CA12,silenced (expr down / hyper-meth),FALSE
CABP2,silenced (expr down / hyper-meth),FALSE
CALB2,silenced (expr down / hyper-meth),FALSE
CARD11,silenced (expr down / hyper-meth),FALSE
CARD14,silenced (expr down / hyper-meth),FALSE
CASP4,silenced (expr down / hyper-meth),FALSE
CATSPER1,silenced (expr down / hyper-meth),FALSE
CBLB,silenced (expr down / hyper-meth),FALSE
CCDC27,silenced (expr down / hyper-meth),FALSE
CCDC51,silenced (expr down / hyper-meth),FALSE
CCT2,silenced (expr down / hyper-meth),FALSE
CCT5,silenced (expr down / hyper-meth),FALSE
CD1A,silenced (expr down / hyper-meth),FALSE
CD1C,silenced (expr down / hyper-meth),FALSE
CD248,silenced (expr down / hyper-meth),FALSE
CD8B,silenced (expr down / hyper-meth),FALSE
CDCA7L,silenced (expr down / hyper-meth),FALSE
CDK6,silenced (expr down / hyper-meth),FALSE
CENPF,silenced (expr down / hyper-meth),FALSE
CENPK,silenced (expr down / hyper-meth),FALSE
CEP72,silenced (expr down / hyper-meth),FALSE
CEPT1,silenced (expr down / hyper-meth),FALSE
CHI3L2,silenced (expr down / hyper-meth),FALSE
CHMP7,silenced (expr down / hyper-meth),FALSE
CHRNA9,silenced (expr down / hyper-meth),FALSE
CHTF18,silenced (expr down / hyper-meth),FALSE
CLEC2D,silenced (expr down / hyper-meth),FALSE
CLEC4C,silenced (expr down / hyper-meth),FALSE
CMTM2,silenced (expr down / hyper-meth),FALSE
CNOT6L,silenced (expr down / hyper-meth),FALSE
COG5,silenced (expr down / hyper-meth),FALSE
COL23A1,silenced (expr down / hyper-meth),FALSE
COL4A2,silenced (expr down / hyper-meth),FALSE
COL6A2,silenced (expr down / hyper-meth),FALSE
COMMD10,silenced (expr down / hyper-meth),FALSE
COMTD1,silenced (expr down / hyper-meth),FALSE
CPA5,silenced (expr down / hyper-meth),FALSE
CR2,silenced (expr down / hyper-meth),FALSE
CRADD,silenced (expr down / hyper-meth),FALSE
CRLF3,silenced (expr down / hyper-meth),FALSE
CRLS1,silenced (expr down / hyper-meth),FALSE
CSTF3,silenced (expr down / hyper-meth),FALSE
CUBN,silenced (expr down / hyper-meth),FALSE
CXCL10,silenced (expr down / hyper-meth),FALSE
CXCL13,silenced (expr down / hyper-meth),FALSE
CXCR6,silenced (expr down / hyper-meth),FALSE
DCAF4L1,silenced (expr down / hyper-meth),FALSE
DDT,silenced (expr down / hyper-meth),FALSE
DEDD2,silenced (expr down / hyper-meth),FALSE
DEF6,silenced (expr down / hyper-meth),FALSE
DERL2,silenced (expr down / hyper-meth),FALSE
DET1,silenced (expr down / hyper-meth),FALSE
DHX58,silenced (expr down / hyper-meth),FALSE
DIO3,silenced (expr down / hyper-meth),FALSE
DIP2A,silenced (expr down / hyper-meth),FALSE
DNAH12,silenced (expr down / hyper-meth),FALSE
DNAH8,silenced (expr down / hyper-meth),FALSE
DNMT3A,silenced (expr down / hyper-meth),FALSE
DNTT,silenced (expr down / hyper-meth),FALSE
DOK3,silenced (expr down / hyper-meth),FALSE
DOT1L,silenced (expr down / hyper-meth),FALSE
DPM1,silenced (expr down / hyper-meth),FALSE
DPM2,silenced (expr down / hyper-meth),FALSE
DRAM2,silenced (expr down / hyper-meth),FALSE
DSCR4,silenced (expr down / hyper-meth),FALSE
DUSP11,silenced (expr down / hyper-meth),FALSE
ECE2,silenced (expr down / hyper-meth),FALSE
EEFSEC,silenced (expr down / hyper-meth),FALSE
EFCAB5,silenced (expr down / hyper-meth),FALSE
EGFLAM,silenced (expr down / hyper-meth),FALSE
EHMT1,silenced (expr down / hyper-meth),FALSE
EIF2B3,silenced (expr down / hyper-meth),FALSE
EIF3E,silenced (expr down / hyper-meth),FALSE
EIF3G,silenced (expr down / hyper-meth),FALSE
EIF3H,silenced (expr down / hyper-meth),FALSE
ELANE,silenced (expr down / hyper-meth),FALSE
ELF1,silenced (expr down / hyper-meth),FALSE
ELK4,silenced (expr down / hyper-meth),FALSE
ELP2,silenced (expr down / hyper-meth),FALSE
EPHX2,silenced (expr down / hyper-meth),FALSE
EREG,silenced (expr down / hyper-meth),FALSE
ERH,silenced (expr down / hyper-meth),FALSE
ERI3,silenced (expr down / hyper-meth),FALSE
ETS1,silenced (expr down / hyper-meth),FALSE
EVPL,silenced (expr down / hyper-meth),FALSE
EXOC4,silenced (expr down / hyper-meth),FALSE
FAM124B,silenced (expr down / hyper-meth),FALSE
FAU,silenced (expr down / hyper-meth),FALSE
FBXO4,silenced (expr down / hyper-meth),FALSE
FCRL5,silenced (expr down / hyper-meth),FALSE
FCRLA,silenced (expr down / hyper-meth),FALSE
FGD3,silenced (expr down / hyper-meth),FALSE
FGF18,silenced (expr down / hyper-meth),FALSE
FMNL3,silenced (expr down / hyper-meth),FALSE
FOXP1,silenced (expr down / hyper-meth),FALSE
FZD10,silenced (expr down / hyper-meth),FALSE
G0S2,silenced (expr down / hyper-meth),FALSE
GIMAP2,silenced (expr down / hyper-meth),FALSE
GIN1,silenced (expr down / hyper-meth),FALSE
GPR153,silenced (expr down / hyper-meth),FALSE
GPR171,silenced (expr down / hyper-meth),FALSE
GPR18,silenced (expr down / hyper-meth),FALSE
GTF2B,silenced (expr down / hyper-meth),FALSE
GTSF1,silenced (expr down / hyper-meth),FALSE
HACL1,silenced (expr down / hyper-meth),FALSE
HADH,silenced (expr down / hyper-meth),FALSE
HAL,silenced (expr down / hyper-meth),FALSE
HAPLN3,silenced (expr down / hyper-meth),FALSE
HAUS1,silenced (expr down / hyper-meth),FALSE
HCG4,silenced (expr down / hyper-meth),FALSE
HDAC9,silenced (expr down / hyper-meth),FALSE
HIVEP3,activated (expr up / hypo-meth),FALSE
HMGCL,silenced (expr down / hyper-meth),FALSE
HMHB1,silenced (expr down / hyper-meth),FALSE
HOXC13,silenced (expr down / hyper-meth),FALSE
HOXD11,silenced (expr down / hyper-meth),FALSE
HPGD,silenced (expr down / hyper-meth),FALSE
HS3ST3A1,silenced (expr down / hyper-meth),FALSE
