gene,pattern,in_GenAge
BHLHE40,activated (expr up / hypo-meth),TRUE
CKB,activated (expr up / hypo-meth),TRUE
ZFYVE21,activated (expr up / hypo-meth),TRUE
ADAP1,activated (expr up / hypo-meth),FALSE
ADCY9,activated (expr up / hypo-meth),FALSE
ARL4A,activated (expr up / hypo-meth),FALSE
C17orf75,activated (expr up / hypo-meth),FALSE
CASZ1,activated (expr up / hypo-meth),FALSE
CD248,silenced (expr down / hyper-meth),FALSE
CFL2,activated (expr up / hypo-meth),FALSE
CIDEB,activated (expr up / hypo-meth),FALSE
CLCN7,activated (expr up / hypo-meth),FALSE
DIO3,silenced (expr down / hyper-meth),FALSE
DUSP19,activated (expr up / hypo-meth),FALSE
ETV7,activated (expr up / hypo-meth),FALSE
FHIT,activated (expr up / hypo-meth),FALSE
FXR1,activated (expr up / hypo-meth),FALSE
GOLPH3L,activated (expr up / hypo-meth),FALSE
HCG27,activated (expr up / hypo-meth),FALSE
HIVEP3,activated (expr up / hypo-meth),FALSE
HOXD11,silenced (expr down / hyper-meth),FALSE
INF2,activated (expr up / hypo-meth),FALSE
KCNMA1,activated (expr up / hypo-meth),FALSE
KNDC1,activated (expr up / hypo-meth),FALSE
KTN1,activated (expr up / hypo-meth),FALSE
LHPP,activated (expr up / hypo-meth),FALSE
MCF2L,activated (expr up / hypo-meth),FALSE
MIB2,activated (expr up / hypo-meth),FALSE
NCOR2,activated (expr up / hypo-meth),FALSE
NF1,activated (expr up / hypo-meth),FALSE
NFIA,activated (expr up / hypo-meth),FALSE
NRXN1,activated (expr up / hypo-meth),FALSE
OBSCN,silenced (expr down / hyper-meth),FALSE
PCSK6,activated (expr up / hypo-meth),FALSE
PGM2L1,activated (expr up / hypo-meth),FALSE
RNF220,activated (expr up / hypo-meth),FALSE
RUNX3,silenced (expr down / hyper-meth),FALSE
SCD,activated (expr up / hypo-meth),FALSE
SLC23A2,activated (expr up / hypo-meth),FALSE
SLITRK3,activated (expr up / hypo-meth),FALSE
SPAG1,activated (expr up / hypo-meth),FALSE
STXBP5,activated (expr up / hypo-meth),FALSE
SYNJ2,activated (expr up / hypo-meth),FALSE
TACC1,activated (expr up / hypo-meth),FALSE
TECR,activated (expr up / hypo-meth),FALSE
THBD,silenced (expr down / hyper-meth),FALSE
THRA,activated (expr up / hypo-meth),FALSE
UBR2,activated (expr up / hypo-meth),FALSE
ZNF365,activated (expr up / hypo-meth),FALSE
