ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0046631,alpha-beta T cell activation,20/430,206/18860,0.0970873786407767,4.25829758410476,7.18239458796874,5.67873825890188e-08,0.00019900610020514,0.000189269660037807,GPR18/TGFBR2/TBX21/CARD11/TOX/ZAP70/RORC/LEF1/PTGER4/RASAL3/SLAMF6/TNFSF8/LILRB1/RSAD2/CBLB/IL18R1/FOXP1/RIPK2/IL12RB2/BCL11B,20
GO:0030098,lymphocyte differentiation,30/430,441/18860,0.0680272108843538,2.98370510995096,6.43864192682632,1.1034438603002e-07,0.00019900610020514,0.000189269660037807,CR2/CAMK4/GPR18/TGFBR2/LCK/TBX21/CARD11/TOX/USP44/ZAP70/C17orf99/SPINK5/RORC/LEF1/PTGER4/PGLYRP2/SLAMF6/TNFSF8/PIK3CD/RSAD2/PCID2/IL18R1/FOXP1/CDK6/HDAC9/RIPK2/IL12RB2/IKZF1/BCL11B/VAV1,30
GO:0046632,alpha-beta T cell differentiation,16/430,143/18860,0.111888111888112,4.90746462839486,7.16433432910302,1.75039448124886e-07,0.000210455763128822,0.000200159144364563,GPR18/TGFBR2/TBX21/TOX/ZAP70/RORC/LEF1/PTGER4/SLAMF6/TNFSF8/RSAD2/IL18R1/FOXP1/RIPK2/IL12RB2/BCL11B,16
GO:0030217,T cell differentiation,24/430,330/18860,0.0727272727272727,3.18985200845666,6.13006270046385,6.44103934040895e-07,0.000580820722521377,0.000552403873957705,CAMK4/GPR18/TGFBR2/LCK/TBX21/CARD11/TOX/USP44/ZAP70/SPINK5/RORC/LEF1/PTGER4/SLAMF6/TNFSF8/PIK3CD/RSAD2/IL18R1/FOXP1/CDK6/RIPK2/IL12RB2/BCL11B/VAV1,24
GO:0035710,"CD4-positive, alpha-beta T cell activation",14/430,138/18860,0.101449275362319,4.44961240310078,6.21247442482174,3.34688300829061e-06,0.00241444140218084,0.00229631404716191,TGFBR2/TBX21/CARD11/TOX/RORC/LEF1/PTGER4/SLAMF6/RSAD2/CBLB/IL18R1/FOXP1/RIPK2/IL12RB2,14
GO:0042274,ribosomal small subunit biogenesis,12/430,107/18860,0.11214953271028,4.91893066724625,6.20947642514395,5.93967477037678e-06,0.0035707344827915,0.00339603510116805,RPS24/RPS15A/PNO1/ABT1/FAU/WDR36/IMP4/RRP7A/WDR46/NOP58/RCL1/RIOK1,12
GO:0002706,regulation of lymphocyte mediated immunity,16/430,204/18860,0.0784313725490196,3.44003647970816,5.35220854304384,1.89633776153566e-05,0.00977155757979876,0.00929348084939056,CR2/TBX21/C17orf99/SECTM1/IL18RAP/SERPINB9/SLAMF6/CD1C/KLRB1/LILRB1/RSAD2/KLRD1/IL18R1/TRPM4/CD1A/VAV1,16
GO:0002429,immune response-activating cell surface receptor signaling pathway,22/430,353/18860,0.0623229461756374,2.73351340668028,5.02200840710153,2.20162706033403e-05,0.00992658600828107,0.00944092446003765,CR2/CD8B/PAWR/LCK/TXK/CARD11/ZAP70/PRKCH/SKAP1/RAP1A/ELF1/PIK3CD/CBLB/NR1H3/KLRD1/IRAK2/FOXP1/RIPK2/TNFAIP3/BTNL3/VAV1/EIF2B3,22
GO:0002768,immune response-regulating cell surface receptor signaling pathway,23/430,385/18860,0.0597402597402597,2.62023557837511,4.90622200686821,2.80442007662718e-05,0.0112394924626603,0.0106895965259976,CR2/CD8B/PAWR/LCK/TXK/CARD11/ZAP70/PRKCH/SKAP1/RAP1A/ELF1/PIK3CD/LILRB1/CBLB/NR1H3/KLRD1/IRAK2/FOXP1/RIPK2/TNFAIP3/BTNL3/VAV1/EIF2B3,23
GO:0043367,"CD4-positive, alpha-beta T cell differentiation",11/430,111/18860,0.0990990990990991,4.34653257909072,5.40130103191434,4.66057058945184e-05,0.0163809586750617,0.0155795147803324,TBX21/TOX/RORC/LEF1/PTGER4/SLAMF6/RSAD2/IL18R1/FOXP1/RIPK2/IL12RB2,11
