ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0021696,cerebellar cortex morphogenesis,3/41,38/18860,0.0789473684210526,36.3157894736842,10.1714020323992,7.62994502444297e-05,0.0294313748285149,0.025562880534439,NRXN1/KNDC1/ZNF365,3
GO:0021549,cerebellum development,4/41,111/18860,0.036036036036036,16.5765765765766,7.68240921573522,9.7297231457883e-05,0.0294313748285149,0.025562880534439,NRXN1/NCOR2/KNDC1/ZNF365,4
GO:0021587,cerebellum morphogenesis,3/41,45/18860,0.0666666666666667,30.6666666666667,9.2998487413998,0.000126992912296493,0.0294313748285149,0.025562880534439,NRXN1/KNDC1/ZNF365,3
GO:0022037,metencephalon development,4/41,121/18860,0.0330578512396694,15.2066115702479,7.31750408271723,0.000135870422301932,0.0294313748285149,0.025562880534439,NRXN1/NCOR2/KNDC1/ZNF365,4
GO:0021575,hindbrain morphogenesis,3/41,48/18860,0.0625,28.75,8.98502125048733,0.00015409096768856,0.0294313748285149,0.025562880534439,NRXN1/KNDC1/ZNF365,3
GO:0021695,cerebellar cortex development,3/41,58/18860,0.0517241379310345,23.7931034482759,8.11462438423927,0.000270783249889139,0.0430996672740213,0.0374345966513407,NRXN1/KNDC1/ZNF365,3
GO:0021681,cerebellar granular layer development,2/41,13/18860,0.153846153846154,70.7692307692308,11.7453911149074,0.000354234980333962,0.0454267621932076,0.0394558154954506,NRXN1/KNDC1,2
GO:0051932,"synaptic transmission, GABAergic",3/41,67/18860,0.0447761194029851,20.5970149253731,7.50036252698137,0.00041473630889055,0.0454267621932076,0.0394558154954506,NF1/NRXN1/SLITRK3,3
GO:0030902,hindbrain development,4/41,165/18860,0.0242424242424242,11.1515151515152,6.1131224066085,0.00044446500477743,0.0454267621932076,0.0394558154954506,NRXN1/NCOR2/KNDC1/ZNF365,4
GO:0051960,regulation of nervous system development,6/41,466/18860,0.0128755364806867,5.92274678111588,5.02244687435594,0.000475672902546676,0.0454267621932076,0.0394558154954506,NF1/NRXN1/FXR1/ZNF365/SLITRK3/BHLHE40,6
