ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-350054,Notch-HLH transcription pathway,2/5,28/11230,0.0714285714285714,160.428571428571,17.8262402083628,5.96744354892112e-05,0.00318892725930055,0.00109290040710423,NCOR2/NOTCH1,2
R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,2/5,48/11230,0.0416666666666667,93.5833333333333,13.5661325429973,0.000177441765493009,0.00318892725930055,0.00109290040710423,NCOR2/NOTCH1,2
R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,2/5,58/11230,0.0344827586206897,77.448275862069,12.3190891109023,0.000259563846687254,0.00318892725930055,0.00109290040710423,NCOR2/NOTCH1,2
R-HSA-2644603,Signaling by NOTCH1 in Cancer,2/5,58/11230,0.0344827586206897,77.448275862069,12.3190891109023,0.000259563846687254,0.00318892725930055,0.00109290040710423,NCOR2/NOTCH1,2
R-HSA-2644606,Constitutive Signaling by NOTCH1 PEST Domain Mutants,2/5,58/11230,0.0344827586206897,77.448275862069,12.3190891109023,0.000259563846687254,0.00318892725930055,0.00109290040710423,NCOR2/NOTCH1,2
R-HSA-2894858,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,2/5,58/11230,0.0344827586206897,77.448275862069,12.3190891109023,0.000259563846687254,0.00318892725930055,0.00109290040710423,NCOR2/NOTCH1,2
R-HSA-2894862,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,2/5,58/11230,0.0344827586206897,77.448275862069,12.3190891109023,0.000259563846687254,0.00318892725930055,0.00109290040710423,NCOR2/NOTCH1,2
R-HSA-1980143,Signaling by NOTCH1,2/5,74/11230,0.027027027027027,60.7027027027027,10.8747170821557,0.000422916442967002,0.00454635176189527,0.00155811321093106,NCOR2/NOTCH1,2
R-HSA-9711123,Cellular response to chemical stress,2/5,197/11230,0.0101522842639594,22.8020304568528,6.51546797160392,0.00295698935663049,0.0282556760744692,0.00968370783457939,NCOR2/NOTCH1,2
R-HSA-157118,Signaling by NOTCH,2/5,228/11230,0.0087719298245614,19.7017543859649,6.02110665914563,0.00394155244930373,0.0337014051442009,0.0115500531705952,NCOR2/NOTCH1,2
R-HSA-9818030,NFE2L2 regulating tumorigenic genes,1/5,11/11230,0.0909090909090909,204.181818181818,14.2287411627652,0.00488887959541007,0.0337014051442009,0.0115500531705952,NOTCH1,1
R-HSA-8941856,RUNX3 regulates NOTCH signaling,1/5,14/11230,0.0714285714285714,160.428571428571,12.5971859568292,0.00621888626997902,0.0337014051442009,0.0115500531705952,NOTCH1,1
R-HSA-9005891,Loss of function of MECP2 in Rett syndrome,1/5,14/11230,0.0714285714285714,160.428571428571,12.5971859568292,0.00621888626997902,0.0337014051442009,0.0115500531705952,NCOR2,1
R-HSA-9005895,Pervasive developmental disorders,1/5,14/11230,0.0714285714285714,160.428571428571,12.5971859568292,0.00621888626997902,0.0337014051442009,0.0115500531705952,NCOR2,1
R-HSA-9697154,Disorders of Nervous System Development,1/5,14/11230,0.0714285714285714,160.428571428571,12.5971859568292,0.00621888626997902,0.0337014051442009,0.0115500531705952,NCOR2,1
R-HSA-2691230,Signaling by NOTCH1 HD Domain Mutants in Cancer,1/5,15/11230,0.0666666666666667,149.733333333333,12.1651276403127,0.0066619056680397,0.0337014051442009,0.0115500531705952,NOTCH1,1
R-HSA-2691232,Constitutive Signaling by NOTCH1 HD Domain Mutants,1/5,15/11230,0.0666666666666667,149.733333333333,12.1651276403127,0.0066619056680397,0.0337014051442009,0.0115500531705952,NOTCH1,1
R-HSA-210744,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,1/5,16/11230,0.0625,140.375,11.7740795051982,0.00710476705650687,0.0339449981588661,0.011633536700713,NOTCH1,1
R-HSA-1912420,Pre-NOTCH Processing in Golgi,1/5,18/11230,0.0555555555555556,124.777777777778,11.0917419631648,0.0079900159737375,0.0345327004039899,0.0118349524028362,NOTCH1,1
R-HSA-8963889,Assembly of active LPL and LIPC lipase complexes,1/5,19/11230,0.0526315789473684,118.210526315789,10.791544564439,0.0084324035870208,0.0345327004039899,0.0118349524028362,PCSK6,1
R-HSA-9675151,Disorders of Developmental Biology,1/5,19/11230,0.0526315789473684,118.210526315789,10.791544564439,0.0084324035870208,0.0345327004039899,0.0118349524028362,NCOR2,1
R-HSA-9013695,NOTCH4 Intracellular Domain Regulates Transcription,1/5,20/11230,0.05,112.3,10.5140424012205,0.00887463335974981,0.0346917485881129,0.0118894609604304,NOTCH1,1
R-HSA-1181150,Signaling by NODAL,1/5,23/11230,0.0434782608695652,97.6521739130435,9.79249203491937,0.0102003760569839,0.0381269513607916,0.0130667642362566,PCSK6,1
R-HSA-75876,Synthesis of very long-chain fatty acyl-CoAs,1/5,24/11230,0.0416666666666667,93.5833333333333,9.58242641519665,0.010641974889831,0.0381269513607916,0.0130667642362566,TECR,1
R-HSA-9013508,NOTCH3 Intracellular Domain Regulates Transcription,1/5,25/11230,0.04,89.84,9.38501545243806,0.0110834160932534,0.0381269513607916,0.0130667642362566,NOTCH1,1
R-HSA-2173795,Downregulation of SMAD2/3:SMAD4 transcriptional activity,1/5,30/11230,0.0333333333333333,74.8666666666667,8.54992855345409,0.0132882591458496,0.0417496725241011,0.0143083333007935,NCOR2,1
R-HSA-2122948,Activated NOTCH1 Transmits Signal to the Nucleus,1/5,31/11230,0.032258064516129,72.4516129032258,8.40747587060312,0.0137287554587309,0.0417496725241011,0.0143083333007935,NOTCH1,1
R-HSA-9768727,Regulation of CDH1 posttranslational processing and trafficking to plasma membrane,1/5,31/11230,0.032258064516129,72.4516129032258,8.40747587060312,0.0137287554587309,0.0417496725241011,0.0143083333007935,PCSK6,1
R-HSA-9022692,Regulation of MECP2 expression and activity,1/5,33/11230,0.0303030303030303,68.0606060606061,8.14209139694642,0.014609276124166,0.0417496725241011,0.0143083333007935,NCOR2,1
R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,2/5,452/11230,0.00442477876106195,9.93805309734513,4.09360021074552,0.0149083502460036,0.0417496725241011,0.0143083333007935,NCOR2/NOTCH1,2
R-HSA-8963899,Plasma lipoprotein remodeling,1/5,34/11230,0.0294117647058824,66.0588235294118,8.0181945109752,0.0150493005610132,0.0417496725241011,0.0143083333007935,PCSK6,1
R-HSA-75105,Fatty acyl-CoA biosynthesis,1/5,37/11230,0.027027027027027,60.7027027027027,7.67686617958462,0.0163684307936783,0.0426571226744344,0.0146193321283251,TECR,1
R-HSA-9029569,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,1/5,37/11230,0.027027027027027,60.7027027027027,7.67686617958462,0.0163684307936783,0.0426571226744344,0.0146193321283251,NCOR2,1
R-HSA-186712,Regulation of beta-cell development,1/5,41/11230,0.024390243902439,54.7804878048781,7.28087201141442,0.0181250721611408,0.0458457707605326,0.0157121368579549,NOTCH1,1
R-HSA-3899300,SUMOylation of transcription cofactors,1/5,45/11230,0.0222222222222222,49.9111111111111,6.9383812489242,0.0198792029205791,0.047489206976939,0.01627537081217,NCOR2,1
R-HSA-9824272,Somitogenesis,1/5,45/11230,0.0222222222222222,49.9111111111111,6.9383812489242,0.0198792029205791,0.047489206976939,0.01627537081217,NOTCH1,1
R-HSA-9024446,NR1H2 and NR1H3-mediated signaling,1/5,47/11230,0.0212765957446809,47.7872340425532,6.78358867069618,0.0207553276636457,0.0482421129479333,0.0165334046822783,NCOR2,1
R-HSA-9012852,Signaling by NOTCH3,1/5,49/11230,0.0204081632653061,45.8367346938776,6.63825698954154,0.0216308257640936,0.0489539740976855,0.0167773717837845,NOTCH1,1
R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,1/5,51/11230,0.0196078431372549,44.0392156862745,6.50145149379495,0.0225056975581341,0.0496279484615266,0.0170083544298989,NCOR2,1
R-HSA-383280,Nuclear Receptor transcription pathway,1/5,53/11230,0.0188679245283019,42.377358490566,6.37236200742165,0.0233799433818588,0.0502668782709964,0.0172273267024223,NCOR2,1
R-HSA-8939902,Regulation of RUNX2 expression and activity,1/5,59/11230,0.0169491525423729,38.0677966101695,6.02475123746378,0.0259989283902493,0.0519978567804986,0.0178205629113092,HIVEP3,1
R-HSA-9707564,Cytoprotection by HMOX1,1/5,59/11230,0.0169491525423729,38.0677966101695,6.02475123746378,0.0259989283902493,0.0519978567804986,0.0178205629113092,NCOR2,1
R-HSA-9793380,Formation of paraxial mesoderm,1/5,59/11230,0.0169491525423729,38.0677966101695,6.02475123746378,0.0259989283902493,0.0519978567804986,0.0178205629113092,NOTCH1,1
R-HSA-8986944,Transcriptional Regulation by MECP2,1/5,62/11230,0.0161290322580645,36.2258064516129,5.86991016737705,0.0273063122113695,0.0533714284131313,0.0182913096152714,NCOR2,1
R-HSA-3906995,Diseases associated with O-glycosylation of proteins,1/5,69/11230,0.0144927536231884,32.5507246376812,5.54810533451552,0.0303514153315878,0.0580049270781456,0.0198792895739055,NOTCH1,1
R-HSA-9013694,Signaling by NOTCH4,1/5,72/11230,0.0138888888888889,31.1944444444444,5.42453456984173,0.0316541226224008,0.0591794466418797,0.0202818176985634,NOTCH1,1
R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",1/5,75/11230,0.0133333333333333,29.9466666666667,5.30831605518657,0.0329554294038082,0.0603014240154789,0.0206663387078753,PCSK6,1
R-HSA-381340,Transcriptional regulation of white adipocyte differentiation,1/5,83/11230,0.0120481927710843,27.0602409638554,5.0292223966926,0.0364187424742132,0.0652502469329653,0.02236238572978,NCOR2,1
R-HSA-8878159,Transcriptional regulation by RUNX3,1/5,86/11230,0.0116279069767442,26.1162790697674,4.9345362311555,0.0377149237137263,0.0656122793095098,0.0224864604732714,NOTCH1,1
R-HSA-9759194,Nuclear events mediated by NFE2L2,1/5,87/11230,0.0114942528735632,25.816091954023,4.9040435586404,0.0381466740171569,0.0656122793095098,0.0224864604732714,NOTCH1,1
R-HSA-170834,Signaling by TGF-beta Receptor Complex,1/5,94/11230,0.0106382978723404,23.8936170212766,4.70409514623637,0.0411645888890887,0.0680798970088775,0.0233321556456373,NCOR2,1
R-HSA-3214815,HDACs deacetylate histones,1/5,94/11230,0.0106382978723404,23.8936170212766,4.70409514623637,0.0411645888890887,0.0680798970088775,0.0233321556456373,NCOR2,1
R-HSA-1912408,Pre-NOTCH Transcription and Translation,1/5,96/11230,0.0104166666666667,23.3958333333333,4.65092785876918,0.0420254574154987,0.0681922516553375,0.0233706615220251,NOTCH1,1
R-HSA-8878166,Transcriptional regulation by RUNX2,1/5,106/11230,0.00943396226415094,21.188679245283,4.4075040381143,0.0463205301110102,0.0730987313101428,0.0250521967770379,HIVEP3,1
R-HSA-9843745,Adipogenesis,1/5,107/11230,0.00934579439252336,20.9906542056075,4.3850070441985,0.0467491886285797,0.0730987313101428,0.0250521967770379,NCOR2,1
R-HSA-1912422,Pre-NOTCH Expression and Processing,1/5,112/11230,0.00892857142857143,20.0535714285714,4.2769526000285,0.0488901697660692,0.0737605457159848,0.0252790119956863,NOTCH1,1
R-HSA-9755511,KEAP1-NFE2L2 pathway,1/5,113/11230,0.00884955752212389,19.8761061946903,4.25618208262758,0.0493179039944529,0.0737605457159848,0.0252790119956863,NOTCH1,1
R-HSA-9758941,Gastrulation,1/5,114/11230,0.0087719298245614,19.7017543859649,4.23567738207439,0.0497454843200828,0.0737605457159848,0.0252790119956863,NOTCH1,1
R-HSA-1989781,PPARA activates gene expression,1/5,117/11230,0.00854700854700855,19.1965811965812,4.17570146224915,0.0510273022957674,0.0743628796999149,0.0254854422472169,NCOR2,1
R-HSA-400206,Regulation of lipid metabolism by PPARalpha,1/5,119/11230,0.00840336134453782,18.8739495798319,4.13694553911688,0.0518810788604057,0.0743628796999149,0.0254854422472169,NCOR2,1
R-HSA-6809371,Formation of the cornified envelope,1/5,124/11230,0.00806451612903226,18.1129032258065,4.04406447202639,0.054012832059029,0.0761492386405982,0.0260976582856395,PCSK6,1
R-HSA-166520,Signaling by NTRKs,1/5,133/11230,0.0075187969924812,16.8872180451128,3.88985355912654,0.0578403241812925,0.0765271981475562,0.0262271915315982,PCSK6,1
R-HSA-9818564,Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,1/5,133/11230,0.0075187969924812,16.8872180451128,3.88985355912654,0.0578403241812925,0.0765271981475562,0.0262271915315982,NCOR2,1
R-HSA-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,1/5,133/11230,0.0075187969924812,16.8872180451128,3.88985355912654,0.0578403241812925,0.0765271981475562,0.0262271915315982,NCOR2,1
R-HSA-9851695,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,1/5,133/11230,0.0075187969924812,16.8872180451128,3.88985355912654,0.0578403241812925,0.0765271981475562,0.0262271915315982,NCOR2,1
R-HSA-9609690,HCMV Early Events,1/5,137/11230,0.0072992700729927,16.3941605839416,3.82608098149635,0.0595374500866019,0.0775791016279965,0.0265876970083709,NCOR2,1
R-HSA-3781865,Diseases of glycosylation,1/5,145/11230,0.00689655172413793,15.4896551724138,3.70626587406471,0.0629243649605916,0.0807685878598639,0.0276807889850207,NOTCH1,1
R-HSA-9006936,Signaling by TGFB family members,1/5,158/11230,0.00632911392405063,14.2151898734177,3.53062246734598,0.0684072842112959,0.0865150947378155,0.0296502160668156,NCOR2,1
R-HSA-9609646,HCMV Infection,1/5,162/11230,0.00617283950617284,13.8641975308642,3.48071127754862,0.0700891626872854,0.0871415769034261,0.0298649223169637,NCOR2,1
R-HSA-9917777,Epigenetic regulation by WDR5-containing histone modifying complexes,1/5,164/11230,0.00609756097560976,13.6951219512195,3.45641464392257,0.0709291905027887,0.0871415769034261,0.0298649223169637,NCOR2,1
R-HSA-8978868,Fatty acid metabolism,1/5,175/11230,0.00571428571428571,12.8342857142857,3.32999874123957,0.0755384990439806,0.0914973368701737,0.0313577164304145,TECR,1
R-HSA-3108232,SUMO E3 ligases SUMOylate target proteins,1/5,182/11230,0.0054945054945055,12.3406593406593,3.2553263563321,0.0784621574095902,0.0937186880170105,0.0321190118050954,NCOR2,1
R-HSA-2990846,SUMOylation,1/5,188/11230,0.00531914893617021,11.9468085106383,3.19451508029531,0.0809622586421757,0.0953801951127001,0.0326884389615129,NCOR2,1
