ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-72312,rRNA processing,20/311,211/11230,0.0947867298578199,3.42268481126469,5.99551308446328,1.58388468315355e-06,0.00160289129935139,0.00156554496576966,RPS24/RPS15A/TFB1M/PNO1/RPS29/FAU/RPL17/WDR36/TRUB2/RPL9/IMP4/WDR18/RRP7A/WDR46/NOP58/WDR12/RCL1/RPS2/RIOK1/RPL4,20
R-HSA-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,18/311,184/11230,0.0978260869565217,3.5324339437998,5.84525982434416,3.39270297632002e-06,0.00171670770601793,0.00167670952356026,RPS24/RPS15A/PNO1/RPS29/FAU/RPL17/WDR36/RPL9/IMP4/WDR18/RRP7A/WDR46/NOP58/WDR12/RCL1/RPS2/RIOK1/RPL4,18
R-HSA-8868773,rRNA processing in the nucleus and cytosol,18/311,194/11230,0.0927835051546392,3.3503497198926,5.57297133648523,7.16683318743159e-06,0.00241761172856026,0.00236128293438536,RPS24/RPS15A/PNO1/RPS29/FAU/RPL17/WDR36/RPL9/IMP4/WDR18/RRP7A/WDR46/NOP58/WDR12/RCL1/RPS2/RIOK1/RPL4,18
R-HSA-72695,"Formation of the ternary complex, and subsequently, the 43S complex",8/311,52/11230,0.153846153846154,5.55528073212961,5.55640723809631,8.23217069887875e-05,0.0172979054605725,0.016894875418637,RPS24/RPS15A/RPS29/FAU/EIF3G/EIF3H/EIF3E/RPS2,8
R-HSA-72689,Formation of a pool of free 40S subunits,11/311,102/11230,0.107843137254902,3.89414286614968,4.95530962158461,0.000116342991266597,0.0172979054605725,0.016894875418637,RPS24/RPS15A/RPS29/FAU/RPL17/EIF3G/EIF3H/RPL9/EIF3E/RPS2/RPL4,11
R-HSA-72613,Eukaryotic Translation Initiation,12/311,120/11230,0.1,3.61093247588424,4.8527569047714,0.000119649543699612,0.0172979054605725,0.016894875418637,RPS24/RPS15A/RPS29/FAU/RPL17/EIF3G/EIF3H/RPL9/EIF3E/RPS2/RPL4/EIF2B3,12
R-HSA-72737,Cap-dependent Translation Initiation,12/311,120/11230,0.1,3.61093247588424,4.8527569047714,0.000119649543699612,0.0172979054605725,0.016894875418637,RPS24/RPS15A/RPS29/FAU/RPL17/EIF3G/EIF3H/RPL9/EIF3E/RPS2/RPL4/EIF2B3,12
R-HSA-72649,Translation initiation complex formation,8/311,59/11230,0.135593220338983,4.89617962831762,5.06381992859157,0.000205071338467897,0.0208795632990225,0.0203930829392367,RPS24/RPS15A/RPS29/FAU/EIF3G/EIF3H/EIF3E/RPS2,8
R-HSA-72702,Ribosomal scanning and start codon recognition,8/311,59/11230,0.135593220338983,4.89617962831762,5.06381992859157,0.000205071338467897,0.0208795632990225,0.0203930829392367,RPS24/RPS15A/RPS29/FAU/EIF3G/EIF3H/EIF3E/RPS2,8
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",8/311,60/11230,0.133333333333333,4.81457663451233,4.99982363649563,0.000231017972631641,0.0208795632990225,0.0203930829392367,RPS24/RPS15A/RPS29/FAU/EIF3G/EIF3H/EIF3E/RPS2,8
