ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-9942503,Differentiation of naive CD+ T cells to T helper 1 cells (Th1 cells),1/4,11/11230,0.0909090909090909,255.227272727273,15.9231660747439,0.0039128455049553,0.0178610216955956,0.0035252016504465,RUNX3,1
R-HSA-9945266,Differentiation of T cells,1/4,11/11230,0.0909090909090909,255.227272727273,15.9231660747439,0.0039128455049553,0.0178610216955956,0.0035252016504465,RUNX3,1
R-HSA-209968,Thyroxine biosynthesis,1/4,14/11230,0.0714285714285714,200.535714285714,14.1011221672845,0.00497798941016614,0.0178610216955956,0.0035252016504465,DIO3,1
R-HSA-8941856,RUNX3 regulates NOTCH signaling,1/4,14/11230,0.0714285714285714,200.535714285714,14.1011221672845,0.00497798941016614,0.0178610216955956,0.0035252016504465,RUNX3,1
R-HSA-9830674,Formation of the ureteric bud,1/4,21/11230,0.0476190476190476,133.690476190476,11.48825278389,0.00746000304161931,0.0178610216955956,0.0035252016504465,HOXD11,1
R-HSA-140875,Common Pathway of Fibrin Clot Formation,1/4,22/11230,0.0454545454545455,127.613636363636,11.220592204691,0.00781419699182306,0.0178610216955956,0.0035252016504465,THBD,1
R-HSA-209776,Metabolism of amine-derived hormones,1/4,22/11230,0.0454545454545455,127.613636363636,11.220592204691,0.00781419699182306,0.0178610216955956,0.0035252016504465,DIO3,1
R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),1/4,39/11230,0.0256410256410256,71.9871794871795,8.38235006797326,0.0138210026804146,0.0260583183887595,0.00514308915567623,THBD,1
R-HSA-8941858,Regulation of RUNX3 expression and activity,1/4,45/11230,0.0222222222222222,62.3888888888889,7.78871931392436,0.0159345257120491,0.0260583183887595,0.00514308915567623,RUNX3,1
R-HSA-9830369,Kidney development,1/4,46/11230,0.0217391304347826,61.0326086956522,7.70114978127002,0.0162864489929747,0.0260583183887595,0.00514308915567623,HOXD11,1
R-HSA-8878159,Transcriptional regulation by RUNX3,1/4,86/11230,0.0116279069767442,32.6453488372093,5.56066304089916,0.0302861520296491,0.04316419596925,0.00851924920445724,RUNX3,1
R-HSA-201722,Formation of the beta-catenin:TCF transactivating complex,1/4,92/11230,0.0108695652173913,30.5163043478261,5.36587194712838,0.0323731469769375,0.04316419596925,0.00851924920445724,RUNX3,1
R-HSA-202733,Cell surface interactions at the vascular wall,1/4,135/11230,0.00740740740740741,20.7962962962963,4.36792521457982,0.0472315284386354,0.0581311119244744,0.0114732457745673,THBD,1
R-HSA-201681,TCF dependent signaling in response to WNT,1/4,219/11230,0.0045662100456621,12.8196347031963,3.33426987202813,0.0757628747186866,0.0865861425356418,0.0170893702372977,RUNX3,1
