feature,breakpoint,sex
NAP1L2,78,F
NEFL,78,F
ZFY,21,F
TXLNGY,21.0000000000009,F
XKRX,53.4459739452055,F
LDOC1,76.7093978437977,F
SEPTIN10,78,F
CFH,62.2721221184859,F
SORCS3,78,F
ANKRD18A,21,F
SULT1B1,78,F
SYT11,78,F
NOG,51.9999984868161,F
GPA33,54.1394631363919,F
GPR15,78,F
BEX1,78,F
DOCK5,60.5913808010148,F
AGRP,21,F
ADAM23,21,F
SNX24,21,F
CHN1,78,F
HNRNPUL2,78,F
LONRF3,78,F
NIPAL2,78,F
SLC14A1,78,F
TUBB4A,78,F
PPP1R9B,62.2579204162764,F
SAMD12,78,F
CLSTN1,71.4371481409106,F
TBC1D8B,78,F
MYO5A,23.3754217419196,F
CCR9,78,F
NAP1L3,77.994288483353,F
ZNF532,78,F
SEMA5A,21,F
AHNAK,78,F
CDC42BPB,21,F
SELENOP,78,F
BMPR1A,68.2483643344461,F
DST,78,F
GPHN,71.8827402872445,F
MYO6,78,F
ABR,52.8343673085754,F
RNASE1,78,F
STK17A,78,F
REEP5,78,F
LACC1,54.521595532138,F
GNAO1,78,F
CD79A,21,F
CKAP5,78,F
KIF1B,78,F
PRY,21,F
TRIM2,78,F
STXBP1,78,F
PARP3,66.3847564805564,F
CLDN11,78,F
CPT1A,77.8249954886811,F
CAMK2N1,78,F
NCKAP1,78,F
AFDN,77.9999999999999,F
NEDD4L,78,F
SGCB,78,F
SPARCL1,78,F
NFIA,21,F
HIP1,68.3727113934214,F
HECTD4,78,F
LRP1,59.682261446604,F
SEPTIN8,78,F
SLCO3A1,63.4048548826483,F
MAG,78,F
SLC16A10,57.4229810954612,F
SERPINI1,78,F
TGM2,54.557558568591,F
TF,78,F
SPP1,78,F
CTIF,51.999999819508,F
C1QC,50.9999973783569,F
C3,78,F
CNP,78,F
ADAMDEC1,78,F
COLEC12,48.7990375189047,F
PRKCE,78,F
SPART,76.7681753070413,F
GATM,78,F
YWHAH,78,F
ICA1,78,F
PPP4R4,78,F
ADAM9,60.5640151417177,F
PIAS3,78,F
UPK3A,68.5358899849495,F
PCBP4,61.6259759436762,F
MANSC1,78,F
ZFYVE9,78,F
PHF21A,61.3030371280171,F
ARHGEF12,78,F
AFAP1,59.4989646308084,F
VSNL1,78,F
MS4A1,21,F
MBP,78,F
ADGRG1,47.9999965871874,F
CLIP1,60.9453824657463,F
PREX1,21,F
GPM6B,78,F
CD248,50.8966758245307,F
PFN2,78,F
SPIRE1,78,F
FANCL,51.8561094749701,F
TRPC1,77.8240130234702,F
CDCA7L,46.6891767623172,F
RAPGEF2,47.0560647362392,F
ERI2,21,F
GRIA3,78,F
SMAD1,78,F
RGS5,78,F
NCOR2,63.827111384087,F
SATB2,78,F
SLC9B2,69.6251214736859,F
FCMR,49.526217697414,F
YEATS2,21,F
NFE2L1,78,F
