feature,breakpoint,sex
NAP1L2,74.6253076555643,M
NEFL,76.460075941753,M
TXLNGY,79,M
SEPTIN10,79,M
CHN1,76.2808537873238,M
STXBP1,74.7436279608429,M
UPK3A,56.1748290737321,M
GNAO1,78.6192461812389,M
RNASE1,78.8971750550483,M
SPIRE1,79,M
BEX1,78.8041425498018,M
DST,78.9999999999997,M
SGCB,76.3583056972749,M
ZFY,61.559029092863,M
NAP1L3,56.7807501769171,M
SLC14A1,78.566939423039,M
BMPR1A,56.4504439103636,M
SAMD12,75.8319375988637,M
LDOC1,58.50417396676,M
C1QC,47.9999690017383,M
PARP3,56.3398437420165,M
SMAD1,79,M
TF,78.947474108898,M
AGRP,78.9999999999406,M
CFH,61.8942699746655,M
ATP1A3,78.8159722434603,M
TRIM2,75.7274935167019,M
SELENOP,78.8349918531352,M
ERI2,79,M
SIK3,79,M
RGS5,78.8045412902314,M
ZNF208,76.5837509222961,M
KALRN,78.7406169216354,M
DNAJC6,78.6443215777245,M
PLEKHB1,56.5669441858926,M
KCNA2,76.7630767741421,M
PLPP1,56.7754531719395,M
TUBB4A,78.6254762255532,M
SEPTIN8,78.6749385072616,M
SPP1,78.9999999999997,M
TSPAN7,78.8138581514247,M
GDAP1,79,M
PEG10,78.8838705734547,M
SEMA5A,78.6408634802379,M
NEO1,75.4449198346842,M
SORCS3,78.4645771038999,M
KIF1B,78.9999999999999,M
SYT11,76.5709807822998,M
CTIF,48.516598125025,M
C3,79,M
CKAP5,75.5843934560857,M
CCP110,74.4126052909034,M
GPR15,79,M
PHF21A,54.3908312571553,M
FAM13A,50.0000297891823,M
XKRX,47.6337968103827,M
GRIA3,78.9173068988526,M
NEDD4L,78.7821037205513,M
ITGA2,74.4033134684172,M
IL24,47.721036341072,M
DOCK5,54.2718516596674,M
NCKAP1,76.4095655164342,M
CD79A,79,M
CLSTN1,56.7891375990197,M
NIPAL2,79,M
SERPINI1,76.2597477321605,M
MYO5A,79,M
PTGR1,78.9922879805934,M
TP53BP1,56.3405480354719,M
HLF,76.4208163239924,M
PPP1R9B,54.3443732558359,M
EPB41L2,79,M
PPP4R4,76.4353649433213,M
ELAPOR1,54.4428275742765,M
KIF5A,76.9251341936176,M
ANKRD18A,77.4540631003919,M
LONRF3,79,M
TMOD2,79,M
PGAP1,56.0713477764502,M
GPHN,57.4211474813878,M
ANK3,56.5232804606964,M
IL2RA,79,M
RUFY3,79,M
TRPC1,56.7793848364638,M
SULT1B1,78.6096047265813,M
MYO9A,56.336091090094,M
NAPB,78.8373761974342,M
ARHGEF12,78.6584036988973,M
MS4A1,79,M
TBC1D8B,60.4960927530731,M
ABCA3,75.7981274887615,M
SLC16A4,78.9415850254552,M
CAMK2N1,73.3701753922211,M
PRICKLE1,51.8610069747366,M
ATXN2,78.9999999999998,M
VSNL1,78.9349215110321,M
STAU1,53.4042183124844,M
ZNF532,79,M
DDAH1,78.9108504994644,M
ZFYVE9,74.600178317821,M
LRIG1,55.1873171716731,M
CBX7,55.5536520890657,M
MT1G,79,M
SPARCL1,78.8765665138596,M
YEATS2,59.5490912473254,M
PFN2,75.5052726794391,M
SEMA3A,78.9631018163356,M
SIK2,75.9880928820376,M
CAMSAP2,76.4588811302592,M
MCOLN3,50.0001284321658,M
SNX24,58.4249081979178,M
MCF2L2,79,M
NFE2L1,79,M
UGT8,78.6089630893778,M
MRAS,79,M
KIF5C,58.6591301267137,M
CRTAM,79,M
ATRNL1,78.9731715538293,M
PRKCE,79,M
RAPGEF2,79,M
