gene,degree
RPS2,80
RPL4,72
MRTO4,70
ALB,62
FAU,62
TBX21,60
RPL17,60
LCK,60
NOTCH1,60
RPS24,58
RPL9,58
RPS15A,56
NOP58,54
RPS29,54
IKZF1,52
ABCE1,50
WDR36,50
WDR12,48
ZAP70,48
CXCL10,46
PECAM1,44
EIF3G,42
CCT2,42
PNO1,40
WDR46,40
KLRB1,38
IMP4,38
KLRD1,38
VAV1,38
LEF1,36
MRPL12,36
NF1,36
RCL1,36
CCT5,34
RRP7A,34
MRPL9,34
RUNX3,34
EIF3E,32
TFB1M,32
ETS1,32
WDR18,32
PIK3CD,30
NCOR2,30
EEFSEC,28
MET,28
CD1C,28
KCNA3,28
RIOK1,28
DNMT3A,26
PRMT5,26
BCL11B,26
SATB1,26
EIF3H,26
CDK6,24
MRPL49,24
ILF2,24
KDM5B,24
MRPS18A,24
MTRF1,24
CXCR6,24
UXS1,22
RORC,22
CR2,22
SLAMF6,22
RARS2,22
CARD11,22
SNRPB,22
IDO1,22
BACH2,20
NUP98,20
CD8B,20
TGFBR2,20
TRUB2,20
THBD,20
UBE2D2,20
IL18R1,20
PSMD13,20
MCM10,20
FOXP1,20
NID1,18
COL6A2,18
TTC27,18
BCKDHB,18
PSMB8,18
BCL2L11,18
NRXN1,18
ITGA6,18
EPHX2,18
RIPK2,16
LTBP2,16
FGF18,16
CXCL13,16
CD1A,16
SKAP1,16
EIF2B3,16
COL4A2,16
SCD,16
DNTT,16
ALK,16
MYH6,16
EHMT1,16
MAML2,16
ELANE,16
TNFAIP3,16
SNRPC,14
CAMK4,14
TNRC6C,14
RASAL3,14
RPE,14
BCCIP,14
UCHL3,14
DOT1L,14
HDAC9,14
CLEC4C,14
ERH,14
TTN,14
NOP16,14
ST6GAL1,12
NDC80,12
ABT1,12
ARHGAP15,12
CALB2,12
GPR171,12
MCM9,12
LILRB1,12
SIGLEC7,12
HACL1,12
UPP1,12
SELE,12
UBL5,12
CENPF,12
RAP1A,12
GTF2B,12
HMGCL,12
SLC25A19,12
IKZF2,12
SRPRB,12
IDO2,12
PRIM2,12
CBLB,12
PROCR,10
BET1,10
EXOC4,10
TACO1,10
IL18RAP,10
PRPSAP2,10
KCNMA1,10
CFL2,10
PGM2L1,10
LTBP3,10
PTGER4,10
SHCBP1,10
FXR1,10
PPT2,10
ME1,10
LHX3,10
PPIL1,10
LSM2,10
HSPA14,10
USP3,10
RSAD2,10
CENPK,10
POMC,10
HADH,10
ABCB1,10
TECR,8
PAG1,8
AKAP10,8
MED28,8
EREG,8
DHX58,8
RRAS2,8
BHLHE40,8
CHTF18,8
IL12RB2,8
UCP1,8
TXK,8
PRKG2,8
THRA,8
POLA2,8
USP15,8
FBXO4,8
CD248,8
STXBP5,8
ANAPC11,8
UCK2,8
NPR1,8
RGS10,8
NFIA,8
SPO11,8
MFAP2,8
PCCA,8
PRKD3,8
MMADHC,8
SMUG1,8
MIB2,8
NUP37,8
SLC25A16,8
NR1H3,8
TARBP1,6
NEU2,6
CYTH4,6
TRPM4,6
CLEC2D,6
POLB,6
AMDHD1,6
COMMD10,6
PDE9A,6
ADCY9,6
HPGD,6
COG5,6
RBKS,6
DEF6,6
PRKCH,6
NAA38,6
WDR25,6
RAD54B,6
RBPJL,6
HVCN1,6
SPINK5,6
FCRL5,6
FCRLA,6
DPM1,6
HIVEP3,6
UBR2,6
RCAN3,6
PUSL1,6
SEPSECS,6
CLCN7,6
SPAG1,6
CIAPIN1,6
CHMP7,6
NBEA,6
OAZ3,6
MTA3,6
SETD5,6
THADA,6
SAG,6
ROBO1,6
RGS13,6
APBA2,6
OBSCN,6
EVPL,6
TNNT1,6
SPTA1,6
SPACA1,4
HOXC13,4
IRAK2,4
KLB,4
USP44,4
HAL,4
RNF138,4
PPAT,4
SLAIN2,4
MGAT4A,4
KERA,4
ADAMTS17,4
ST8SIA2,4
HAUS1,4
PTGIR,4
RNPEP,4
CKB,4
KCNK3,4
NRIP3,4
CSTF3,4
DNAH8,4
ETV7,4
GPR18,4
NOSIP,4
TOX2,4
SLC38A6,4
EGFLAM,4
ZNF277,4
TOX,4
SYT2,4
UTRN,4
VTA1,4
KPNA5,4
ADAM12,4
SPRR1A,4
MATN1,4
APOM,4
KLF12,4
GPR153,4
PHF11,4
NRCAM,4
SLC23A2,4
COL23A1,4
INF2,4
ST3GAL2,4
SLC7A7,4
UBAC2,4
MEI1,4
IPO11,4
CASP4,4
IPCEF1,4
KBTBD8,4
MDGA1,4
ELP2,4
SERPINE2,4
PARP15,4
FHIT,4
GCNT2,4
SLITRK3,4
NLRP2,4
SLC7A6,4
SPATA22,4
TM2D1,4
LYPD4,4
UBE2F,4
ACSF3,4
PCID2,4
PCSK6,4
OXNAD1,4
MFSD8,4
JAGN1,4
CARD14,4
PRSS21,2
DERL2,2
CA12,2
TSPAN32,2
ZFYVE21,2
ZNF862,2
GIMAP2,2
TNFSF8,2
FZD10,2
LNPEP,2
SLC19A2,2
ADAT2,2
ELF1,2
HOXD11,2
ADAMDEC1,2
CEP72,2
SIK1,2
KLHDC4,2
GOLPH3L,2
DUSP11,2
NXPH2,2
ABHD10,2
TATDN1,2
HS3ST3A1,2
SLFN13,2
PSMG3,2
PGLYRP2,2
CCDC27,2
SCGB3A2,2
KNDC1,2
ZNHIT1,2
CATSPER1,2
SEC22A,2
DNAH12,2
CHRNA9,2
BOLL,2
ALOXE3,2
CRLF3,2
TUBD1,2
DPM2,2
PLAG1,2
DCAF4L1,2
SMPD1,2
SLC25A26,2
RNF220,2
SYNJ2,2
DOK3,2
ECE2,2
TES,2
BCAS4,2
HS3ST3B1,2
THEM4,2
ZNF644,2
TSPAN14,2
ERI3,2
COMTD1,2
SPDEF,2
CASZ1,2
TRIM27,2
ARL5B,2
CUBN,2
CRLS1,2
SCNN1D,2
HUS1B,2
TMEM156,2
MIPEP,2
RP1L1,2
SDK2,2
KTN1,2
CCDC51,2
UBFD1,2
NCALD,2
ATF7IP2,2
ARL4A,2
GIN1,2
MYL5,2
MACC1,2
CDCA7L,2
PDE7A,2
SDK1,2
TC2N,2
NECAP2,2
DIP2A,2
ZNF655,2
LRRN3,2
MXRA8,2
SAMD3,2
SIGIRR,2
KLHL29,2
OCIAD2,2
CNOT6L,2
DIO3,2
TNFAIP8,2
ANKRD46,2
CRADD,2
MCF2L,2
MYO1H,2
ATP10A,2
DET1,2
C17orf75,2
LRRC8E,2
SSBP2,2
