gene,degree
KIF5A,20
NEFL,18
STXBP1,16
KIF5C,14
TUBB4A,12
NEO1,12
MYO5A,12
GRIA3,12
ANK3,10
SPP1,10
ARHGEF12,10
GDAP1,8
C3,8
KIF1B,8
CFH,8
BMPR1A,8
ATP1A3,8
GNAO1,6
MRAS,6
TRIM2,6
C1QC,6
RGS5,6
PPP1R9B,6
KCNA2,6
CD79A,4
CAMSAP2,4
KALRN,4
RAPGEF2,4
SEMA3A,4
SMAD1,4
YEATS2,4
DST,4
SAMD12,4
TBC1D8B,4
SYT11,4
DNAJC6,4
NAP1L3,4
IL2RA,4
TP53BP1,4
TF,4
PHF21A,4
SPARCL1,4
GPHN,4
TRPC1,4
CKAP5,4
MS4A1,4
ATXN2,4
PFN2,2
TMOD2,2
LRIG1,2
DOCK5,2
GPR15,2
ZFYVE9,2
ITGA2,2
SIK2,2
PRKCE,2
MCF2L2,2
SEPTIN10,2
ERI2,2
LDOC1,2
MCOLN3,2
STAU1,2
BEX1,2
NAP1L2,2
CAMK2N1,2
SIK3,2
CLSTN1,2
TSPAN7,2
SEPTIN8,2
SEMA5A,2
IL24,2
RNASE1,2
PARP3,2
VSNL1,2
SPIRE1,2
PEG10,2
NAPB,2
