gene,kME
OXCT1,0.984
CFAP36,0.983
ARSK,0.983
RFESD,0.982
AKTIP,0.982
GOLPH3L,0.981
AGL,0.979
PJA1,0.977
ZNF681,0.977
ABCD2,0.976
TUBE1,0.976
SUPT3H,0.976
LRIG1,0.975
ZNF253,0.974
DOCK9,0.974
ZNF507,0.974
THNSL1,0.974
NR3C2,0.973
CASK,0.972
ZNF254,0.972
TRMT11,0.972
SPTAN1,0.971
PCNX2,0.971
CCDC34,0.97
NIPAL3,0.97
PKIA,0.97
HABP4,0.969
APBA2,0.969
CEP68,0.969
SNRPN,0.969
STAMBPL1,0.968
ZNF273,0.968
ACP6,0.968
DNAJC24,0.967
TOMM70,0.967
VPS13A,0.967
ZC4H2,0.967
ZNF585B,0.967
DDHD2,0.966
ORC3,0.966
ZMYND11,0.965
TSPAN5,0.965
PNMA1,0.965
ZNF805,0.965
MID2,0.964
CBX7,0.964
MOCS2,0.964
TAF9B,0.964
TDRKH,0.964
ELP1,0.964
DCUN1D4,0.964
SACS,0.963
ZNF540,0.963
TIMM8A,0.963
GLMN,0.962
ZNF512,0.962
AP2B1,0.962
ST8SIA1,0.961
TAFA1,0.961
TARS3,0.961
CEP41,0.961
LANCL1,0.961
ABCA5,0.961
ZFP1,0.961
MAL,0.961
CEP290,0.961
RNF214,0.96
ZNF302,0.96
ZNF781,0.96
ATP6V0E2,0.96
CALM1,0.959
AKT3,0.959
SKA2,0.959
CCDC25,0.959
ZNF280B,0.957
TMEM263,0.957
PSIP1,0.957
KIAA1328,0.957
STXBP4,0.957
FGF9,0.957
SLC9B2,0.956
AP3M2,0.956
MSH2,0.956
ZNF485,0.956
ATIC,0.956
ELAPOR1,0.955
HUWE1,0.955
GPD1L,0.955
NKRF,0.955
C2orf15,0.955
HIVEP2,0.955
ALDH5A1,0.955
ZNF566,0.954
BCKDHB,0.954
ARPP19,0.954
HPF1,0.954
MFF,0.953
USP14,0.953
METTL4,0.953
KICS2,0.953
EPHA4,0.953
YAE1,0.953
KDSR,0.952
PHC1,0.952
ALMS1,0.952
ZNHIT6,0.952
DROSHA,0.952
TSR2,0.951
TFB1M,0.951
SOD1,0.951
ORC5,0.951
MAGEH1,0.951
MPI,0.951
NECTIN3,0.95
DYNLT3,0.95
ZNF721,0.95
ZNF138,0.95
ZNF470,0.95
TRAK2,0.95
THAP2,0.95
SUPT16H,0.949
ZNF649,0.949
CFAP298,0.949
ACSL6,0.949
MDN1,0.949
TMEM177,0.948
ZNF140,0.948
CASD1,0.948
BNIP3,0.948
HERC2,0.948
UBR7,0.947
HPCAL4,0.947
MAGEE1,0.947
BMPR1A,0.946
CAMK4,0.946
FZD6,0.946
DDX1,0.946
TRMT61B,0.946
BEX2,0.946
LRIF1,0.945
SLC9A6,0.945
RETREG1,0.945
DNAJA3,0.945
LDOC1,0.944
FTO,0.944
STMN3,0.944
MRFAP1L1,0.944
UFSP2,0.944
FBXO32,0.944
SLC25A23,0.943
VAMP2,0.943
ENO2,0.943
NDRG3,0.943
RNF170,0.943
RWDD2B,0.943
IFT80,0.943
SLC16A10,0.942
PDE9A,0.942
RALGAPA1,0.942
TMEM117,0.942
ADD3,0.942
USP5,0.941
MRPL1,0.941
ARL1,0.941
TARBP1,0.941
USP53,0.941
NAP1L4,0.941
BTRC,0.94
XPOT,0.94
SPIN3,0.94
ZNF624,0.94
ADH5,0.94
PRRT3,0.939
