logFC,AveExpr,t,P.Value,adj.P.Val,B,feature,dir
0.0280380540326134,-3.71208448321322,14.5933307761846,3.02764181847047e-45,9.0829254554114e-41,91.1935726935693,cg21159778,up
0.0265822708581072,-3.52827857814999,14.2810898323919,1.62636190084799e-43,2.43954285127199e-39,87.2279217285859,cg18987410,up
0.0222904014708932,-1.27623389784218,13.871307954424,2.74657295592492e-41,2.74657295592492e-37,82.1232503161048,cg23479922,up
0.0244245285379165,-2.53461328693798,13.7353760768311,1.46814004217096e-40,1.10110503162822e-36,80.4553550186134,cg13558371,up
0.0263866146070967,-2.87131494001538,13.5026335748309,2.51402390264019e-39,1.50841434158411e-35,77.6293909185188,cg11006267,up
0.0261376663864713,-2.84703498057151,13.3387505685576,1.81627280797179e-38,9.08136403985893e-35,75.6623091033852,cg18952796,up
0.0233034867869332,-3.45386701581104,13.2513688091373,5.1731283190889e-38,2.21705499389524e-34,74.6212311414667,cg00884093,up
0.0213053387522705,-2.3885769986013,12.8225412161961,8.13742403498141e-36,3.05153401311803e-32,69.5912898673444,cg15834072,up
0.0277625215278367,-5.72619059200702,12.697009761535,3.48908153578756e-35,1.16302717859585e-31,68.144022174996,cg12943155,up
0.0277748692442998,-2.06591688627957,12.6164507300084,8.82727627632166e-35,2.6481828828965e-31,67.2213117331133,cg04238038,up
0.0320693301366985,4.69138196755426,12.6012755328,1.05083334272262e-34,2.86590911651623e-31,67.0480300103219,cg00327072,up
0.0275629297516393,-4.78028883699891,12.5481886448898,1.93109853628725e-34,4.82774634071813e-31,66.443176019902,cg16339238,up
0.0261441317833729,-4.91363018948769,12.4035417110825,1.00306526695007e-33,2.31476600065401e-30,64.8056646762671,cg08186362,up
0.0226750926771419,-2.64858716161701,12.3959343341172,1.09339276519728e-33,2.34298449685132e-30,64.7199719968438,cg15427886,up
0.020859687856855,-2.64922970795202,12.233355288796,6.8334236203163e-33,1.28126692880931e-29,62.8989013437591,cg26872137,up
0.0210708424511033,-3.14625455385323,12.2374641935341,6.52572462420647e-33,1.28126692880931e-29,62.9446830182707,cg07176264,up
0.0235002425189976,-3.3011110397372,12.1762308755397,1.29497279665933e-32,2.28524611175175e-29,62.2637260759999,cg24633978,up
0.0214619421755633,-3.27333547804214,12.0902337545223,3.37456483747921e-32,5.62427472913202e-29,61.3121255814228,cg02225716,up
0.0223104838883931,-3.80075010201672,12.0348995544503,6.23156262643459e-32,9.83930941015988e-29,60.7027667809492,cg27062795,up
0.0202561907085555,-3.084219065244,12.0030203855045,8.86364733391992e-32,1.32954710008799e-28,60.3527511780604,cg25984344,up
0.0265252776864866,-2.43103896946839,11.9673893894865,1.31294120064257e-31,1.8715210457895e-28,59.9624514721723,cg14036830,up
0.0282706266857782,-3.66452774401426,11.9633640625161,1.3724487669123e-31,1.8715210457895e-28,59.9184186729233,cg17688525,up
0.0198304620259957,-2.0352841058326,11.9526225772254,1.54468799154763e-31,2.01481042375778e-28,59.8009782838051,cg20329210,up
0.020859697896248,-3.77670298709536,11.9306746992716,1.96623498541523e-31,2.45779373176904e-28,59.5612862606886,cg05500840,up
0.0258009728860101,-4.8088003840263,11.8962734237496,2.86797432361375e-31,3.4415691883365e-28,59.1863260929469,cg00204501,up
0.0230068813799979,-4.22194441208007,11.8882361882857,3.13199572033534e-31,3.61384121577154e-28,59.0988528879892,cg12392473,up
0.0259223818223896,-4.01393254358109,11.8737487725073,3.67035023542788e-31,4.0781669282532e-28,58.9413031403788,cg06723863,up
0.0259556508172806,-3.54625277339615,11.8005531121006,8.16011422973186e-31,8.74297953185557e-28,58.147746376136,cg06352730,up
0.023995271582548,-3.66835068699521,11.7804483886275,1.01553898605862e-30,1.05055757178478e-27,57.9304941073788,cg19965221,up
0.0254054432641339,-4.61767497348423,11.752310603852,1.37858185520849e-30,1.37858185520849e-27,57.6269545158333,cg01966091,up
0.0266473605318687,3.3015775844943,11.7242672014572,1.86837632797362e-30,1.80810612384544e-27,57.325035215152,cg24667575,up
0.0199308418594879,-2.87447732584262,11.7075556989278,2.23883003326036e-30,2.09890315618159e-27,57.1454029329257,cg12894649,up
0.0208245779527652,-3.09540273191881,11.6716413487441,3.30015670529287e-30,3.00014245935716e-27,56.7600828532666,cg15843567,up
0.02052074083493,-4.08873753157591,11.6159825879223,6.00965772252615e-30,5.30263916693484e-27,56.1648833399221,cg05502701,up
0.0212891793589277,-2.22445206038603,11.593008272639,7.69133496142009e-30,6.59257282407436e-27,55.9198966588967,cg17759274,up
0.0191297738196498,-2.65548032825281,11.5840498089048,8.46713689567328e-30,7.05594741306107e-27,55.8244781475846,cg11701471,up
0.0194862107569537,-2.45478209236059,11.5555507782745,1.14902220778271e-29,9.31639627931924e-27,55.5213400834206,cg11174855,up
0.0210559196140873,-3.19626668884812,11.5447897874121,1.28921086355764e-29,1.01779805017709e-26,55.4070405904104,cg12204732,up
0.0211404605840985,-3.17052520732146,11.4793921539826,2.59020733705503e-29,1.99246718235002e-26,54.7143326087769,cg02824202,up
0.0205472162249281,-3.4554278598934,11.4740024895448,2.74311093140956e-29,2.05733319855717e-26,54.6573914169157,cg24430140,up
0.021508167320932,-3.45155501400295,11.4553179549557,3.34596092265913e-29,2.44826408975058e-26,54.4601655357432,cg03032098,up
0.0218192907200423,-4.2190496324429,11.4353757759634,4.13501792257045e-29,2.88635967853064e-26,54.249962843271,cg06411724,up
0.0220327838001656,-4.04790530220095,11.435327976098,4.13711553922725e-29,2.88635967853064e-26,54.2494593739118,cg05080154,up
0.0196938192910446,-2.40063296272347,11.4274436033731,4.49797522365987e-29,3.066801288859e-26,54.1664386141146,cg13790603,up
0.0193446760692298,-3.21696641190526,11.4185027194542,4.94513574561252e-29,3.29675716374168e-26,54.072351351898,cg12200038,up
0.0232357879189267,-3.72028461641212,11.3969650220118,6.21186290975819e-29,4.05121494114665e-26,53.8459592198152,cg04432319,up
0.0285552562397813,-0.244595028614948,11.3884281856731,6.79886894370104e-29,4.33970358108577e-26,53.7563244816386,cg27436995,up
0.0216781881923375,-3.50700542304461,11.3843593032698,7.09772097830826e-29,4.42578296614158e-26,53.7136221125732,cg13904970,up
0.021392227498917,-3.23516267794412,11.3826283436952,7.22877884469792e-29,4.42578296614158e-26,53.6954598267886,cg06598836,up
0.0224670434280297,-4.29810680830257,11.3495549711026,1.02493613280276e-28,6.14961679681656e-26,53.3488812388597,cg13139972,up
0.0206949857594801,-3.72782396675827,11.3471424031487,1.0513405607796e-28,6.18435623988002e-26,53.3236330381824,cg23045594,up
0.0196744725339538,-2.77837472789001,11.3319951490167,1.2332605972268e-28,7.11496498400077e-26,53.1652162979508,cg06822816,up
0.0234621140188081,-4.27359376704848,11.2822873870872,2.07955247669455e-28,1.17710517548748e-25,52.6466063380592,cg02626129,up
0.0206790282550819,-2.23692993284382,11.2588050338258,2.65997926129847e-28,1.47776625627693e-25,52.4022812064418,cg03544320,up
0.0210377221340595,-3.96998593500126,11.2550878257334,2.76556999672898e-28,1.50849272548854e-25,52.3636445276245,cg05191076,up
0.0190762432856666,-2.33818744217439,11.2402163508339,3.23128947286352e-28,1.73104793189117e-25,52.2091783717532,cg14603345,up
0.0184369767571222,-2.52628751492911,11.2295060715242,3.61416778514535e-28,1.90219357112913e-25,52.0980405886687,cg12161228,up
0.0189251377932041,-2.73306904429303,11.2151291644639,4.19980645964957e-28,2.17231368602564e-25,51.9489962469213,cg07143083,up
0.0185435946030817,-3.13857250338308,11.2038527284232,4.7242870368775e-28,2.40217984925975e-25,51.8322074760416,cg23495279,up
0.022597713206044,-4.7473395988077,11.1943167310042,5.21821385443857e-28,2.60910692721928e-25,51.7335219445922,cg17368760,up
0.0213164128371342,-3.19375746089043,11.1840970148683,5.80456707318487e-28,2.85470511795977e-25,51.6278398802005,cg04652097,up
0.0326191617892688,-4.60120248197412,11.174695145835,6.40155775245161e-28,3.09752794473465e-25,51.5306874703441,cg14352983,up
0.0211162019624921,-3.64134198197069,11.158446648626,7.58040051324467e-28,3.56980917991583e-25,51.3629501660448,cg11068946,up
0.0204605044514217,-3.91633662768309,11.1580011111063,7.61559291715376e-28,3.56980917991583e-25,51.3583536882444,cg21189438,up
0.0195528787442775,-4.14288162685296,11.1402499304663,9.15787087496204e-28,4.22670963459787e-25,51.1753468157022,cg13198321,up
0.0190997862378733,-2.70251875242658,11.1118683445378,1.22921325972135e-27,5.58733299873343e-25,50.8832593259849,cg00593900,up
0.0201988649834595,-2.72421541369596,11.1000968621373,1.3885675812388e-27,6.21746678166629e-25,50.7622995545299,cg14326196,up
0.0211133059811349,-3.48214542245015,11.0796904928435,1.71486296124325e-27,7.56557188783788e-25,50.5528689135731,cg04415176,up
0.0185004592331575,-2.71582195441417,11.0301585746214,2.85846768709508e-27,1.24281203786743e-24,50.0458869938985,cg19761848,up
0.0187327461270751,-2.56896735469891,11.0142729700404,3.36608452713748e-27,1.44260765448749e-24,49.8837003174158,cg05491001,up
0.01952600732175,-2.66914604776234,10.9815878063652,4.70894437437671e-27,1.98969480607466e-24,49.5506226726936,cg07382454,up
0.0207097182126113,-3.8276996082337,10.9690037406926,5.35747945203495e-27,2.23228310501456e-24,49.4226100919818,cg01030534,up
0.0215836742255678,-3.77599011169731,10.9513117676,6.42172937245401e-27,2.63906686539206e-24,49.2428487291955,cg17573292,up
0.0185014391600235,-3.33521923532806,10.9330452852361,7.74082287961748e-27,3.13817143768276e-24,49.0575099972639,cg24234899,up
0.0234366052214437,-4.25526431669227,10.9267640708676,8.25392415206624e-27,3.3015696608265e-24,48.9938394588149,cg14573411,up
0.0178821696592579,-1.58341083195651,10.9192775226055,8.90973994843764e-27,3.51700261122538e-24,48.9179917025917,cg09907509,up
0.0187688141119142,-2.09188524517539,10.9062975723596,1.01715898931384e-26,3.91214995889937e-24,48.7865944694833,cg00735667,up
0.0205081074216472,-3.9835004485998,10.9065473891668,1.0145705671384e-26,3.91214995889937e-24,48.7891221270635,cg01134183,up
0.0205642122812122,-4.08317729747674,10.9023540608425,1.05889794639551e-26,4.02113144200828e-24,48.746700402826,cg25147376,up
0.0213663262589793,-3.77911736136302,10.8959211377052,1.13066319328394e-26,4.23998697481478e-24,48.6816489765424,cg26609631,up
0.0191340828295352,-2.32093405747227,10.8842077813415,1.27395223071282e-26,4.71834159523266e-24,48.5632847471185,cg26133769,up
0.0226152072274981,-3.92117100007757,10.8592821511479,1.64160393106086e-26,6.00586804046655e-24,48.3117722170201,cg01923218,up
0.0227848761277591,-5.19903757146279,10.8506659059049,1.79177509381345e-26,6.47629551980764e-24,48.2249446522348,cg27600205,up
0.022958354896384,-4.31131419162123,10.8015292803664,2.94843013691086e-26,1.05301076318245e-23,47.7309141036826,cg13405783,up
0.0238733607662564,-4.69771457124771,10.7947218689161,3.158588473831e-26,1.11479593194035e-23,47.6626224865568,cg08204280,up
